ticker,event,tournament,entry_ts,exit_ts,entry,exit,contracts,spread,reason,gross,fees,net
KXATPCHALLENGERMATCH-26JUL10BASGIL-GIL,KXATPCHALLENGERMATCH-26JUL10BASGIL,Challenger,1783682220,1783692180,61.0,36.0,9,3.000000000000007,stop,-2.25,0.3,-2.55
KXATPCHALLENGERMATCH-26JUL10NEUSQU-SQU,KXATPCHALLENGERMATCH-26JUL10NEUSQU,Challenger,1783689540,1783690200,75.0,98.0,7,2.0,target,1.61,0.11,1.5
KXATPCHALLENGERMATCH-26JUL10GEAWAL-WAL,KXATPCHALLENGERMATCH-26JUL10GEAWAL,Challenger,1783698660,1783701600,74.0,95.0,7,1.0,target,1.47,0.13,1.3399999999999999
KXATPCHALLENGERMATCH-26JUL10SAIDEL-SAI,KXATPCHALLENGERMATCH-26JUL10SAIDEL,Challenger,1783700400,1783702500,66.0,39.0,8,1.0,stop,-2.16,0.27,-2.43
KXATPCHALLENGERMATCH-26JUL10ROYDAN-ROY,KXATPCHALLENGERMATCH-26JUL10ROYDAN,Challenger,1783702680,1783704420,62.0,36.0,8,1.0,stop,-2.08,0.27,-2.35
KXATPCHALLENGERMATCH-26JUL10BROBAL-BRO,KXATPCHALLENGERMATCH-26JUL10BROBAL,Challenger,1783703280,1783704960,63.0,93.0,8,1.0,target,2.4,0.18000000000000002,2.2199999999999998
KXATPCHALLENGERMATCH-26JUL10ROYDAN-ROY,KXATPCHALLENGERMATCH-26JUL10ROYDAN,Challenger,1783707300,1783709700,61.0,93.0,9,2.000000000000007,target,2.88,0.2,2.6799999999999997
KXATPCHALLENGERMATCH-26JUL10BERBON-BON,KXATPCHALLENGERMATCH-26JUL10BERBON,Challenger,1783707600,1783713720,57.99999999999999,95.0,9,3.0,target,3.3300000000000005,0.19,3.1400000000000006
KXATPCHALLENGERMATCH-26JUL10BLAFEA-FEA,KXATPCHALLENGERMATCH-26JUL10BLAFEA,Challenger,1783707840,1783723500,64.0,97.0,8,1.0,target,2.64,0.15,2.49
KXATPCHALLENGERMATCH-26JUL10VARPDA-VAR,KXATPCHALLENGERMATCH-26JUL10VARPDA,Challenger,1783707840,1783711860,62.0,93.0,8,1.0,target,2.48,0.18000000000000002,2.3
KXATPCHALLENGERMATCH-26JUL10BERBON-BON,KXATPCHALLENGERMATCH-26JUL10BERBON,Challenger,1783714740,1783716120,62.0,36.0,8,1.0,stop,-2.08,0.27,-2.35
KXATPCHALLENGERMATCH-26JUL11CHIGRA-GRA,KXATPCHALLENGERMATCH-26JUL11CHIGRA,Challenger,1783727640,1783773300,61.0,36.0,9,2.000000000000007,stop,-2.25,0.3,-2.55
KXATPCHALLENGERMATCH-26JUL11BROCOP-COP,KXATPCHALLENGERMATCH-26JUL11BROCOP,Challenger,1783737480,1783785960,70.0,41.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXATPMATCH-26JUL11GOMSAI-SAI,KXATPMATCH-26JUL11GOMSAI,ATP,1783739400,1783795620,70.0,98.0,7,2.0,target,1.9600000000000002,0.12,1.8400000000000003
KXATPCHALLENGERMATCH-26JUL11BERDEL-DEL,KXATPCHALLENGERMATCH-26JUL11BERDEL,Challenger,1783740660,1783783260,69.0,40.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUL11GIUDAM-GIU,KXATPCHALLENGERMATCH-26JUL11GIUDAM,Challenger,1783773360,1783782540,63.0,95.0,8,1.0,target,2.56,0.17,2.39
KXATPCHALLENGERMATCH-26JUL11PIRKYM-PIR,KXATPCHALLENGERMATCH-26JUL11PIRKYM,Challenger,1783783560,1783789860,60.0,93.0,9,2.000000000000007,target,2.97,0.21000000000000002,2.7600000000000002
KXATPMATCH-26JUL11TOPMAR-TOP,KXATPMATCH-26JUL11TOPMAR,ATP,1783785060,1783785540,65.0,98.0,8,1.0,target,2.64,0.15,2.49
KXATPCHALLENGERMATCH-26JUL11BERDEL-DEL,KXATPCHALLENGERMATCH-26JUL11BERDEL,Challenger,1783786260,1783789200,56.00000000000001,100.0,9,1.0,settlement,3.9599999999999995,0.16,3.7999999999999994
KXATPMATCH-26JUL11NARGUE-GUE,KXATPMATCH-26JUL11NARGUE,ATP,1783786560,1783789440,67.0,98.0,8,1.0,target,2.48,0.15,2.33
KXATPCHALLENGERMATCH-26JUL11DIAGAS-GAS,KXATPCHALLENGERMATCH-26JUL11DIAGAS,Challenger,1783790280,1783790520,60.0,93.0,9,1.0,target,2.97,0.21000000000000002,2.7600000000000002
KXATPCHALLENGERMATCH-26JUL11ROYDRO-ROY,KXATPCHALLENGERMATCH-26JUL11ROYDRO,Challenger,1783792980,1783794420,63.0,37.0,8,1.0,stop,-2.08,0.28,-2.3600000000000003
KXATPCHALLENGERMATCH-26JUL11WALMIC-WAL,KXATPCHALLENGERMATCH-26JUL11WALMIC,Challenger,1783796880,1783797840,75.0,93.0,7,1.0,target,1.26,0.14,1.12
KXATPMATCH-26JUL12CHOBAS-CHO,KXATPMATCH-26JUL12CHOBAS,ATP,1783801860,1784032440,63.0,37.0,8,3.0,stop,-2.08,0.28,-2.3600000000000003
KXATPCHALLENGERMATCH-26JUL11GALFEA-GAL,KXATPCHALLENGERMATCH-26JUL11GALFEA,Challenger,1783804860,1783806000,57.00000000000001,33.0,9,1.0,stop,-2.1600000000000006,0.30000000000000004,-2.460000000000001
KXATPCHALLENGERMATCH-26JUL11GALFEA-GAL,KXATPCHALLENGERMATCH-26JUL11GALFEA,Challenger,1783807080,1783807260,72.0,42.0,7,1.0,stop,-2.1,0.22,-2.3200000000000003
KXATPMATCH-26JUL12GUEGOM-GUE,KXATPMATCH-26JUL12GUEGOM,ATP,1783812540,1783872360,62.0,36.0,8,1.0,stop,-2.08,0.27,-2.35
KXATPCHALLENGERMATCH-26JUL12CHISEA-SEA,KXATPCHALLENGERMATCH-26JUL12CHISEA,Challenger,1783816260,1783859940,68.0,98.0,8,3.0,target,2.4,0.15,2.25
KXATPMATCH-26JUL12TABHUE-TAB,KXATPMATCH-26JUL12TABHUE,ATP,1783829760,1783848120,60.0,35.0,9,2.000000000000007,stop,-2.25,0.31,-2.56
KXATPMATCH-26JUL12BUEMAR-MAR,KXATPMATCH-26JUL12BUEMAR,ATP,1783848420,1783851540,70.0,98.0,7,1.0,target,1.9600000000000002,0.12,1.8400000000000003
KXWTAMATCH-26JUL12HERKAZ-HER,KXWTAMATCH-26JUL12HERKAZ,WTA,1783851960,1783852860,64.0,97.0,8,1.0,target,2.64,0.15,2.49
KXATPMATCH-26JUL12PASKAS-PAS,KXATPMATCH-26JUL12PASKAS,ATP,1783854300,1783858200,70.0,98.0,7,1.0,target,1.9600000000000002,0.12,1.8400000000000003
KXATPCHALLENGERMATCH-26JUL12GUTCAM-CAM,KXATPCHALLENGERMATCH-26JUL12GUTCAM,Challenger,1783858260,1783859280,70.0,98.0,7,1.0,target,1.9600000000000002,0.12,1.8400000000000003
KXATPCHALLENGERMATCH-26JUL12PIETAB-TAB,KXATPCHALLENGERMATCH-26JUL12PIETAB,Challenger,1783860000,1783863000,62.0,94.0,8,1.0,target,2.56,0.18000000000000002,2.38
KXWTAMATCH-26JUL12FETPIE-FET,KXWTAMATCH-26JUL12FETPIE,WTA,1783860180,1783860540,60.0,35.0,9,1.0,stop,-2.25,0.31,-2.56
KXATPCHALLENGERMATCH-26JUL12CHOGAS-GAS,KXATPCHALLENGERMATCH-26JUL12CHOGAS,Challenger,1783861380,1783862340,63.0,37.0,8,1.0,stop,-2.08,0.28,-2.3600000000000003
KXATPCHALLENGERMATCH-26JUL12BROGIU-GIU,KXATPCHALLENGERMATCH-26JUL12BROGIU,Challenger,1783863000,1783866900,68.0,40.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXATPMATCH-26JUL12MOLFAU-FAU,KXATPMATCH-26JUL12MOLFAU,ATP,1783863300,1783866480,63.0,93.0,8,1.0,target,2.4,0.18000000000000002,2.2199999999999998
KXATPMATCH-26JUL12CARSAN-SAN,KXATPMATCH-26JUL12CARSAN,ATP,1783867140,1783867980,57.99999999999999,93.0,9,3.000000000000007,target,3.150000000000001,0.21000000000000002,2.940000000000001
KXATPCHALLENGERMATCH-26JUL12FUEROS-FUE,KXATPCHALLENGERMATCH-26JUL12FUEROS,Challenger,1783867680,1783868820,70.0,98.0,7,1.0,target,1.9600000000000002,0.12,1.8400000000000003
KXATPCHALLENGERMATCH-26JUL12MARFOR-FOR,KXATPCHALLENGERMATCH-26JUL12MARFOR,Challenger,1783869540,1783872600,70.0,98.0,7,1.0,target,1.9600000000000002,0.12,1.8400000000000003
KXWTAMATCH-26JUL12MICKUL-MIC,KXWTAMATCH-26JUL12MICKUL,WTA,1783871700,1783872000,62.0,36.0,8,1.0,stop,-2.08,0.27,-2.35
KXATPCHALLENGERMATCH-26JUL12FANBIG-FAN,KXATPCHALLENGERMATCH-26JUL12FANBIG,Challenger,1783872060,1783876380,63.0,37.0,8,1.0,stop,-2.08,0.28,-2.3600000000000003
KXWTAMATCH-26JUL12MICKUL-MIC,KXWTAMATCH-26JUL12MICKUL,WTA,1783873380,1783875120,74.0,43.0,7,1.0,stop,-2.17,0.23,-2.4
KXATPMATCH-26JUL13MARMID-MID,KXATPMATCH-26JUL13MARMID,ATP,1783874700,1783937100,61.0,36.0,9,3.000000000000007,stop,-2.25,0.3,-2.55
KXWTAMATCH-26JUL12LEPBUR-BUR,KXWTAMATCH-26JUL12LEPBUR,WTA,1783875180,1783875660,68.0,40.0,8,3.0,stop,-2.24,0.27,-2.5100000000000002
KXATPCHALLENGERMATCH-26JUL12HECISO-HEC,KXATPCHALLENGERMATCH-26JUL12HECISO,Challenger,1783875720,1783877160,68.0,40.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXATPMATCH-26JUL13PASKRU-PAS,KXATPMATCH-26JUL13PASKRU,ATP,1783880640,1783935180,68.0,40.0,8,2.0,stop,-2.24,0.27,-2.5100000000000002
KXATPCHALLENGERMATCH-26JUL12FEAWAL-WAL,KXATPCHALLENGERMATCH-26JUL12FEAWAL,Challenger,1783883400,1783887060,58.99999999999999,94.0,9,1.0,target,3.150000000000001,0.2,2.9500000000000006
KXATPCHALLENGERMATCH-26JUL12FEAWAL-WAL,KXATPCHALLENGERMATCH-26JUL12FEAWAL,Challenger,1783889340,1783889940,79.0,46.0,6,1.0,stop,-1.98,0.18,-2.16
KXATPMATCH-26JUL13FAUDAM-FAU,KXATPMATCH-26JUL13FAUDAM,ATP,1783891020,1783948260,61.0,93.0,9,2.000000000000007,target,2.88,0.2,2.6799999999999997
KXATPCHALLENGERMATCH-26JUL13ALVKUM-KUM,KXATPCHALLENGERMATCH-26JUL13ALVKUM,Challenger,1783935240,1783937640,72.0,98.0,7,1.0,target,1.82,0.11,1.71
KXATPCHALLENGERMATCH-26JUL13TABVIN-VIN,KXATPCHALLENGERMATCH-26JUL13TABVIN,Challenger,1783937160,1783938060,65.0,38.0,8,3.0,stop,-2.16,0.27,-2.43
KXATPMATCH-26JUL13TABROD-TAB,KXATPMATCH-26JUL13TABROD,ATP,1783937700,1783939440,61.0,36.0,9,1.0,stop,-2.25,0.3,-2.55
KXATPCHALLENGERMATCH-26JUL13BINFUE-FUE,KXATPCHALLENGERMATCH-26JUL13BINFUE,Challenger,1783938120,1783938300,60.0,35.0,9,1.0,stop,-2.25,0.31,-2.56
KXATPMATCH-26JUL13MARMID-MID,KXATPMATCH-26JUL13MARMID,ATP,1783938360,1783940460,64.0,97.0,8,1.0,target,2.64,0.15,2.49
KXATPCHALLENGERMATCH-26JUL13MORFAN-MOR,KXATPCHALLENGERMATCH-26JUL13MORFAN,Challenger,1783939500,1783958040,67.0,39.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXATPCHALLENGERMATCH-26JUL13BINFUE-FUE,KXATPCHALLENGERMATCH-26JUL13BINFUE,Challenger,1783940760,1783942560,65.0,38.0,8,1.0,stop,-2.16,0.27,-2.43
KXATPMATCH-26JUL13TABROD-TAB,KXATPMATCH-26JUL13TABROD,ATP,1783943100,1783946340,64.0,95.0,8,1.0,target,2.48,0.16,2.32
KXWTAMATCH-26JUL13BONSOR-BON,KXWTAMATCH-26JUL13BONSOR,WTA,1783948500,1783952880,64.0,97.0,8,1.0,target,2.64,0.15,2.49
KXATPMATCH-26JUL13FAUDAM-FAU,KXATPMATCH-26JUL13FAUDAM,ATP,1783949700,1783951500,61.0,36.0,9,1.0,stop,-2.25,0.3,-2.55
KXATPCHALLENGERMATCH-26JUL13GIUALM-GIU,KXATPCHALLENGERMATCH-26JUL13GIUALM,Challenger,1783951560,1783961760,65.0,38.0,8,2.0,stop,-2.16,0.27,-2.43
KXATPCHALLENGERMATCH-26JUL13ARSDAL-DAL,KXATPCHALLENGERMATCH-26JUL13ARSDAL,Challenger,1783952940,1783954140,73.0,43.0,7,1.0,stop,-2.1,0.23,-2.33
KXATPCHALLENGERMATCH-26JUL13KUMLAG-LAG,KXATPCHALLENGERMATCH-26JUL13KUMLAG,Challenger,1783954200,1783963860,61.0,93.0,9,2.000000000000007,target,2.88,0.2,2.6799999999999997
KXATPCHALLENGERMATCH-26JUL13REHJUS-JUS,KXATPCHALLENGERMATCH-26JUL13REHJUS,Challenger,1783958100,1783958880,68.0,98.0,8,1.0,target,2.4,0.15,2.25
KXATPCHALLENGERMATCH-26JUL13TROGEO-TRO,KXATPCHALLENGERMATCH-26JUL13TROGEO,Challenger,1783958940,1783959000,64.0,37.0,8,1.0,stop,-2.16,0.27,-2.43
KXATPCHALLENGERMATCH-26JUL13MONANG-ANG,KXATPCHALLENGERMATCH-26JUL13MONANG,Challenger,1783959660,1783960800,67.0,98.0,8,2.0,target,2.48,0.15,2.33
KXWTAMATCH-26JUL13MATMIC-MIC,KXWTAMATCH-26JUL13MATMIC,WTA,1783961100,1783971000,61.0,93.0,9,1.0,target,2.88,0.2,2.6799999999999997
KXATPCHALLENGERMATCH-26JUL13PALGON-PAL,KXATPCHALLENGERMATCH-26JUL13PALGON,Challenger,1783963500,1783966740,65.0,93.0,8,1.0,target,2.24,0.17,2.0700000000000003
KXATPCHALLENGERMATCH-26JUL13NAPBAL-NAP,KXATPCHALLENGERMATCH-26JUL13NAPBAL,Challenger,1783963920,1783968540,68.0,98.0,8,1.0,target,2.4,0.15,2.25
KXWTAMATCH-26JUL13BURLEP-LEP,KXWTAMATCH-26JUL13BURLEP,WTA,1783966860,1783967640,49.0,93.0,11,2.000000000000007,target,4.84,0.26,4.58
KXATPCHALLENGERMATCH-26JUL13RADIVA-RAD,KXATPCHALLENGERMATCH-26JUL13RADIVA,Challenger,1783968300,1783968660,60.0,35.0,9,1.0,stop,-2.25,0.31,-2.56
KXATPCHALLENGERMATCH-26JUL13PERTOB-PER,KXATPCHALLENGERMATCH-26JUL13PERTOB,Challenger,1783971060,1783973220,70.0,41.0,7,3.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUL13POLMIY-POL,KXATPCHALLENGERMATCH-26JUL13POLMIY,Challenger,1783971780,1783972860,81.0,48.0,6,1.0,stop,-1.98,0.18,-2.16
KXATPCHALLENGERMATCH-26JUL13NOGBRO-NOG,KXATPCHALLENGERMATCH-26JUL13NOGBRO,Challenger,1783972380,1783975440,67.0,39.0,8,2.0,stop,-2.24,0.27,-2.5100000000000002
KXATPCHALLENGERMATCH-26JUL13INCSTE-STE,KXATPCHALLENGERMATCH-26JUL13INCSTE,Challenger,1783975140,1783978020,70.0,41.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUL13KENSHE-SHE,KXATPCHALLENGERMATCH-26JUL13KENSHE,Challenger,1783984920,1783986180,67.0,39.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXATPCHALLENGERMATCH-26JUL13BOUZHA-BOU,KXATPCHALLENGERMATCH-26JUL13BOUZHA,Challenger,1783988880,1783990200,69.0,40.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
