event,tier,t_entry,pnl,cost,fee,contracts,n_tickers,n_buys,entry_c,klass
KXATPMATCH-26JUL25VANGAS,ATP,2026-07-25 17:12:43.258817+00:00,6.7772999999999985,28.014499999999998,0.7582,35.55,1,1,69.0,manual
KXATPMATCH-26JUL25SHEHAR,ATP,2026-07-25 18:13:45.735815+00:00,9.9769,24.479,0.5141,34.97,1,1,99.0,manual
KXATPMATCH-26JUL25HEWLAJ,ATP,2026-07-25 18:35:14.762077+00:00,0.8290999999999951,41.2186,1.2523,43.3,1,2,99.0,manual
KXATPCHALLENGERMATCH-26JUL25FEAZHE,Challenger,2026-07-25 18:43:18.041408+00:00,6.899299999999991,67.8648,0.8659,75.63,1,2,99.0,manual
KXITFWMATCH-26JUL25BUCMAL,ITF-W,2026-07-25 18:56:39.245443+00:00,4.726200000000002,93.2249,2.1289,100.08000000000001,2,4,99.0,manual
KXATPMATCH-26JUL25SVAYME,ATP,2026-07-25 19:46:19.675692+00:00,14.580200000000007,54.8262,0.8836,70.29,1,1,99.0,manual
KXATPMATCH-26JUL25BLODAR,ATP,2026-07-25 20:37:31.811537+00:00,15.863300000000006,83.8967,2.4699999999999998,102.23,2,2,99.0,manual
KXATPCHALLENGERMATCH-26JUL25MICSUR,Challenger,2026-07-25 21:02:04.313710+00:00,9.614799999999997,50.5553,0.7399,60.91,1,1,99.0,manual
KXATPMATCH-26JUL25OCOMAR,ATP,2026-07-25 21:31:12.060441+00:00,-1.363,1.2915,0.0715,6.15,1,1,99.0,manual
KXITFWMATCH-26JUL25LUXCHA,ITF-W,2026-07-25 21:54:36.721603+00:00,6.0772,5.4714,0.3114,21.259999999999998,2,2,99.0,manual
KXITFMATCH-26JUL25TUDMBI,ITF-M,2026-07-25 21:55:48.121344+00:00,4.968400000000001,22.127200000000002,1.0144,39.91,2,2,99.0,manual
KXATPMATCH-26JUL25MAGJOH,ATP,2026-07-26 01:48:02.867309+00:00,-25.0001,24.57,0.4301,32.76,1,1,75.0,manual
KXWTACHALLENGERMATCH-26JUL25SHIDON,Challenger,2026-07-26 01:54:09.292760+00:00,14.5088,0.93,0.0612,0.0,1,1,6.0,manual
KXATPMATCH-26JUL25KWONRUB,ATP,2026-07-26 04:20:19.174160+00:00,3.778100000000003,88.2721,0.8198,92.87,2,2,99.0,manual
KXATPMATCH-26JUL25MEJHER,ATP,2026-07-26 04:23:23.414215+00:00,6.433200000000001,24.616799999999998,0.51,31.56,1,1,99.0,manual
KXATPMATCH-26JUL25BOYCLA,ATP,2026-07-26 04:33:50.446268+00:00,-7.215600000000006,138.4745,3.0211,212.77,1,3,99.0,manual
KXWTACHALLENGERMATCH-26JUL25PLEWON,Challenger,2026-07-26 04:47:10.721900+00:00,7.501599999999998,25.5436,0.5648,33.61,1,1,99.0,manual
KXITFMATCH-26JUL26ZAHPER,ITF-M,2026-07-26 13:51:45.290070+00:00,-4.9998000000000005,4.7472,0.2526,19.78,1,1,99.0,manual
KXITFMATCH-26JUL26DENHOL,ITF-M,2026-07-26 13:52:34.408888+00:00,4.4319,24.7212,0.2769,29.43,1,1,99.0,manual
KXITFWMATCH-26JUL26MPECHL,ITF-W,2026-07-26 13:58:38.769807+00:00,-0.01399999999999868,34.2536,0.7604,15.24,1,2,99.0,manual
KXATPCHALLENGERMATCH-26JUL26MCKFIL,Challenger,2026-07-26 14:11:45.275764+00:00,1.2436999999999994,28.961399999999998,0.6049,30.81,1,1,99.0,manual
KXATPMATCH-26JUL26DAMSHE,ATP,2026-07-26 15:00:56.759142+00:00,-5.904800000000003,85.49000000000001,2.8348,139.61,2,4,99.0,manual
KXATPMATCH-26JUL26GIRILA,ATP,2026-07-26 16:49:46.946217+00:00,9.313299999999993,113.357,1.8096999999999999,124.47999999999999,2,2,99.0,manual
KXATPMATCH-26JUL26MARECH,ATP,2026-07-26 16:50:16.272935+00:00,7.6399000000000035,49.5051,0.485,57.63,1,2,99.0,manual
KXATPMATCH-26JUL26SVAHEW,ATP,2026-07-26 18:18:03.396457+00:00,-0.994,0.9715,0.0225,1.45,1,1,99.0,manual
KXWTAMATCH-26JUL26KASSMI,WTA,2026-07-26 19:23:43.551111+00:00,3.5380999999999956,51.7566,1.8953,57.19,1,1,42.0,manual
KXATPMATCH-26JUL26MCDSVA,ATP,2026-07-26 19:45:52.148665+00:00,2.913600000000001,24.028,0.6584,27.6,1,1,99.0,manual
KXWTAMATCH-26JUL26HUNJOH,WTA,2026-07-26 23:10:44.571886+00:00,-0.6932999999999963,99.13980000000001,1.6535,152.32,2,3,99.0,manual
KXWTAMATCH-26JUL26PRODRE,WTA,2026-07-27 01:34:05.288923+00:00,-19.994000000000003,18.984,1.01,79.1,1,1,24.0,manual
KXITFMATCH-26JUL26VISVEN,ITF-M,2026-07-27 05:03:47.116465+00:00,24.2608,24.1374,0.8618,49.26,1,1,99.0,manual
KXITFMATCH-26JUL26BRUNEC,ITF-M,2026-07-27 05:04:29.566563+00:00,-0.755400000000001,36.1053,1.1201,36.47,1,1,99.0,manual
KXITFMATCH-26JUL26CRONAK,ITF-M,2026-07-27 05:25:10.281388+00:00,5.1913,14.7042,0.2845,20.18,1,3,99.0,mixed
KXITFMATCH-26JUL27JIXKOX,ITF-M,2026-07-27 05:58:11.927642+00:00,0.5647999999999991,15.120000000000001,0.3152,16.0,1,6,83.0,bot
KXITFMATCH-26JUL27SENKHO,ITF-M,2026-07-27 06:01:12.294496+00:00,2.9267000000000003,6.9,0.1733,10.0,1,1,48.0,bot
KXITFMATCH-26JUL27DUHLUT,ITF-M,2026-07-27 06:21:50.627299+00:00,2.5311,8.14,0.3289,11.0,1,1,52.0,bot
KXITFMATCH-26JUL27KOZSEL,ITF-M,2026-07-27 06:24:48.371304+00:00,1.3753999999999997,8.3,0.3246,10.0,1,1,55.0,bot
