ticker,event,tournament,entry_ts,exit_ts,entry,exit,contracts,spread,reason,gross,fees,net
KXATPCHALLENGERMATCH-26JUL21TROCHI-TRO,KXATPCHALLENGERMATCH-26JUL21TROCHI,Challenger,1784639040,1784652720,35.0,1.0,17,1.0,stop,-5.78,0.30000000000000004,-6.08
KXATPCHALLENGERMATCH-26JUL21OLIJUS-OLI,KXATPCHALLENGERMATCH-26JUL21OLIJUS,Challenger,1784639580,1784639640,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL21OLIJUS-OLI,KXATPCHALLENGERMATCH-26JUL21OLIJUS,Challenger,1784639700,1784639820,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL21GORGOJ-GOR,KXATPCHALLENGERMATCH-26JUL21GORGOJ,Challenger,1784639880,1784666340,32.0,1.0,19,2.0000000000000036,stop,-5.89,0.31,-6.199999999999999
KXATPCHALLENGERMATCH-26JUL21DIEBAR-DIE,KXATPCHALLENGERMATCH-26JUL21DIEBAR,Challenger,1784643300,1784645640,60.0,91.0,10,1.000000000000007,target,3.1,0.23,2.87
KXATPMATCH-26JUL22MARDAR-MAR,KXATPMATCH-26JUL22MARDAR,ATP,1784645400,1784831640,25.0,1.0,25,2.0,stop,-6.0,0.35000000000000003,-6.35
KXATPCHALLENGERMATCH-26JUL21MATMIL-MIL,KXATPCHALLENGERMATCH-26JUL21MATMIL,Challenger,1784645700,1784675340,58.99999999999999,1.0,10,0.9999999999999858,stop,-5.8,0.18000000000000002,-5.9799999999999995
KXATPCHALLENGERMATCH-26JUL21BOSVIR-BOS,KXATPCHALLENGERMATCH-26JUL21BOSVIR,Challenger,1784650440,1784654160,61.0,1.0,10,1.0,stop,-6.0,0.18000000000000002,-6.18
KXATPCHALLENGERMATCH-26JUL21TROCHI-TRO,KXATPCHALLENGERMATCH-26JUL21TROCHI,Challenger,1784652780,1784652960,5.0,1.0,125,1.0,stop,-5.0,0.51,-5.51
KXATPCHALLENGERMATCH-26JUL21MARSWE-SWE,KXATPCHALLENGERMATCH-26JUL21MARSWE,Challenger,1784653020,1784656500,57.99999999999999,1.0,10,2.0,stop,-5.699999999999999,0.19,-5.89
KXATPCHALLENGERMATCH-26JUL20ARSRIC-RIC,KXATPCHALLENGERMATCH-26JUL20ARSRIC,Challenger,1784654220,1784654640,68.0,94.0,9,3.0,target,2.34,0.18000000000000002,2.1599999999999997
KXATPCHALLENGERMATCH-26JUL21MARLAG-MAR,KXATPCHALLENGERMATCH-26JUL21MARLAG,Challenger,1784654700,1784660100,58.99999999999999,98.0,10,1.0,target,3.900000000000001,0.19,3.710000000000001
KXATPCHALLENGERMATCH-26JUL21KOZMAG-MAG,KXATPCHALLENGERMATCH-26JUL21KOZMAG,Challenger,1784655420,1784660880,55.0,84.0,11,1.0,target,3.19,0.31,2.88
KXATPCHALLENGERMATCH-26JUL21ZHUKOK-ZHU,KXATPCHALLENGERMATCH-26JUL21ZHUKOK,Challenger,1784656320,1784664900,12.0,1.0,52,1.0,stop,-5.72,0.43,-6.1499999999999995
KXATPMATCH-26JUL22TRUHAN-TRU,KXATPMATCH-26JUL22TRUHAN,ATP,1784656560,1784722020,36.0,1.0,17,2.0,stop,-5.949999999999999,0.30000000000000004,-6.249999999999999
KXATPMATCH-26JUL22VANCAR-VAN,KXATPMATCH-26JUL22VANCAR,ATP,1784660280,1784806440,37.0,58.0,16,2.0,target,3.36,0.55,2.8099999999999996
KXATPMATCH-26JUL22FELBUS-FEL,KXATPMATCH-26JUL22FELBUS,ATP,1784660940,1784723400,40.0,62.0,15,1.0,target,3.3,0.51,2.79
KXATPCHALLENGERMATCH-26JUL21HOLJOH-JOH,KXATPCHALLENGERMATCH-26JUL21HOLJOH,Challenger,1784665020,1784677380,27.0,42.0,23,1.0,target,3.4499999999999997,0.72,2.7299999999999995
KXATPCHALLENGERMATCH-26JUL21GORGOJ-GOR,KXATPCHALLENGERMATCH-26JUL21GORGOJ,Challenger,1784666400,1784666820,4.0,1.0,156,1.0,stop,-4.68,0.53,-5.21
KXATPCHALLENGERMATCH-26JUL21GORGOJ-GOR,KXATPCHALLENGERMATCH-26JUL21GORGOJ,Challenger,1784666880,1784666940,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL21GORGOJ-GOR,KXATPCHALLENGERMATCH-26JUL21GORGOJ,Challenger,1784667000,1784667060,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL21GORGOJ-GOR,KXATPCHALLENGERMATCH-26JUL21GORGOJ,Challenger,1784667120,1784667120,3.0,0.0,208,1.0,settlement,-6.24,0.43,-6.67
