ticker,pnl,cost,fee,contracts,klass,tier,event,t_entry,entry_c,n_buys
KXITFWMATCH-26JUL28SRAWIR-WIR,1.8046000000000004,6.08,0.1154,8.0,bot,ITF-W,KXITFWMATCH-26JUL28SRAWIR,2026-07-28 10:45:31.009125+00:00,74.0,1
KXITFWMATCH-26JUL28ZAAFRI-FRI,3.235,6.6000000000000005,0.165,10.0,bot,ITF-W,KXITFWMATCH-26JUL28ZAAFRI,2026-07-28 10:46:09.524355+00:00,62.0,1
KXITFWMATCH-26JUL28ZHUHRA-ZHU,2.7407,6.12,0.1393,9.0,bot,ITF-W,KXITFWMATCH-26JUL28ZHUHRA,2026-07-28 18:49:11.848201+00:00,69.0,1
KXWTACHALLENGERMATCH-26JUL25PLEWON-WON,7.501599999999998,25.5436,0.5648,33.61,manual,Challenger,KXWTACHALLENGERMATCH-26JUL25PLEWON,2026-07-26 04:47:10.721900+00:00,99.0,1
KXWTACHALLENGERMATCH-26JUL25SHIDON-SHI,14.5088,0.93,0.0612,0.0,manual,Challenger,KXWTACHALLENGERMATCH-26JUL25SHIDON,2026-07-26 01:54:09.292760+00:00,6.0,1
KXWTAMATCH-26JUL26GIBMAR-MAR,2.2988,6.66,0.0412,9.0,bot,WTA,KXWTAMATCH-26JUL26GIBMAR,2026-07-27 23:22:18.290635+00:00,69.0,1
KXWTAMATCH-26JUL26HUNJOH-HUN,2.0646000000000013,24.84,0.6954,27.6,manual,WTA,KXWTAMATCH-26JUL26HUNJOH,2026-07-26 23:10:44.571886+00:00,99.0,1
KXWTAMATCH-26JUL26HUNJOH-JOH,-2.7578999999999976,74.2998,0.9581,124.72,manual,WTA,KXWTAMATCH-26JUL26HUNJOH,2026-07-26 23:33:09.106840+00:00,99.0,2
KXWTAMATCH-26JUL26KASSMI-SMI,3.5380999999999956,51.7566,1.8953,57.19,manual,WTA,KXWTAMATCH-26JUL26KASSMI,2026-07-26 19:23:43.551111+00:00,42.0,1
KXWTAMATCH-26JUL26PRODRE-DRE,-19.994000000000003,18.984,1.01,79.1,manual,WTA,KXWTAMATCH-26JUL26PRODRE,2026-07-27 01:34:05.288923+00:00,24.0,1
KXWTAMATCH-26JUL27EALZHE-ZHE,-2.8960999999999997,11.61,0.2861,9.0,bot,WTA,KXWTAMATCH-26JUL27EALZHE,2026-07-28 18:31:30.972944+00:00,69.0,1
KXWTAMATCH-26JUL27KRUBOU-BOU,1.1534,23.34,0.5066,25.0,bot,WTA,KXWTAMATCH-26JUL27KRUBOU,2026-07-28 00:48:14.529559+00:00,69.0,2
KXWTAMATCH-26JUL27SAMKEY-KEY,-0.46799999999999975,8.24,0.228,8.0,bot,WTA,KXWTAMATCH-26JUL27SAMKEY,2026-07-27 23:32:17.562120+00:00,74.0,1
KXWTAMATCH-26JUL27SIEPRO-PRO,-2.8099000000000003,11.52,0.2899,9.0,bot,WTA,KXWTAMATCH-26JUL27SIEPRO,2026-07-28 00:53:04.784147+00:00,66.0,1
KXWTAMATCH-26JUL27SONBRA-SON,-1.8232999999999997,9.76,0.0633,8.0,bot,WTA,KXWTAMATCH-26JUL27SONBRA,2026-07-28 16:06:13.757975+00:00,72.0,1
KXWTAMATCH-26JUL27WANMCC-WAN,-4.0225,12.870000000000001,0.1525,9.0,bot,WTA,KXWTAMATCH-26JUL27WANMCC,2026-07-28 16:17:40.195031+00:00,67.0,2
KXWTAMATCH-26JUL28BUCKUD-BUC,-2.8092000000000006,11.52,0.2892,9.0,bot,WTA,KXWTAMATCH-26JUL28BUCKUD,2026-07-28 16:06:11.655061+00:00,67.0,1
