ticker,pnl,cost,fee,contracts,klass,tier,event,t_entry,entry_c,n_buys
KXATPCHALLENGERMATCH-26JUL28OLITAB-OLI,1.5722,6.32,0.1078,8.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28OLITAB,2026-07-28 13:45:56.422044+00:00,74.0,1
KXATPCHALLENGERMATCH-26JUL28RIBTOR-RIB,-2.9271000000000003,11.79,0.1371,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28RIBTOR,2026-07-28 09:23:32.812297+00:00,68.0,1
KXATPCHALLENGERMATCH-26JUL28SCHGOM-GOM,2.5652000000000004,6.3,0.1348,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28SCHGOM,2026-07-28 13:31:09.464361+00:00,69.0,1
KXATPCHALLENGERMATCH-26JUL28SKAFAU-SKA,2.6529,6.21,0.1371,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28SKAFAU,2026-07-28 09:56:08.495869+00:00,68.0,1
KXATPCHALLENGERMATCH-26JUL28TABSQU-TAB,-5.0566,24.560000000000002,0.4966,20.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28TABSQU,2026-07-28 14:09:49.107299+00:00,74.0,2
KXATPCHALLENGERMATCH-26JUL28VRBBAS-BAS,1.8824000000000005,6.0,0.1176,8.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28VRBBAS,2026-07-28 10:17:32.209858+00:00,70.0,1
KXATPCHALLENGERMATCH-26JUL28ZHULAN-ZHU,2.34,6.66,0.0,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28ZHULAN,2026-07-28 18:32:30.132984+00:00,69.0,1
KXATPMATCH-26JUL25BLODAR-BLO,9.1115,1.8887,0.1098,11.11,manual,ATP,KXATPMATCH-26JUL25BLODAR,2026-07-25 21:03:26.612394+00:00,99.0,1
KXATPMATCH-26JUL25BLODAR-DAR,6.751800000000006,82.008,2.3602,91.12,manual,ATP,KXATPMATCH-26JUL25BLODAR,2026-07-25 20:37:31.811537+00:00,99.0,1
KXATPMATCH-26JUL25BOYCLA-CLA,-7.215600000000006,138.4745,3.0211,212.77,manual,ATP,KXATPMATCH-26JUL25BOYCLA,2026-07-26 04:33:50.446268+00:00,99.0,3
KXATPMATCH-26JUL25HEWLAJ-HEW,0.8290999999999951,41.2186,1.2523,43.3,manual,ATP,KXATPMATCH-26JUL25HEWLAJ,2026-07-25 18:35:14.762077+00:00,99.0,2
KXATPMATCH-26JUL25KWONRUB-KWON,2.864499999999999,27.1005,0.485,30.45,manual,ATP,KXATPMATCH-26JUL25KWONRUB,2026-07-26 04:57:23.790210+00:00,99.0,1
KXATPMATCH-26JUL25KWONRUB-RUB,0.9136000000000037,61.1716,0.3348,62.42,manual,ATP,KXATPMATCH-26JUL25KWONRUB,2026-07-26 04:20:19.174160+00:00,99.0,1
KXATPMATCH-26JUL25MAGJOH-JOH,-25.0001,24.57,0.4301,32.76,manual,ATP,KXATPMATCH-26JUL25MAGJOH,2026-07-26 01:48:02.867309+00:00,75.0,1
KXATPMATCH-26JUL25MEJHER-HER,6.433200000000001,24.616799999999998,0.51,31.56,manual,ATP,KXATPMATCH-26JUL25MEJHER,2026-07-26 04:23:23.414215+00:00,99.0,1
KXATPMATCH-26JUL25OCOMAR-OCO,-1.363,1.2915,0.0715,6.15,manual,ATP,KXATPMATCH-26JUL25OCOMAR,2026-07-25 21:31:12.060441+00:00,99.0,1
KXATPMATCH-26JUL25SHEHAR-SHE,9.9769,24.479,0.5141,34.97,manual,ATP,KXATPMATCH-26JUL25SHEHAR,2026-07-25 18:13:45.735815+00:00,99.0,1
KXATPMATCH-26JUL25SVAYME-SVA,14.580200000000007,54.8262,0.8836,70.29,manual,ATP,KXATPMATCH-26JUL25SVAYME,2026-07-25 19:46:19.675692+00:00,99.0,1
KXATPMATCH-26JUL25VANGAS-VAN,6.7772999999999985,28.014499999999998,0.7582,35.55,manual,ATP,KXATPMATCH-26JUL25VANGAS,2026-07-25 17:12:43.258817+00:00,69.0,1
KXATPMATCH-26JUL26DAMSHE-DAM,8.749399999999998,32.255300000000005,0.8853,41.89,manual,ATP,KXATPMATCH-26JUL26DAMSHE,2026-07-26 15:15:41.226464+00:00,99.0,1
KXATPMATCH-26JUL26DAMSHE-SHE,-14.654200000000001,53.234700000000004,1.9495,97.72,manual,ATP,KXATPMATCH-26JUL26DAMSHE,2026-07-26 15:00:56.759142+00:00,99.0,3
KXATPMATCH-26JUL26GIRILA-GIR,2.3472000000000004,16.6926,0.3702,19.41,manual,ATP,KXATPMATCH-26JUL26GIRILA,2026-07-26 18:03:09.466806+00:00,99.0,1
KXATPMATCH-26JUL26GIRILA-ILA,6.966099999999993,96.6644,1.4395,105.07,manual,ATP,KXATPMATCH-26JUL26GIRILA,2026-07-26 16:49:46.946217+00:00,99.0,1
KXATPMATCH-26JUL26MARECH-MAR,7.6399000000000035,49.5051,0.485,57.63,manual,ATP,KXATPMATCH-26JUL26MARECH,2026-07-26 16:50:16.272935+00:00,99.0,2
KXATPMATCH-26JUL26MCDSVA-SVA,2.913600000000001,24.028,0.6584,27.6,manual,ATP,KXATPMATCH-26JUL26MCDSVA,2026-07-26 19:45:52.148665+00:00,99.0,1
KXATPMATCH-26JUL26SVAHEW-SVA,-0.994,0.9715,0.0225,1.45,manual,ATP,KXATPMATCH-26JUL26SVAHEW,2026-07-26 18:18:03.396457+00:00,99.0,1
KXATPMATCH-26JUL27GIRHEW-HEW,3.3499000000000003,6.6,0.0501,10.0,bot,ATP,KXATPMATCH-26JUL27GIRHEW,2026-07-28 19:19:40.160515+00:00,61.0,1
KXATPMATCH-26JUL27MAJPAU-MAJ,6.0142999999999995,12.65,0.3357,19.0,bot,ATP,KXATPMATCH-26JUL27MAJPAU,2026-07-28 16:03:57.403641+00:00,57.0,2
KXATPMATCH-26JUL27MANTIE-MAN,,,,,bot,ATP,KXATPMATCH-26JUL27MANTIE,2026-07-28 18:44:13.750287+00:00,60.0,1
KXATPMATCH-26JUL27NISSHA-SHA,-2.0877999999999997,9.84,0.2478,8.0,bot,ATP,KXATPMATCH-26JUL27NISSHA,2026-07-27 22:18:13.349302+00:00,74.0,1
KXITFMATCH-26JUL25TUDMBI-MBI,-1.9990999999999999,1.888,0.1111,11.8,manual,ITF-M,KXITFMATCH-26JUL25TUDMBI,2026-07-25 22:31:08.142203+00:00,99.0,1
KXITFMATCH-26JUL25TUDMBI-TUD,6.967500000000001,20.2392,0.9033,28.11,manual,ITF-M,KXITFMATCH-26JUL25TUDMBI,2026-07-25 21:55:48.121344+00:00,99.0,1
KXITFMATCH-26JUL26BRUNEC-NEC,-0.755400000000001,36.1053,1.1201,36.47,manual,ITF-M,KXITFMATCH-26JUL26BRUNEC,2026-07-27 05:04:29.566563+00:00,99.0,1
KXITFMATCH-26JUL26CRONAK-CRO,5.1913,14.7042,0.2845,20.18,mixed,ITF-M,KXITFMATCH-26JUL26CRONAK,2026-07-27 05:25:10.281388+00:00,99.0,3
