event,tier,match_date,t_entry,t_settled,pnl,fee,cost,contracts,n_tickers,n_buy_orders,entry_px,klass
KXITFMATCH-26JUL28FONORT,ITF-M,2026-07-28,2026-07-28 17:04:13.130332+00:00,2026-07-28 17:27:46.053319+00:00,1.92,0.0,6.08,8.0,1,1,71.0,bot
KXITFWMATCH-26JUL28BRODES,ITF-W,2026-07-28,2026-07-28 17:05:25.305832+00:00,2026-07-28 18:43:06.068869+00:00,-3.019299999999999,0.1393,11.879999999999999,9.0,1,1,68.0,bot
KXITFMATCH-26JUL28LESMEN,ITF-M,2026-07-28,2026-07-28 17:25:39.176756+00:00,2026-07-28 18:43:06.056344+00:00,-2.8983999999999996,0.2884,11.61,9.0,1,1,63.0,bot
KXITFWMATCH-26JUL28AGUHAR,ITF-W,2026-07-28,2026-07-28 17:54:14.103800+00:00,,0.0,0.0,0.0,20.0,1,2,59.0,bot
KXITFMATCH-26JUL28MECORL,ITF-M,2026-07-28,2026-07-28 17:55:30.264375+00:00,2026-07-28 19:02:56.060170+00:00,1.7599999999999998,0.0,6.24,8.0,1,1,73.0,bot
KXATPCHALLENGERMATCH-26JUL27MILVAN,Challenger,2026-07-27,2026-07-28 17:56:08.876018+00:00,2026-07-28 19:12:26.060885+00:00,2.5199999999999996,0.0,6.48,9.0,1,1,67.0,bot
KXITFWMATCH-26JUL28DIGMIK,ITF-W,2026-07-28,2026-07-28 17:58:39.060523+00:00,2026-07-28 19:27:46.062345+00:00,-3.276899999999999,0.2369,11.04,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28NEWHAZ,ITF-W,2026-07-28,2026-07-28 18:25:27.285350+00:00,2026-07-28 19:18:06.008578+00:00,3.1500000000000004,0.0,5.85,9.0,1,1,64.0,bot
KXITFMATCH-26JUL28NAGBRA,ITF-M,2026-07-28,2026-07-28 18:30:07.777175+00:00,2026-07-28 19:22:56.057055+00:00,1.8046,0.1154,6.08,8.0,1,2,74.0,bot
KXWTAMATCH-26JUL27EALZHE,WTA,2026-07-27,2026-07-28 18:31:30.972944+00:00,,0.0,0.0,0.0,9.0,1,1,69.0,bot
KXATPCHALLENGERMATCH-26JUL28ZHULAN,Challenger,2026-07-28,2026-07-28 18:32:30.132984+00:00,2026-07-28 19:27:06.071519+00:00,2.34,0.0,6.66,9.0,1,1,69.0,bot
KXITFWMATCH-26JUL28ZHUHRA,ITF-W,2026-07-28,2026-07-28 18:49:11.848201+00:00,2026-07-28 19:57:55.956966+00:00,2.7407,0.1393,6.12,9.0,1,1,69.0,bot
KXITFMATCH-26JUL28OSOCHA,ITF-M,2026-07-28,2026-07-28 18:50:30.537379+00:00,2026-07-28 19:32:56.005385+00:00,1.5721999999999996,0.1078,6.32,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28COLKOI,ITF-W,2026-07-28,2026-07-28 18:58:09.549167+00:00,2026-07-28 20:08:06.013025+00:00,2.5652000000000004,0.1348,6.3,9.0,1,1,69.0,bot
KXITFMATCH-26JUL28STOBAE,ITF-M,2026-07-28,2026-07-28 19:01:31.236599+00:00,,0.0,0.0,0.0,8.0,1,1,73.0,bot
KXITFWMATCH-26JUL28KULFRO,ITF-W,2026-07-28,2026-07-28 19:10:09.623562+00:00,,0.0,0.0,0.0,9.0,1,2,66.0,bot
