phase,factor,level,n,mis_pp,ci_lo,ci_hi,p_one,p_two,net_c,note,p_bh,bh_reject
5-1b,maker fill,passive/30min,2725,,,,,,-0.6544,"fill 0.793; per-opportunity, 1/4 fee",,False
5-1b,maker fill,passive/endmin,2844,,,,,,-0.9756,"fill 0.828; per-opportunity, 1/4 fee",,False
2,headline,deep:12 (pre-committed primary),1609,-0.593,-2.924,1.714,0.70022,0.63765,-3.7903,,0.63765,False
2,headline,deep:30@38 (best-targeted),846,-2.072,-5.134,0.975,0.91295,0.20025,-5.1905,,0.20025,False
2,headline,deep:12 (pre-committed primary),1632,4.042,1.801,6.251,0.00018,0.00035,0.8469,,0.00035,True
2,headline,deep:30@38 (best-targeted),873,3.369,0.311,6.416,0.01512,0.03025,0.2626,,0.03025,True
5-seg,pooled,ALL,3436,2.415,-2.675,0.316,,0.00185,-1.1951,bar +3.61pp; MDE 2.15c,0.00185,True
5-seg,T1 hour UTC,00:00–04:00 UTC,195,4.11,-5.284,6.958,,0.24755,0.8065,bar +3.30pp; MDE 9.03c,0.24755,False
5-seg,T1 hour UTC,04:00–08:00 UTC,221,4.629,-4.511,7.116,,0.16285,1.1403,bar +3.49pp; MDE 8.48c,0.16285,False
5-seg,T1 hour UTC,08:00–12:00 UTC,1161,2.931,-3.54,1.639,,0.0338,-0.9234,bar +3.85pp; MDE 3.70c,0.0338,True
5-seg,T1 hour UTC,12:00–16:00 UTC,988,1.151,-5.329,0.359,,0.46105,-2.4421,bar +3.59pp; MDE 4.01c,0.46105,False
5-seg,T1 hour UTC,16:00–20:00 UTC,671,2.665,-4.091,2.542,,0.1415,-0.7447,bar +3.41pp; MDE 4.87c,0.1415,False
5-seg,T1 hour UTC,20:00–24:00 UTC,200,0.728,-8.528,3.318,,0.8794,-2.6549,bar +3.38pp; MDE 8.91c,0.8794,False
5-seg,T2 hour ET,00:00–04:00 ET,221,4.629,-4.991,6.803,,0.15885,1.1403,bar +3.49pp; MDE 8.48c,0.15885,False
5-seg,T2 hour ET,04:00–08:00 ET,1161,2.931,-3.449,1.707,,0.0332,-0.9234,bar +3.85pp; MDE 3.70c,0.0332,True
5-seg,T2 hour ET,08:00–12:00 ET,988,1.151,-5.278,0.348,,0.4575,-2.4421,bar +3.59pp; MDE 4.01c,0.4575,False
5-seg,T2 hour ET,12:00–16:00 ET,671,2.665,-4.233,2.671,,0.13955,-0.7447,bar +3.41pp; MDE 4.87c,0.13955,False
5-seg,T2 hour ET,16:00–20:00 ET,200,0.728,-9.025,3.255,,0.8959,-2.6549,bar +3.38pp; MDE 8.91c,0.8959,False
5-seg,T2 hour ET,20:00–24:00 ET,195,4.11,-5.591,6.928,,0.25235,0.8065,bar +3.30pp; MDE 9.03c,0.25235,False
5-seg,T3 tier,ATP,192,7.971,-1.437,10.631,,0.01745,4.7948,bar +3.18pp; MDE 9.10c,0.01745,True
5-seg,T3 tier,CHALL,556,1.871,-5.135,2.283,,0.35735,-1.5334,bar +3.40pp; MDE 5.35c,0.35735,False
5-seg,T3 tier,ITF-M,1275,1.802,-4.441,0.631,,0.1765,-1.9141,bar +3.72pp; MDE 3.53c,0.1765,False
5-seg,T3 tier,ITF-W,1204,2.521,-3.591,1.223,,0.06055,-1.2155,bar +3.74pp; MDE 3.63c,0.06055,False
5-seg,T3 tier,WTA,209,1.892,-7.488,4.654,,0.6058,-1.2931,bar +3.19pp; MDE 8.72c,0.6058,False
