minute,leader_goals,trailer_goals,leader_strength,trailer_strength,competition,matches,comebacks,comebacks_per_100,could_really_be_low_per_100,could_really_be_high_per_100
21,1,0,middle third,middle third,ALL,1619,237,14.64,13.00,16.44
21,1,0,middle third,top third,ALL,1650,355,21.52,19.60,23.56
21,1,0,middle third,unknown,ALL,173,16,9.25,5.77,14.49
21,1,0,top third,bottom third,ALL,2087,167,8.00,6.91,9.24
21,1,0,top third,middle third,ALL,2311,217,9.39,8.27,10.65
21,1,0,top third,top third,ALL,2060,311,15.10,13.62,16.71
21,1,0,top third,unknown,ALL,251,22,8.76,5.86,12.91
21,1,0,unknown,bottom third,ALL,106,19,17.92,11.79,26.31
21,1,0,unknown,middle third,ALL,159,21,13.21,8.80,19.35
21,1,0,unknown,top third,ALL,170,37,21.76,16.22,28.55
21,1,0,unknown,unknown,ALL,1039,151,14.53,12.52,16.81
22,3,0,ALL,ALL,ALL,222,3,1.35,0.46,3.90
22,3,0,middle third,bottom third,ALL,35,1,2.86,0.51,14.53
22,3,0,top third,bottom third,ALL,50,0,0.00,0.00,7.14
22,3,0,top third,middle third,ALL,35,0,0.00,0.00,9.89
22,2,0,ALL,ALL,ALL,2278,115,5.05,4.22,6.03
22,2,0,bottom third,bottom third,ALL,155,8,5.16,2.64,9.85
22,2,0,bottom third,middle third,ALL,136,12,8.82,5.12,14.79
22,2,0,bottom third,top third,ALL,115,13,11.30,6.73,18.38
22,2,0,middle third,bottom third,ALL,227,11,4.85,2.73,8.47
22,2,0,middle third,middle third,ALL,185,8,4.32,2.21,8.30
22,2,0,middle third,top third,ALL,184,16,8.70,5.42,13.66
22,2,0,top third,bottom third,ALL,355,2,0.56,0.15,2.03
22,2,0,top third,middle third,ALL,362,14,3.87,2.32,6.39
22,2,0,top third,top third,ALL,276,15,5.43,3.32,8.77
22,2,0,top third,unknown,ALL,33,0,0.00,0.00,10.43
22,2,0,unknown,unknown,ALL,150,7,4.67,2.28,9.32
22,2,1,ALL,ALL,ALL,446,59,13.23,10.40,16.69
22,2,1,bottom third,bottom third,ALL,33,8,24.24,12.83,41.02
22,2,1,bottom third,middle third,ALL,35,11,31.43,18.55,47.98
22,2,1,middle third,bottom third,ALL,46,5,10.87,4.73,23.04
22,2,1,middle third,middle third,ALL,37,6,16.22,7.65,31.14
22,2,1,middle third,top third,ALL,39,5,12.82,5.60,26.71
22,2,1,top third,bottom third,ALL,59,3,5.08,1.74,13.92
22,2,1,top third,middle third,ALL,69,5,7.25,3.13,15.87
22,2,1,top third,top third,ALL,54,5,9.26,4.02,19.91
22,1,0,ALL,ALL,ALL,17771,2581,14.52,14.01,15.05
22,1,0,bottom third,bottom third,ALL,1291,202,15.65,13.77,17.73
22,1,0,bottom third,middle third,ALL,1476,282,19.11,17.18,21.19
22,1,0,bottom third,top third,ALL,1254,307,24.48,22.18,26.94
22,1,0,bottom third,unknown,ALL,101,15,14.85,9.21,23.07
22,1,0,middle third,bottom third,ALL,1802,215,11.93,10.51,13.51
22,1,0,middle third,middle third,ALL,1659,240,14.47,12.86,16.24
22,1,0,middle third,top third,ALL,1679,359,21.38,19.49,23.41
22,1,0,middle third,unknown,ALL,178,15,8.43,5.17,13.44
22,1,0,top third,bottom third,ALL,2110,160,7.58,6.53,8.79
22,1,0,top third,middle third,ALL,2361,220,9.32,8.21,10.56
22,1,0,top third,top third,ALL,2101,315,14.99,13.53,16.58
22,1,0,top third,unknown,ALL,254,20,7.87,5.15,11.85
22,1,0,unknown,bottom third,ALL,107,19,17.76,11.67,26.08
22,1,0,unknown,middle third,ALL,162,21,12.96,8.64,19.00
22,1,0,unknown,top third,ALL,176,37,21.02,15.65,27.63
22,1,0,unknown,unknown,ALL,1060,154,14.53,12.53,16.78
23,3,0,ALL,ALL,ALL,250,3,1.20,0.41,3.47
23,3,0,middle third,bottom third,ALL,38,1,2.63,0.47,13.50
23,3,0,top third,bottom third,ALL,53,0,0.00,0.00,6.76
23,3,0,top third,middle third,ALL,40,0,0.00,0.00,8.76
23,3,1,ALL,ALL,ALL,31,1,3.23,0.57,16.19
23,2,0,ALL,ALL,ALL,2468,117,4.74,3.97,5.65
23,2,0,bottom third,bottom third,ALL,176,8,4.55,2.32,8.71
23,2,0,bottom third,middle third,ALL,150,13,8.67,5.13,14.26
23,2,0,bottom third,top third,ALL,133,14,10.53,6.37,16.89
23,2,0,middle third,bottom third,ALL,244,11,4.51,2.54,7.89
23,2,0,middle third,middle third,ALL,194,9,4.64,2.46,8.58
23,2,0,middle third,top third,ALL,198,17,8.59,5.43,13.32
23,2,0,top third,bottom third,ALL,392,2,0.51,0.14,1.84
23,2,0,top third,middle third,ALL,380,13,3.42,2.01,5.76
23,2,0,top third,top third,ALL,294,14,4.76,2.86,7.83
23,2,0,top third,unknown,ALL,37,0,0.00,0.00,9.41
23,2,0,unknown,unknown,ALL,164,7,4.27,2.08,8.55
23,2,1,ALL,ALL,ALL,507,68,13.41,10.72,16.66
23,2,1,bottom third,bottom third,ALL,40,9,22.50,12.32,37.50
23,2,1,bottom third,middle third,ALL,38,10,26.32,14.97,42.01
23,2,1,bottom third,top third,ALL,30,10,33.33,19.23,51.22
23,2,1,middle third,bottom third,ALL,52,5,9.62,4.18,20.61
23,2,1,middle third,middle third,ALL,40,4,10.00,3.96,23.05
23,2,1,middle third,top third,ALL,44,7,15.91,7.93,29.37
23,2,1,top third,bottom third,ALL,63,4,6.35,2.50,15.22
23,2,1,top third,middle third,ALL,77,7,9.09,4.47,17.60
23,2,1,top third,top third,ALL,65,8,12.31,6.37,22.45
23,1,0,ALL,ALL,ALL,18174,2619,14.41,13.91,14.93
23,1,0,bottom third,bottom third,ALL,1315,206,15.67,13.80,17.73
23,1,0,bottom third,middle third,ALL,1505,279,18.54,16.66,20.58
23,1,0,bottom third,top third,ALL,1291,320,24.79,22.51,27.21
23,1,0,bottom third,unknown,ALL,103,18,17.48,11.35,25.94
23,1,0,middle third,bottom third,ALL,1829,217,11.86,10.46,13.43
23,1,0,middle third,middle third,ALL,1687,239,14.17,12.58,15.91
23,1,0,middle third,top third,ALL,1714,364,21.24,19.37,23.24
23,1,0,middle third,unknown,ALL,187,15,8.02,4.92,12.81
23,1,0,top third,bottom third,ALL,2148,162,7.54,6.50,8.74
23,1,0,top third,middle third,ALL,2442,224,9.17,8.09,10.38
23,1,0,top third,top third,ALL,2174,322,14.81,13.38,16.37
23,1,0,top third,unknown,ALL,255,20,7.84,5.13,11.80
23,1,0,unknown,bottom third,ALL,108,17,15.74,10.07,23.77
23,1,0,unknown,middle third,ALL,164,22,13.41,9.03,19.48
23,1,0,unknown,top third,ALL,178,39,21.91,16.46,28.54
23,1,0,unknown,unknown,ALL,1074,155,14.43,12.46,16.66
24,3,0,ALL,ALL,ALL,280,3,1.07,0.37,3.10
24,3,0,middle third,bottom third,ALL,41,1,2.44,0.43,12.60
24,3,0,top third,bottom third,ALL,58,0,0.00,0.00,6.21
24,3,0,top third,middle third,ALL,42,0,0.00,0.00,8.38
24,3,1,ALL,ALL,ALL,40,1,2.50,0.44,12.88
24,2,0,ALL,ALL,ALL,2664,122,4.58,3.85,5.44
24,2,0,bottom third,bottom third,ALL,183,8,4.37,2.23,8.39
24,2,0,bottom third,middle third,ALL,161,14,8.70,5.25,14.07
24,2,0,bottom third,top third,ALL,136,15,11.03,6.80,17.40
24,2,0,middle third,bottom third,ALL,270,13,4.81,2.84,8.06
24,2,0,middle third,middle third,ALL,216,11,5.09,2.87,8.89
24,2,0,middle third,top third,ALL,209,17,8.13,5.14,12.64
24,2,0,top third,bottom third,ALL,421,1,0.24,0.04,1.33
24,2,0,top third,middle third,ALL,424,13,3.07,1.80,5.17
24,2,0,top third,top third,ALL,323,14,4.33,2.60,7.14
24,2,0,top third,unknown,ALL,44,0,0.00,0.00,8.03
24,2,0,unknown,unknown,ALL,169,7,4.14,2.02,8.30
24,2,1,ALL,ALL,ALL,571,78,13.66,11.09,16.72
24,2,1,bottom third,bottom third,ALL,45,10,22.22,12.54,36.27
24,2,1,bottom third,middle third,ALL,39,11,28.21,16.54,43.78
24,2,1,bottom third,top third,ALL,37,12,32.43,19.63,48.54
24,2,1,middle third,bottom third,ALL,56,5,8.93,3.87,19.26
24,2,1,middle third,middle third,ALL,46,5,10.87,4.73,23.04
24,2,1,middle third,top third,ALL,48,8,16.67,8.70,29.58
24,2,1,top third,bottom third,ALL,74,7,9.46,4.66,18.26
24,2,1,top third,middle third,ALL,83,7,8.43,4.15,16.40
24,2,1,top third,top third,ALL,70,9,12.86,6.91,22.66
24,2,1,unknown,unknown,ALL,35,2,5.71,1.58,18.61
