minute,leader_goals,trailer_goals,leader_strength,trailer_strength,competition,matches,comebacks,comebacks_per_100,could_really_be_low_per_100,could_really_be_high_per_100
34,1,0,bottom third,bottom third,col.1,99,12,12.12,7.07,20.00
34,1,0,bottom third,middle third,col.1,120,21,17.50,11.74,25.28
34,1,0,bottom third,top third,col.1,101,14,13.86,8.44,21.93
34,1,0,middle third,bottom third,col.1,142,11,7.75,4.38,13.34
34,1,0,middle third,middle third,col.1,165,20,12.12,7.99,17.98
34,1,0,middle third,top third,col.1,149,18,12.08,7.78,18.29
34,1,0,top third,bottom third,col.1,147,15,10.20,6.28,16.15
34,1,0,top third,middle third,col.1,189,13,6.88,4.06,11.41
34,1,0,top third,top third,col.1,252,34,13.49,9.82,18.26
35,2,0,ALL,ALL,col.1,242,9,3.72,1.97,6.92
35,2,0,top third,bottom third,col.1,38,0,0.00,0.00,9.18
35,2,0,top third,middle third,col.1,36,1,2.78,0.49,14.17
35,2,0,top third,top third,col.1,51,2,3.92,1.08,13.22
35,2,1,ALL,ALL,col.1,83,9,10.84,5.81,19.34
35,1,0,ALL,ALL,col.1,1419,166,11.70,10.13,13.48
35,1,0,bottom third,bottom third,col.1,100,12,12.00,7.00,19.81
35,1,0,bottom third,middle third,col.1,122,22,18.03,12.22,25.80
35,1,0,bottom third,top third,col.1,102,15,14.71,9.12,22.85
35,1,0,middle third,bottom third,col.1,144,11,7.64,4.32,13.16
35,1,0,middle third,middle third,col.1,164,22,13.41,9.03,19.48
35,1,0,middle third,top third,col.1,150,17,11.33,7.20,17.40
35,1,0,top third,bottom third,col.1,146,15,10.27,6.33,16.26
35,1,0,top third,middle third,col.1,195,13,6.67,3.94,11.07
35,1,0,top third,top third,col.1,258,33,12.79,9.25,17.42
36,2,0,ALL,ALL,col.1,249,8,3.21,1.64,6.21
36,2,0,top third,bottom third,col.1,40,0,0.00,0.00,8.76
36,2,0,top third,middle third,col.1,36,1,2.78,0.49,14.17
36,2,0,top third,top third,col.1,53,1,1.89,0.33,9.94
36,2,1,ALL,ALL,col.1,89,11,12.36,7.04,20.79
36,1,0,ALL,ALL,col.1,1448,163,11.26,9.73,12.99
36,1,0,bottom third,bottom third,col.1,100,11,11.00,6.25,18.63
36,1,0,bottom third,middle third,col.1,127,22,17.32,11.73,24.84
36,1,0,bottom third,top third,col.1,101,14,13.86,8.44,21.93
36,1,0,middle third,bottom third,col.1,148,11,7.43,4.20,12.82
36,1,0,middle third,middle third,col.1,170,23,13.53,9.19,19.48
36,1,0,middle third,top third,col.1,154,15,9.74,5.99,15.45
36,1,0,top third,bottom third,col.1,152,17,11.18,7.10,17.18
36,1,0,top third,middle third,col.1,198,12,6.06,3.50,10.29
36,1,0,top third,top third,col.1,261,33,12.64,9.15,17.22
37,2,0,ALL,ALL,col.1,264,8,3.03,1.54,5.86
37,2,0,middle third,top third,col.1,31,1,3.23,0.57,16.19
37,2,0,top third,bottom third,col.1,39,0,0.00,0.00,8.97
37,2,0,top third,middle third,col.1,37,1,2.70,0.48,13.82
37,2,0,top third,top third,col.1,58,1,1.72,0.30,9.14
37,2,1,ALL,ALL,col.1,100,10,10.00,5.52,17.44
37,1,0,ALL,ALL,col.1,1477,164,11.10,9.60,12.81
37,1,0,bottom third,bottom third,col.1,103,12,11.65,6.79,19.27
37,1,0,bottom third,middle third,col.1,128,23,17.97,12.28,25.52
37,1,0,bottom third,top third,col.1,102,13,12.75,7.60,20.59
37,1,0,middle third,bottom third,col.1,151,12,7.95,4.60,13.38
37,1,0,middle third,middle third,col.1,172,23,13.37,9.08,19.27
37,1,0,middle third,top third,col.1,154,15,9.74,5.99,15.45
37,1,0,top third,bottom third,col.1,162,17,10.49,6.66,16.16
37,1,0,top third,middle third,col.1,201,12,5.97,3.45,10.14
37,1,0,top third,top third,col.1,265,32,12.08,8.68,16.55
38,2,0,ALL,ALL,col.1,265,8,3.02,1.54,5.84
38,2,0,middle third,top third,col.1,30,1,3.33,0.59,16.67
38,2,0,top third,bottom third,col.1,40,0,0.00,0.00,8.76
38,2,0,top third,middle third,col.1,38,0,0.00,0.00,9.18
38,2,0,top third,top third,col.1,57,1,1.75,0.31,9.29
38,2,1,ALL,ALL,col.1,110,12,10.91,6.35,18.11
38,1,0,ALL,ALL,col.1,1494,156,10.44,8.99,12.10
38,1,0,bottom third,bottom third,col.1,103,11,10.68,6.07,18.12
38,1,0,bottom third,middle third,col.1,133,22,16.54,11.18,23.78
38,1,0,bottom third,top third,col.1,107,15,14.02,8.68,21.85
38,1,0,middle third,bottom third,col.1,154,11,7.14,4.03,12.34
38,1,0,middle third,middle third,col.1,170,21,12.35,8.22,18.15
38,1,0,middle third,top third,col.1,153,14,9.15,5.53,14.77
38,1,0,top third,bottom third,col.1,161,15,9.32,5.73,14.80
38,1,0,top third,middle third,col.1,204,11,5.39,3.04,9.40
38,1,0,top third,top third,col.1,269,31,11.52,8.24,15.89
39,3,0,ALL,ALL,col.1,30,2,6.67,1.85,21.32
39,2,0,ALL,ALL,col.1,271,8,2.95,1.50,5.72
39,2,0,middle third,top third,col.1,30,1,3.33,0.59,16.67
39,2,0,top third,bottom third,col.1,43,0,0.00,0.00,8.20
39,2,0,top third,middle third,col.1,36,0,0.00,0.00,9.64
39,2,0,top third,top third,col.1,59,1,1.69,0.30,9.00
39,2,1,ALL,ALL,col.1,123,13,10.57,6.28,17.25
39,1,0,ALL,ALL,col.1,1515,152,10.03,8.62,11.65
39,1,0,bottom third,bottom third,col.1,104,11,10.58,6.01,17.95
39,1,0,bottom third,middle third,col.1,134,23,17.16,11.72,24.44
39,1,0,bottom third,top third,col.1,107,13,12.15,7.24,19.68
39,1,0,middle third,bottom third,col.1,159,11,6.92,3.91,11.96
39,1,0,middle third,middle third,col.1,168,19,11.31,7.36,16.99
39,1,0,middle third,top third,col.1,160,14,8.75,5.28,14.15
39,1,0,top third,bottom third,col.1,162,15,9.26,5.69,14.71
39,1,0,top third,middle third,col.1,206,9,4.37,2.32,8.09
39,1,0,top third,top third,col.1,277,32,11.55,8.30,15.85
40,3,0,ALL,ALL,col.1,31,2,6.45,1.79,20.72
40,2,0,ALL,ALL,col.1,284,8,2.82,1.43,5.46
40,2,0,middle third,bottom third,col.1,30,1,3.33,0.59,16.67
40,2,0,middle third,top third,col.1,33,1,3.03,0.54,15.32
40,2,0,top third,bottom third,col.1,46,0,0.00,0.00,7.71
40,2,0,top third,middle third,col.1,35,0,0.00,0.00,9.89
40,2,0,top third,top third,col.1,61,1,1.64,0.29,8.72
40,2,1,ALL,ALL,col.1,134,15,11.19,6.90,17.65
40,1,0,ALL,ALL,col.1,1509,154,10.21,8.78,11.84
40,1,0,bottom third,bottom third,col.1,105,11,10.48,5.95,17.79
40,1,0,bottom third,middle third,col.1,132,25,18.94,13.17,26.47
40,1,0,bottom third,top third,col.1,104,12,11.54,6.72,19.09
40,1,0,middle third,bottom third,col.1,159,11,6.92,3.91,11.96
40,1,0,middle third,middle third,col.1,170,20,11.76,7.75,17.47
40,1,0,middle third,top third,col.1,158,13,8.23,4.87,13.57
40,1,0,top third,bottom third,col.1,162,15,9.26,5.69,14.71
40,1,0,top third,middle third,col.1,206,10,4.85,2.66,8.70
40,1,0,top third,top third,col.1,275,32,11.64,8.36,15.97
41,3,0,ALL,ALL,col.1,32,1,3.12,0.55,15.74
41,2,0,ALL,ALL,col.1,286,8,2.80,1.42,5.42
41,2,0,middle third,bottom third,col.1,30,1,3.33,0.59,16.67
41,2,0,middle third,top third,col.1,32,1,3.12,0.55,15.74
41,2,0,top third,bottom third,col.1,50,0,0.00,0.00,7.14
41,2,0,top third,middle third,col.1,34,0,0.00,0.00,10.15
41,2,0,top third,top third,col.1,62,1,1.61,0.29,8.59
41,2,1,ALL,ALL,col.1,144,15,10.42,6.41,16.48
41,1,0,ALL,ALL,col.1,1520,154,10.13,8.71,11.75
41,1,0,bottom third,bottom third,col.1,105,10,9.52,5.26,16.65
41,1,0,bottom third,middle third,col.1,128,25,19.53,13.59,27.24
41,1,0,bottom third,top third,col.1,109,13,11.93,7.10,19.34
41,1,0,middle third,bottom third,col.1,161,11,6.83,3.86,11.82
41,1,0,middle third,middle third,col.1,169,19,11.24,7.32,16.89
41,1,0,middle third,top third,col.1,164,12,7.32,4.23,12.35
41,1,0,top third,bottom third,col.1,161,15,9.32,5.73,14.80
41,1,0,top third,middle third,col.1,209,11,5.26,2.96,9.18
41,1,0,top third,top third,col.1,276,33,11.96,8.64,16.32
42,3,0,ALL,ALL,col.1,33,2,6.06,1.68,19.61
42,2,0,ALL,ALL,col.1,289,7,2.42,1.18,4.91
42,2,0,middle third,bottom third,col.1,31,1,3.23,0.57,16.19
42,2,0,middle third,top third,col.1,33,1,3.03,0.54,15.32
42,2,0,top third,bottom third,col.1,47,0,0.00,0.00,7.56
42,2,0,top third,middle third,col.1,36,0,0.00,0.00,9.64
42,2,0,top third,top third,col.1,63,1,1.59,0.28,8.46
42,2,1,ALL,ALL,col.1,156,18,11.54,7.42,17.50
42,1,0,ALL,ALL,col.1,1525,153,10.03,8.62,11.64
42,1,0,bottom third,bottom third,col.1,104,9,8.65,4.62,15.63
42,1,0,bottom third,middle third,col.1,126,24,19.05,13.15,26.78
42,1,0,bottom third,top third,col.1,106,13,12.26,7.31,19.86
42,1,0,middle third,bottom third,col.1,163,12,7.36,4.26,12.43
42,1,0,middle third,middle third,col.1,171,19,11.11,7.23,16.70
42,1,0,middle third,top third,col.1,167,12,7.19,4.16,12.14
42,1,0,top third,bottom third,col.1,160,15,9.38,5.76,14.89
42,1,0,top third,middle third,col.1,211,11,5.21,2.94,9.09
42,1,0,top third,top third,col.1,278,34,12.23,8.89,16.60
43,3,0,ALL,ALL,col.1,35,2,5.71,1.58,18.61
43,2,0,ALL,ALL,col.1,294,6,2.04,0.94,4.38
43,2,0,middle third,bottom third,col.1,30,1,3.33,0.59,16.67
43,2,0,middle third,top third,col.1,31,0,0.00,0.00,11.03
43,2,0,top third,bottom third,col.1,49,0,0.00,0.00,7.27
43,2,0,top third,middle third,col.1,37,0,0.00,0.00,9.41
43,2,0,top third,top third,col.1,64,1,1.56,0.28,8.33
43,2,1,ALL,ALL,col.1,166,19,11.45,7.45,17.18
43,1,0,ALL,ALL,col.1,1517,141,9.29,7.93,10.86
43,1,0,bottom third,bottom third,col.1,102,8,7.84,4.03,14.72
43,1,0,bottom third,middle third,col.1,126,24,19.05,13.15,26.78
43,1,0,bottom third,top third,col.1,105,11,10.48,5.95,17.79
43,1,0,middle third,bottom third,col.1,162,12,7.41,4.29,12.50
43,1,0,middle third,middle third,col.1,169,18,10.65,6.84,16.21
43,1,0,middle third,top third,col.1,169,11,6.51,3.67,11.28
43,1,0,top third,bottom third,col.1,158,13,8.23,4.87,13.57
43,1,0,top third,middle third,col.1,211,10,4.74,2.59,8.50
43,1,0,top third,top third,col.1,275,30,10.91,7.75,15.15
44,3,0,ALL,ALL,col.1,37,2,5.41,1.50,17.70
44,3,1,ALL,ALL,col.1,31,2,6.45,1.79,20.72
44,2,0,ALL,ALL,col.1,299,7,2.34,1.14,4.75
44,2,0,middle third,bottom third,col.1,31,1,3.23,0.57,16.19
44,2,0,middle third,top third,col.1,30,0,0.00,0.00,11.35
44,2,0,top third,bottom third,col.1,49,0,0.00,0.00,7.27
44,2,0,top third,middle third,col.1,37,0,0.00,0.00,9.41
44,2,0,top third,top third,col.1,66,2,3.03,0.83,10.39
44,2,1,ALL,ALL,col.1,176,20,11.36,7.48,16.90
44,1,0,ALL,ALL,col.1,1514,140,9.25,7.89,10.81
44,1,0,bottom third,bottom third,col.1,102,8,7.84,4.03,14.72
44,1,0,bottom third,middle third,col.1,129,25,19.38,13.49,27.05
44,1,0,bottom third,top third,col.1,103,12,11.65,6.79,19.27
44,1,0,middle third,bottom third,col.1,160,11,6.88,3.88,11.89
44,1,0,middle third,middle third,col.1,165,17,10.30,6.53,15.88
44,1,0,middle third,top third,col.1,166,11,6.63,3.74,11.48
44,1,0,top third,bottom third,col.1,160,12,7.50,4.34,12.65
44,1,0,top third,middle third,col.1,214,10,4.67,2.56,8.39
44,1,0,top third,top third,col.1,275,31,11.27,8.06,15.56
45,3,0,ALL,ALL,col.1,43,1,2.33,0.41,12.06
45,3,1,ALL,ALL,col.1,36,2,5.56,1.54,18.14
45,2,0,ALL,ALL,col.1,335,6,1.79,0.82,3.85
45,2,0,middle third,bottom third,col.1,37,1,2.70,0.48,13.82
45,2,0,middle third,top third,col.1,31,0,0.00,0.00,11.03
45,2,0,top third,bottom third,col.1,49,0,0.00,0.00,7.27
45,2,0,top third,middle third,col.1,45,0,0.00,0.00,7.87
45,2,0,top third,top third,col.1,72,2,2.78,0.77,9.57
45,2,1,ALL,ALL,col.1,223,20,8.97,5.88,13.45
45,2,1,middle third,top third,col.1,34,4,11.76,4.67,26.62
45,2,1,top third,middle third,col.1,31,4,12.90,5.13,28.85
45,2,1,top third,top third,col.1,36,2,5.56,1.54,18.14
45,1,0,ALL,ALL,col.1,1485,123,8.28,6.99,9.79
45,1,0,bottom third,bottom third,col.1,89,4,4.49,1.76,10.99
45,1,0,bottom third,middle third,col.1,122,20,16.39,10.87,23.97
45,1,0,bottom third,top third,col.1,103,13,12.62,7.53,20.40
45,1,0,middle third,bottom third,col.1,168,13,7.74,4.58,12.79
45,1,0,middle third,middle third,col.1,165,17,10.30,6.53,15.88
45,1,0,middle third,top third,col.1,158,9,5.70,3.03,10.47
45,1,0,top third,bottom third,col.1,163,11,6.75,3.81,11.68
45,1,0,top third,middle third,col.1,209,8,3.83,1.95,7.37
45,1,0,top third,top third,col.1,268,25,9.33,6.40,13.41
46,3,0,ALL,ALL,col.1,47,1,2.13,0.38,11.11
46,3,1,ALL,ALL,col.1,36,2,5.56,1.54,18.14
46,2,0,ALL,ALL,col.1,338,5,1.48,0.63,3.42
46,2,0,middle third,bottom third,col.1,36,0,0.00,0.00,9.64
46,2,0,middle third,top third,col.1,32,0,0.00,0.00,10.72
46,2,0,top third,bottom third,col.1,50,0,0.00,0.00,7.14
46,2,0,top third,middle third,col.1,46,0,0.00,0.00,7.71
46,2,0,top third,top third,col.1,73,2,2.74,0.75,9.45
46,2,1,ALL,ALL,col.1,232,21,9.05,6.00,13.44
46,2,1,middle third,top third,col.1,35,4,11.43,4.54,25.95
46,2,1,top third,middle third,col.1,32,4,12.50,4.97,28.07
46,2,1,top third,top third,col.1,38,2,5.26,1.46,17.29
46,1,0,ALL,ALL,col.1,1489,120,8.06,6.78,9.55
46,1,0,bottom third,bottom third,col.1,87,4,4.60,1.80,11.23
46,1,0,bottom third,middle third,col.1,125,20,16.00,10.60,23.42
46,1,0,bottom third,top third,col.1,105,12,11.43,6.66,18.92
46,1,0,middle third,bottom third,col.1,166,13,7.83,4.63,12.94
46,1,0,middle third,middle third,col.1,167,17,10.18,6.45,15.70
46,1,0,middle third,top third,col.1,158,9,5.70,3.03,10.47
46,1,0,top third,bottom third,col.1,161,10,6.21,3.41,11.05
46,1,0,top third,middle third,col.1,209,7,3.35,1.63,6.75
46,1,0,top third,top third,col.1,269,25,9.29,6.37,13.36
47,3,0,ALL,ALL,col.1,49,1,2.04,0.36,10.69
47,3,1,ALL,ALL,col.1,39,2,5.13,1.42,16.89
47,2,0,ALL,ALL,col.1,346,6,1.73,0.80,3.73
47,2,0,middle third,bottom third,col.1,36,0,0.00,0.00,9.64
47,2,0,middle third,top third,col.1,34,0,0.00,0.00,10.15
47,2,0,top third,bottom third,col.1,52,0,0.00,0.00,6.88
47,2,0,top third,middle third,col.1,44,0,0.00,0.00,8.03
47,2,0,top third,top third,col.1,76,2,2.63,0.72,9.10
47,2,1,ALL,ALL,col.1,235,22,9.36,6.26,13.77
47,2,1,middle third,top third,col.1,35,4,11.43,4.54,25.95
47,2,1,top third,middle third,col.1,33,4,12.12,4.82,27.33
47,2,1,top third,top third,col.1,38,3,7.89,2.72,20.80
47,1,0,ALL,ALL,col.1,1480,117,7.91,6.64,9.39
47,1,0,bottom third,bottom third,col.1,85,3,3.53,1.21,9.87
47,1,0,bottom third,middle third,col.1,123,18,14.63,9.46,21.95
47,1,0,bottom third,top third,col.1,105,12,11.43,6.66,18.92
47,1,0,middle third,bottom third,col.1,168,13,7.74,4.58,12.79
47,1,0,middle third,middle third,col.1,164,16,9.76,6.09,15.26
47,1,0,middle third,top third,col.1,157,9,5.73,3.04,10.53
47,1,0,top third,bottom third,col.1,158,10,6.33,3.47,11.26
47,1,0,top third,middle third,col.1,208,7,3.37,1.64,6.78
47,1,0,top third,top third,col.1,269,26,9.67,6.68,13.79
48,3,0,ALL,ALL,col.1,56,1,1.79,0.32,9.45
48,3,1,ALL,ALL,col.1,42,2,4.76,1.32,15.79
48,2,0,ALL,ALL,col.1,346,5,1.45,0.62,3.34
48,2,0,middle third,bottom third,col.1,36,0,0.00,0.00,9.64
48,2,0,middle third,top third,col.1,33,0,0.00,0.00,10.43
48,2,0,top third,bottom third,col.1,52,0,0.00,0.00,6.88
48,2,0,top third,middle third,col.1,46,0,0.00,0.00,7.71
48,2,0,top third,top third,col.1,73,1,1.37,0.24,7.36
48,2,1,ALL,ALL,col.1,244,23,9.43,6.36,13.75
48,2,1,middle third,top third,col.1,36,4,11.11,4.41,25.32
48,2,1,top third,middle third,col.1,33,3,9.09,3.14,23.57
48,2,1,top third,top third,col.1,42,5,11.90,5.19,25.00
48,1,0,ALL,ALL,col.1,1477,116,7.85,6.59,9.34
48,1,0,bottom third,bottom third,col.1,86,4,4.65,1.82,11.36
48,1,0,bottom third,middle third,col.1,124,18,14.52,9.38,21.78
48,1,0,bottom third,top third,col.1,106,10,9.43,5.21,16.50
48,1,0,middle third,bottom third,col.1,166,12,7.23,4.18,12.21
48,1,0,middle third,middle third,col.1,165,15,9.09,5.59,14.46
48,1,0,middle third,top third,col.1,160,9,5.62,2.99,10.34
48,1,0,top third,bottom third,col.1,154,10,6.49,3.57,11.54
48,1,0,top third,middle third,col.1,205,7,3.41,1.66,6.88
48,1,0,top third,top third,col.1,268,28,10.45,7.33,14.69
49,3,0,ALL,ALL,col.1,62,1,1.61,0.29,8.59
49,3,1,ALL,ALL,col.1,41,2,4.88,1.35,16.14
49,2,0,ALL,ALL,col.1,347,5,1.44,0.62,3.33
49,2,0,middle third,bottom third,col.1,35,0,0.00,0.00,9.89
49,2,0,middle third,top third,col.1,36,0,0.00,0.00,9.64
49,2,0,top third,bottom third,col.1,53,0,0.00,0.00,6.76
49,2,0,top third,middle third,col.1,47,0,0.00,0.00,7.56
49,2,0,top third,top third,col.1,70,1,1.43,0.25,7.66
49,2,1,ALL,ALL,col.1,254,20,7.87,5.15,11.85
49,2,1,middle third,top third,col.1,37,4,10.81,4.29,24.71
49,2,1,top third,middle third,col.1,34,3,8.82,3.05,22.96
49,2,1,top third,top third,col.1,45,5,11.11,4.84,23.50
49,1,0,ALL,ALL,col.1,1478,114,7.71,6.46,9.19
49,1,0,bottom third,bottom third,col.1,88,4,4.55,1.78,11.11
49,1,0,bottom third,middle third,col.1,127,18,14.17,9.16,21.29
49,1,0,bottom third,top third,col.1,107,12,11.21,6.53,18.59
49,1,0,middle third,bottom third,col.1,163,11,6.75,3.81,11.68
49,1,0,middle third,middle third,col.1,163,14,8.59,5.19,13.90
49,1,0,middle third,top third,col.1,159,9,5.66,3.01,10.41
49,1,0,top third,bottom third,col.1,154,9,5.84,3.10,10.73
49,1,0,top third,middle third,col.1,202,7,3.47,1.69,6.98
49,1,0,top third,top third,col.1,272,28,10.29,7.22,14.48
50,3,0,ALL,ALL,col.1,63,1,1.59,0.28,8.46
50,3,1,ALL,ALL,col.1,41,2,4.88,1.35,16.14
50,2,0,ALL,ALL,col.1,354,5,1.41,0.60,3.26
50,2,0,middle third,bottom third,col.1,37,0,0.00,0.00,9.41
50,2,0,middle third,top third,col.1,38,0,0.00,0.00,9.18
50,2,0,top third,bottom third,col.1,53,0,0.00,0.00,6.76
50,2,0,top third,middle third,col.1,48,0,0.00,0.00,7.41
50,2,0,top third,top third,col.1,71,1,1.41,0.25,7.56
50,2,1,ALL,ALL,col.1,263,20,7.60,4.98,11.45
50,2,1,middle third,top third,col.1,37,5,13.51,5.91,27.98
50,2,1,top third,middle third,col.1,36,3,8.33,2.87,21.83
50,2,1,top third,top third,col.1,45,4,8.89,3.51,20.73
50,1,0,ALL,ALL,col.1,1470,111,7.55,6.31,9.02
50,1,0,bottom third,bottom third,col.1,85,4,4.71,1.84,11.48
50,1,0,bottom third,middle third,col.1,123,18,14.63,9.46,21.95
50,1,0,bottom third,top third,col.1,106,12,11.32,6.60,18.75
50,1,0,middle third,bottom third,col.1,157,9,5.73,3.04,10.53
50,1,0,middle third,middle third,col.1,162,13,8.02,4.75,13.24
50,1,0,middle third,top third,col.1,158,9,5.70,3.03,10.47
50,1,0,top third,bottom third,col.1,157,9,5.73,3.04,10.53
50,1,0,top third,middle third,col.1,203,7,3.45,1.68,6.95
50,1,0,top third,top third,col.1,276,28,10.14,7.11,14.27
51,3,0,ALL,ALL,col.1,65,1,1.54,0.27,8.21
51,3,1,ALL,ALL,col.1,42,2,4.76,1.32,15.79
51,2,0,ALL,ALL,col.1,365,6,1.64,0.76,3.54
51,2,0,bottom third,bottom third,col.1,31,1,3.23,0.57,16.19
51,2,0,middle third,bottom third,col.1,36,0,0.00,0.00,9.64
51,2,0,middle third,top third,col.1,40,0,0.00,0.00,8.76
51,2,0,top third,bottom third,col.1,54,0,0.00,0.00,6.64
51,2,0,top third,middle third,col.1,50,0,0.00,0.00,7.14
51,2,0,top third,top third,col.1,74,1,1.35,0.24,7.27
51,2,1,ALL,ALL,col.1,269,21,7.81,5.16,11.64
51,2,1,middle third,top third,col.1,36,5,13.89,6.08,28.66
51,2,1,top third,middle third,col.1,36,3,8.33,2.87,21.83
51,2,1,top third,top third,col.1,47,5,10.64,4.63,22.59
51,1,0,ALL,ALL,col.1,1469,107,7.28,6.06,8.73
51,1,0,bottom third,bottom third,col.1,87,4,4.60,1.80,11.23
51,1,0,bottom third,middle third,col.1,122,18,14.75,9.54,22.12
51,1,0,bottom third,top third,col.1,106,11,10.38,5.89,17.63
51,1,0,middle third,bottom third,col.1,163,9,5.52,2.93,10.16
51,1,0,middle third,middle third,col.1,161,11,6.83,3.86,11.82
51,1,0,middle third,top third,col.1,156,9,5.77,3.06,10.60
51,1,0,top third,bottom third,col.1,156,9,5.77,3.06,10.60
51,1,0,top third,middle third,col.1,203,8,3.94,2.01,7.58
51,1,0,top third,top third,col.1,273,27,9.89,6.89,14.01
52,3,0,ALL,ALL,col.1,69,1,1.45,0.26,7.76
52,3,1,ALL,ALL,col.1,48,2,4.17,1.15,13.98
52,2,0,ALL,ALL,col.1,375,6,1.60,0.74,3.45
52,2,0,bottom third,bottom third,col.1,31,1,3.23,0.57,16.19
52,2,0,middle third,bottom third,col.1,35,0,0.00,0.00,9.89
52,2,0,middle third,top third,col.1,42,0,0.00,0.00,8.38
52,2,0,top third,bottom third,col.1,56,1,1.79,0.32,9.45
52,2,0,top third,middle third,col.1,50,0,0.00,0.00,7.14
52,2,0,top third,top third,col.1,75,1,1.33,0.24,7.17
52,2,1,ALL,ALL,col.1,272,22,8.09,5.40,11.94
52,2,1,middle third,top third,col.1,36,5,13.89,6.08,28.66
52,2,1,top third,middle third,col.1,35,3,8.57,2.96,22.38
52,2,1,top third,top third,col.1,49,6,12.24,5.73,24.24
52,1,0,ALL,ALL,col.1,1457,102,7.00,5.80,8.43
52,1,0,bottom third,bottom third,col.1,90,4,4.44,1.74,10.88
52,1,0,bottom third,middle third,col.1,121,17,14.05,8.96,21.35
52,1,0,bottom third,top third,col.1,103,9,8.74,4.67,15.78
52,1,0,middle third,bottom third,col.1,166,9,5.42,2.88,9.98
52,1,0,middle third,middle third,col.1,159,11,6.92,3.91,11.96
52,1,0,middle third,top third,col.1,154,9,5.84,3.10,10.73
52,1,0,top third,bottom third,col.1,152,8,5.26,2.69,10.04
52,1,0,top third,middle third,col.1,199,8,4.02,2.05,7.73
52,1,0,top third,top third,col.1,273,26,9.52,6.58,13.59
53,3,0,ALL,ALL,col.1,71,1,1.41,0.25,7.56
53,3,1,ALL,ALL,col.1,53,2,3.77,1.04,12.75
53,2,0,ALL,ALL,col.1,389,6,1.54,0.71,3.32
53,2,0,bottom third,bottom third,col.1,32,1,3.12,0.55,15.74
53,2,0,middle third,bottom third,col.1,37,0,0.00,0.00,9.41
53,2,0,middle third,middle third,col.1,30,1,3.33,0.59,16.67
53,2,0,middle third,top third,col.1,41,0,0.00,0.00,8.57
53,2,0,top third,bottom third,col.1,58,1,1.72,0.30,9.14
53,2,0,top third,middle third,col.1,53,0,0.00,0.00,6.76
53,2,0,top third,top third,col.1,78,1,1.28,0.23,6.91
53,2,1,ALL,ALL,col.1,278,20,7.19,4.71,10.85
53,2,1,middle third,top third,col.1,37,5,13.51,5.91,27.98
53,2,1,top third,middle third,col.1,38,3,7.89,2.72,20.80
53,2,1,top third,top third,col.1,50,6,12.00,5.62,23.81
53,1,0,ALL,ALL,col.1,1442,96,6.66,5.48,8.06
53,1,0,bottom third,bottom third,col.1,92,4,4.35,1.70,10.65
53,1,0,bottom third,middle third,col.1,120,17,14.17,9.04,21.52
53,1,0,bottom third,top third,col.1,103,8,7.77,3.99,14.58
53,1,0,middle third,bottom third,col.1,167,9,5.39,2.86,9.92
53,1,0,middle third,middle third,col.1,151,10,6.62,3.64,11.76
53,1,0,middle third,top third,col.1,155,10,6.45,3.54,11.47
53,1,0,top third,bottom third,col.1,151,8,5.30,2.71,10.11
53,1,0,top third,middle third,col.1,198,8,4.04,2.06,7.77
53,1,0,top third,top third,col.1,264,21,7.95,5.26,11.85
54,3,0,ALL,ALL,col.1,77,1,1.30,0.23,7.00
54,3,1,ALL,ALL,col.1,55,2,3.64,1.00,12.32
54,2,0,ALL,ALL,col.1,395,6,1.52,0.70,3.27
54,2,0,bottom third,bottom third,col.1,34,1,2.94,0.52,14.92
54,2,0,middle third,bottom third,col.1,41,0,0.00,0.00,8.57
54,2,0,middle third,middle third,col.1,30,1,3.33,0.59,16.67
54,2,0,middle third,top third,col.1,42,0,0.00,0.00,8.38
54,2,0,top third,bottom third,col.1,57,1,1.75,0.31,9.29
54,2,0,top third,middle third,col.1,55,0,0.00,0.00,6.53
54,2,0,top third,top third,col.1,77,1,1.30,0.23,7.00
54,2,1,ALL,ALL,col.1,288,22,7.64,5.10,11.29
54,2,1,middle third,middle third,col.1,30,1,3.33,0.59,16.67
54,2,1,middle third,top third,col.1,37,5,13.51,5.91,27.98
54,2,1,top third,bottom third,col.1,30,0,0.00,0.00,11.35
54,2,1,top third,middle third,col.1,37,3,8.11,2.80,21.30
54,2,1,top third,top third,col.1,54,7,12.96,6.42,24.42
54,1,0,ALL,ALL,col.1,1429,88,6.16,5.03,7.53
54,1,0,bottom third,bottom third,col.1,90,4,4.44,1.74,10.88
54,1,0,bottom third,middle third,col.1,119,17,14.29,9.11,21.69
54,1,0,bottom third,top third,col.1,100,6,6.00,2.78,12.48
54,1,0,middle third,bottom third,col.1,161,7,4.35,2.12,8.70
54,1,0,middle third,middle third,col.1,148,8,5.41,2.76,10.30
54,1,0,middle third,top third,col.1,152,10,6.58,3.61,11.69
54,1,0,top third,bottom third,col.1,155,8,5.16,2.64,9.85
54,1,0,top third,middle third,col.1,194,8,4.12,2.10,7.92
54,1,0,top third,top third,col.1,269,19,7.06,4.57,10.77
55,3,0,ALL,ALL,col.1,80,1,1.25,0.22,6.75
55,3,1,ALL,ALL,col.1,56,1,1.79,0.32,9.45
55,2,0,ALL,ALL,col.1,400,5,1.25,0.54,2.89
55,2,0,bottom third,bottom third,col.1,34,1,2.94,0.52,14.92
