=== ITF men + women: 24296 settled tickers, 1215 cells

ULTIMATE WIN -- out-of-sample, non-sparse, sorted by lift
 peak      dip     n    rate    base    lift         p  BH
   80   draw50    80   786   -13.4%  39.6%   -0.051
   85   dest30    60   470   -15.7%  38.3%   -0.046
   85   dest30    70   470   -12.8%  34.3%   -0.037
   85   dest30    80   470   -16.7%  28.7%   -0.048
   85   dest40    60   559   -13.1%  53.7%   -0.051
   85   dest40    70   559    -9.6%  47.9%   -0.037
   85   dest40    80   559   -14.2%  39.9%   -0.055
   85   dest50    60   695    -9.5%  71.1%   -0.047
   85   dest50    70   695    -7.1%  62.9%   -0.035
   85   dest50    80   695    -9.3%  53.8%   -0.046
   85   dest60    60   881    -9.5%  42.3%   -0.057
   85   dest60    70   881    -8.9%  74.7%   -0.053
   85   dest60    80   881    -9.5%  65.8%   -0.057
   85   draw10    60  1960    -8.2%   8.8%   -0.068
   85   draw10    70  1960    -7.7%  10.4%   -0.064
   85   draw10    80  1960    -7.2%  31.4%   -0.060
   85   draw20    60  1233    -8.4%  12.3%   -0.061
   85   draw20    70  1233    -8.2%  35.6%   -0.059
   85   draw20    80  1233    -7.2%  74.0%   -0.052
   85   draw30    60   916    -9.6%  37.0%   -0.059
   85   draw30    70   916    -8.9%  72.2%   -0.055
   85   draw30    80   916    -9.2%  68.0%   -0.057
   85   draw40    60   716    -9.9%  71.2%   -0.051
   85   draw40    70   716    -8.4%  64.7%   -0.043
   85   draw40    80   716    -9.9%  55.7%   -0.051
   85   draw50    60   583   -10.9%  57.1%   -0.044
   85   draw50    70   583    -7.2%  51.1%   -0.029
   85   draw50    80   583   -11.4%  43.1%   -0.046
   90   dest30    60   268   -10.6%  39.6%   -0.030
   90   dest30    70   268    -8.4%  35.1%   -0.024
   90   dest30    80   268   -13.1%  29.5%   -0.038
   90   dest40    60   318   -13.7%  51.9%   -0.053
   90   dest40    70   318    -9.3%  46.9%   -0.036
   90   dest40    80   318   -14.0%  39.3%   -0.054
   90   dest50    60   397    -9.8%  69.5%   -0.048
   90   dest50    70   397    -7.2%  61.7%   -0.035
   90   dest50    80   397    -9.8%  52.9%   -0.048
   90   dest60    60   508    -9.1%  47.2%   -0.054
   90   dest60    70   508    -8.4%  74.4%   -0.050
   90   dest60    80   508    -8.8%  65.6%   -0.053
   90   draw10    60  1360    -7.3%  10.4%   -0.062
   90   draw10    70  1360    -7.2%  11.1%   -0.062
   90   draw10    80  1360    -6.5%  19.1%   -0.056
   90   draw20    60   807    -8.3%  11.5%   -0.062
   90   draw20    70   807    -8.2%  20.8%   -0.061
   90   draw20    80   807    -7.0%  73.0%   -0.052
   90   draw30    60   567    -8.9%  24.3%   -0.057
   90   draw30    70   567    -9.2%  71.4%   -0.059
   90   draw30    80   567    -8.7%  71.1%   -0.056
   90   draw40    60   440   -10.1%  72.3%   -0.055
   90   draw40    70   440    -8.8%  67.3%   -0.047
   90   draw40    80   440    -9.5%  58.6%   -0.052
   90   draw50    60   352    -9.0%  61.4%   -0.039
   90   draw50    70   352    -5.7%  54.8%   -0.025
   90   draw50    80   352    -9.9%  46.6%   -0.043
