=== ATP + WTA main tour: 3576 settled tickers, 1215 cells

ULTIMATE WIN -- out-of-sample, non-sparse, sorted by lift
 peak      dip     n    rate    base    lift         p  BH
   85   dest30    80    91   -15.9%  26.4%   -0.043
   85   dest40    60   107    -9.1%  54.2%   -0.034
   85   dest40    70   107   -19.8%  41.1%   -0.074
   85   dest40    80   107   -17.7%  36.4%   -0.066
   85   dest50    60   122   -10.6%  70.5%   -0.052
   85   dest50    70   122   -13.4%  58.2%   -0.066
   85   dest50    80   122   -14.8%  50.0%   -0.073
   85   dest60    60   144   -12.2%  40.3%   -0.072
   85   dest60    70   144   -10.3%  73.6%   -0.061
   85   dest60    80   144   -13.2%  61.8%   -0.078
   85   draw10    60   324    -6.7%  14.5%   -0.054
   85   draw10    70   324    -6.1%  17.6%   -0.049
   85   draw10    80   324    -7.3%  42.3%   -0.059
   85   draw20    60   200    -8.2%  15.5%   -0.058
   85   draw20    70   200    -6.7%  42.0%   -0.048
   85   draw20    80   200    -9.5%  71.5%   -0.067
   85   draw30    60   152    -9.3%  36.2%   -0.057
   85   draw30    70   152    -7.7%  75.0%   -0.047
   85   draw30    80   152   -13.1%  64.5%   -0.081
   85   draw40    60   126   -14.9%  69.0%   -0.075
   85   draw40    70   126   -15.9%  57.9%   -0.080
   85   draw40    80   126   -15.5%  50.8%   -0.078
   85   draw50    60   109   -10.8%  56.9%   -0.043
   85   draw50    70   109   -19.7%  44.0%   -0.078
   85   draw50    80   109   -18.3%  38.5%   -0.073
   90   dest30    60    56   -15.5%  35.7%   -0.041
   90   dest30    70    56   -33.0%  25.0%   -0.087
   90   dest30    80    56   -25.1%  23.2%   -0.066
   90   dest40    60    65    -6.5%  55.4%   -0.024
   90   dest40    70    65   -22.3%  40.0%   -0.082
   90   dest40    80    65   -22.9%  33.8%   -0.084
   90   dest50    60    76   -11.7%  71.1%   -0.057
   90   dest50    70    76   -16.7%  56.6%   -0.082
   90   dest50    80    76   -17.4%  48.7%   -0.085
   90   dest60    60    88   -14.5%  42.0%   -0.085
   90   dest60    70    88   -14.6%  69.3%   -0.086
   90   dest60    80    88   -16.0%  59.1%   -0.094
   90   draw10    60   227    -5.8%  17.6%   -0.049
   90   draw10    70   227    -5.3%  20.3%   -0.044
   90   draw10    80   227    -8.5%  28.6%   -0.071
   90   draw20    60   130    -8.6%  10.8%   -0.063
   90   draw20    70   130    -7.0%  30.0%   -0.051
   90   draw20    80   130   -12.0%  68.5%   -0.088
   90   draw30    60   101    -9.4%  21.8%   -0.060
   90   draw30    70   101    -8.8%  75.2%   -0.056
   90   draw30    80   101   -15.2%  65.3%   -0.097
   90   draw40    60    83   -15.2%  72.3%   -0.081
   90   draw40    70    83   -16.1%  61.4%   -0.086
   90   draw40    80    83   -16.8%  53.0%   -0.090
   90   draw50    60    69   -11.0%  60.9%   -0.046
   90   draw50    70    69   -21.3%  46.4%   -0.090
   90   draw50    80    69   -22.3%  39.1%   -0.094
