series,category,frequency,fee_type,n_open_markets,n_settled_downloaded,median_spread_cents,median_price,quoted_fraction,median_volume,markets_per_event,strike_types,breakeven_edge_cents,d1_ground_truth,d2_cost_bar,d3_liquidity,d4_structural,d5_recurrence,d6_counterparty,d7_settlement,d8_data_cost,total_score,killed,kill_reasons
KXBTCD,Crypto,hourly,quadratic,130,60000,3.0,0.975,0.562,614.4,65.0,greater,3.36,3,4,3,4,5,,5,5,29,False,
KXHIGHDEN,Unknown,,quadratic,6,396,1.0,0.125,1.0,367.0,6.0,"between,greater,less",2.54,5,4,3,4,3,,5,5,29,False,
KXHIGHCHI,Unknown,,quadratic,6,396,3.0,0.0925,1.0,1406.5,6.0,"between,greater,less",4.18,5,3,3,4,3,,5,5,28,False,
KXHIGHLAX,Unknown,,quadratic,12,396,3.0,0.13,0.583,24815.7,6.0,"between,greater,less",4.6,5,3,3,4,3,,5,5,28,False,
KXHIGHMIA,Unknown,,quadratic,6,396,1.5,0.26,0.667,3567.2,6.0,"between,greater,less",4.2,5,3,2,4,3,,5,5,27,False,
KXHIGHNY,Unknown,,quadratic,6,396,2.0,0.19,0.833,4185.2,6.0,"between,greater,less",4.16,5,3,2,4,3,,5,5,27,False,
KXHIGHPHIL,Unknown,,quadratic,6,396,5.5,0.085,1.0,637.2,6.0,"between,greater,less",6.6,5,2,3,4,3,,5,5,27,False,
KXHIGHTBOS,Unknown,,quadratic,6,0,1.0,0.075,1.0,595.9,6.0,"between,greater,less",1.98,5,5,3,4,0,,5,5,27,False,
KXHIGHTOKC,Unknown,,quadratic,6,0,1.0,0.0725,1.0,216.8,6.0,"between,greater,less",1.96,5,5,3,4,0,,5,5,27,False,
KXINXY,Financials,annual,quadratic_with_maker_fees,27,0,1.0,0.035,0.778,154898.0,27.0,"between,greater,less",1.48,3,5,4,5,0,,5,5,27,False,
KXNASDAQ100Y,Financials,annual,quadratic_with_maker_fees,30,0,1.0,0.03,0.867,69038.9,30.0,"between,greater,less",1.42,3,5,4,5,0,,5,5,27,False,
KXHIGHAUS,Unknown,,quadratic,6,396,5.0,0.055,0.833,409.5,6.0,"between,greater,less",5.74,5,2,2,4,3,,5,5,26,False,
KXHIGHTDC,Unknown,,quadratic,6,0,2.0,0.0875,1.0,403.2,6.0,"between,greater,less",3.12,5,4,3,4,0,,5,5,26,False,
KXBTCMAXY,Crypto,annual,quadratic,7,0,1.0,0.055,1.0,516203.1,7.0,greater,1.74,3,5,4,3,0,,5,5,25,False,
KXGDPYEAR,Economics,custom,quadratic,154,0,1.0,0.065,0.831,2909.2,14.0,"between,greater,less",1.86,4,5,3,5,0,,3,5,25,False,
KXHIGHTATL,Unknown,,quadratic,6,0,2.5,0.09,1.0,1832.9,6.0,"between,greater,less",3.66,5,3,3,4,0,,5,5,25,False,
KXHIGHTSATX,Unknown,,quadratic,6,0,2.5,0.115,1.0,218.5,6.0,"between,greater,less",3.94,5,3,3,4,0,,5,5,25,False,
KXHIGHTSEA,Unknown,,quadratic,12,0,1.0,0.215,0.583,1454.8,6.0,"between,greater,less",3.38,5,4,2,4,0,,5,5,25,False,
KXBTCMAX100,Crypto,annual,quadratic,5,0,1.0,0.065,1.0,6192.7,5.0,greater,1.86,3,5,3,3,0,,5,5,24,False,
KXETHMAXY,Crypto,annual,quadratic,8,0,1.0,0.085,1.0,244686.0,8.0,greater,2.1,3,4,4,3,0,,5,5,24,False,
KXHIGHTMIN,Unknown,,quadratic,6,0,4.5,0.0875,1.0,350.1,6.0,"between,greater,less",5.62,5,2,3,4,0,,5,5,24,False,
KXINXMAXY,Financials,annual,quadratic,7,0,1.9,0.109,1.0,63483.1,7.0,greater,3.26,3,4,4,3,0,,5,5,24,False,
KXSOLMAXY,Crypto,annual,quadratic,8,0,2.0,0.0925,1.0,35883.3,8.0,greater,3.18,3,4,4,3,0,,5,5,24,False,
KXBTCMAX150,Crypto,custom,quadratic_with_maker_fees,3,0,1.0,0.045,0.333,889006.6,3.0,greater,1.62,3,5,2,3,0,,5,5,23,False,
KXBTCMINMON,Crypto,monthly,quadratic,7,0,1.0,0.015,0.143,57644.6,7.0,less,1.22,3,5,2,3,0,,5,5,23,False,
KXBTCMINY,Crypto,annual,quadratic,4,0,1.0,0.395,1.0,890669.1,4.0,less,4.36,3,3,4,3,0,,5,5,23,False,
KXBTCY,Crypto,annual,quadratic,28,0,0.2,0.0273,1.0,579520.1,28.0,"between,greater,less",0.58,3,5,5,5,0,,5,0,23,False,
KXDOGEMAX1,Crypto,custom,quadratic,2,0,1.0,0.065,1.0,216234.1,2.0,greater,1.86,3,5,4,3,0,,3,5,23,False,
KXETHMINY,Crypto,annual,quadratic,4,0,1.5,0.26,1.0,223764.8,4.0,less,4.2,3,3,4,3,0,,5,5,23,False,
KXFEDCHGCOUNT,Economics,annual,quadratic,13,0,2.8,0.015,1.0,822.1,13.0,between,3.02,3,4,3,5,0,,3,5,23,False,
KXHIGHTPHX,Unknown,,quadratic,12,0,4.0,0.08,0.583,1099.7,6.0,"between,greater,less",5.04,5,2,2,4,0,,5,5,23,False,
KXHIGHTSFO,Unknown,,quadratic,12,0,3.0,0.175,0.583,2399.4,6.0,"between,greater,less",5.04,5,2,2,4,0,,5,5,23,False,
RSENATESEATS,Unknown,,quadratic,15,0,1.0,0.055,1.0,18776.0,15.0,"between,greater,less",1.74,1,5,4,5,0,,3,5,23,False,
KXBTC2026200,Crypto,one_off,quadratic,1,0,1.0,0.035,1.0,6460807.5,1.0,greater,1.48,3,5,4,0,0,,5,5,22,False,
KXBTC2026250,Crypto,one_off,quadratic,1,0,1.0,0.015,1.0,810350.9,1.0,greater,1.22,3,5,4,0,0,,5,5,22,False,
KXBTCMAXMON,Crypto,monthly,quadratic,7,0,2.0,0.03,0.286,362821.5,7.0,greater,2.42,3,4,2,3,0,,5,5,22,False,
KXCOINBASE,Financials,one_off,quadratic,24,0,1.0,0.055,0.833,10082.7,12.0,greater,1.74,1,5,4,4,0,,3,5,22,False,
KXEMERCUTS,Economics,custom,quadratic,5,0,1.2,0.0145,1.0,34701.1,5.0,between,1.42,1,5,4,4,0,,3,5,22,False,
KXETHY,Crypto,annual,quadratic,18,0,0.95,0.0462,1.0,962423.3,18.0,"between,greater,less",1.57,3,5,4,5,0,,5,0,22,False,
KXGDP,Economics,custom,quadratic_with_maker_fees,45,0,1.0,0.495,0.956,250.0,9.0,greater,4.5,4,3,4,3,0,,3,5,22,False,
KXHIGHTDAL,Unknown,,quadratic,6,0,6.0,0.2225,0.667,1812.3,6.0,"between,greater,less",8.44,5,1,2,4,0,,5,5,22,False,
KXHIGHTLV,Unknown,,quadratic,12,0,3.0,0.1825,0.5,762.2,6.0,"between,greater,less",5.1,5,2,1,4,0,,5,5,22,False,
KXHOUSEPOPVOTEMARGIN,Unknown,,quadratic,10,0,0.95,0.0878,1.0,42841.3,10.0,between,2.09,1,4,4,5,0,,3,5,22,False,
KXINXMINY,Financials,custom,quadratic,5,0,4.0,0.197,1.0,119565.6,5.0,less,6.22,3,2,4,3,0,,5,5,22,False,
KXPAYROLLS,Economics,monthly,quadratic_with_maker_fees,65,0,2.0,0.655,1.0,503.3,13.0,greater,5.18,4,2,4,4,0,,3,5,22,False,
KXRATECUTCOUNT,Economics,annual,quadratic_with_maker_fees,21,0,0.1,0.0085,0.333,234725.1,21.0,between,0.24,1,5,3,5,0,,3,5,22,False,
KXTEMPHELP,Economics,monthly,quadratic,5,0,6.0,0.58,1.0,302.2,5.0,greater,9.42,5,1,3,3,0,,5,5,22,False,
POPVOTEMOV,Unknown,,quadratic,20,0,1.0,0.055,1.0,2834.3,20.0,between,1.74,1,5,3,5,0,,3,5,22,False,
KXAAAGASM,Economics,monthly,quadratic_with_maker_fees,62,0,1.0,0.985,0.839,6642.7,31.0,greater,1.22,1,5,3,4,0,,3,5,21,False,
KXBRYSONCOURSERECORDS,Sports,custom,quadratic,5,0,1.0,0.045,1.0,45290.6,5.0,greater,1.62,1,5,4,3,0,,3,5,21,False,
KXDSENATESEATS,Unknown,,quadratic,24,0,3.0,0.0638,1.0,569.8,12.0,"between,custom,greater,less",3.84,1,3,4,5,0,,3,5,21,False,
KXETHMAXMON,Crypto,monthly,quadratic,8,0,3.0,0.165,0.125,11609.0,8.0,greater,4.94,3,3,2,3,0,,5,5,21,False,
KXFEDERALCHARGE,Politics,annual,quadratic,40,0,2.0,0.1,1.0,11486.5,40.0,custom,3.26,3,4,5,2,0,,2,5,21,False,
KXFEDFUNDSYEAR,Economics,annual,quadratic,210,0,1.0,0.415,1.0,5.0,21.0,greater,4.4,3,3,3,4,0,,3,5,21,False,
KXGOLDW,Unknown,,quadratic,40,0,1.0,0.9575,0.65,226.5,40.0,greater,1.58,1,5,3,4,0,,3,5,21,False,
KXGOVTCUTS,Economics,custom,quadratic,15,0,1.0,0.016,1.0,15926.3,7.5,greater,1.24,1,5,4,3,0,,3,5,21,False,
KXINXPOS,Financials,one_off,quadratic,1,0,1.0,0.795,1.0,884278.5,1.0,greater,3.3,3,4,4,0,0,,5,5,21,False,
KXINXVSGOLD,Financials,annual,quadratic,2,0,1.0,0.515,1.0,11357.8,2.0,custom,4.5,3,3,4,1,0,,5,5,21,False,
KXLOSEPRIMARYSENATED,Unknown,,quadratic,5,0,2.9,0.0185,1.0,29085.7,5.0,between,3.16,1,4,4,4,0,,3,5,21,False,
KXLOSEREELECTIONDSEN,Unknown,,quadratic,6,0,1.4,0.0302,1.0,5555.8,6.0,"between,greater_or_equal",1.82,1,5,3,4,0,,3,5,21,False,
KXMC,Unknown,,quadratic,52,0,2.0,0.975,0.904,1498.8,13.0,greater,2.36,1,4,4,4,0,,3,5,21,False,
KXPGAR1LEAD,Sports,custom,quadratic,147,0,0.1,0.0065,0.925,18170.1,147.0,structured,0.24,1,5,5,2,0,,3,5,21,False,
KXRAINSTPM,Unknown,,quadratic,10,0,1.0,0.995,1.0,2311.5,10.0,greater,1.14,1,5,3,4,0,,3,5,21,False,
KXSOL26500,Crypto,one_off,quadratic,1,0,2.0,0.04,1.0,271076.9,1.0,greater,2.54,3,4,4,0,0,,5,5,21,False,
KXSPRLVL,Economics,one_off,quadratic,10,0,1.0,0.0575,1.0,365.4,10.0,greater,1.76,1,5,3,4,0,,3,5,21,False,
KXUST10AD,Financials,one_off,quadratic,15,0,1.0,0.945,1.0,913.4,15.0,greater,1.74,1,5,3,4,0,,3,5,21,False,
KXUST30AD,Financials,one_off,quadratic,25,0,1.0,0.985,0.6,145.0,25.0,greater,1.22,1,5,3,4,0,,3,5,21,False,
KXUST7AD,Financials,one_off,quadratic,15,0,1.0,0.945,1.0,451.1,15.0,greater,1.74,1,5,3,4,0,,3,5,21,False,
KXVPRESNOMR,Unknown,,quadratic,21,0,0.7,0.0175,1.0,40907.7,21.0,custom,0.96,1,5,5,2,0,,3,5,21,False,
ECMOV,Unknown,,quadratic,14,0,3.0,0.065,1.0,182.3,14.0,between,3.86,1,3,3,5,0,,3,5,20,False,
KXA100WS,Financials,one_off,quadratic,54,0,1.0,0.725,0.944,115.0,10.0,greater,3.8,1,3,4,4,0,,3,5,20,False,
KXAAAGASMAX,Economics,annual,quadratic,13,0,3.0,0.145,1.0,87447.8,13.0,greater,4.74,1,3,4,4,0,,3,5,20,False,
KXAC,Financials,one_off,quadratic,12,0,1.0,0.805,1.0,4905.5,12.0,greater,3.2,1,4,3,4,0,,3,5,20,False,
KXB200MON,Science and Technology,monthly,quadratic,40,0,2.0,0.9625,1.0,1279.5,40.0,greater,2.52,0,4,4,4,0,,3,5,20,False,
KXB200WS,Financials,weekly,quadratic,102,0,1.0,0.4725,0.922,197.8,13.0,greater,4.5,1,3,4,4,0,,3,5,20,False,
KXBOND,Unknown,,quadratic,24,0,2.0,0.0575,1.0,21219.0,24.0,custom,2.76,1,4,5,2,0,,3,5,20,False,
KXBTC50VS100,Crypto,one_off,quadratic,1,0,1.0,0.475,1.0,96679.6,1.0,,4.5,3,3,4,0,0,,5,5,20,False,
KXBTCVSGOLD,Financials,custom,quadratic,1,0,1.4,0.266,1.0,222698.4,1.0,,4.14,3,3,4,0,0,,5,5,20,False,
KXCLOSESTSENATE,Unknown,,quadratic,15,0,1.0,0.0545,1.0,10490.7,15.0,custom,1.74,1,5,4,2,0,,3,5,20,False,
KXDHOUSESEATS,Unknown,,quadratic,12,0,0.7,0.0845,1.0,57466.4,12.0,custom,1.8,1,5,4,2,0,,3,5,20,False,
KXDSENATESEATSH,Unknown,,quadratic,7,0,1.9,0.023,1.0,4607.4,7.0,"between,greater,less",2.22,1,4,3,4,0,,3,5,20,False,
KXEURUSDAW,Financials,one_off,quadratic,20,0,1.0,0.92,1.0,431.0,20.0,greater,2.04,1,4,3,4,0,,3,5,20,False,
KXFRENCHPRES,Unknown,,quadratic,28,0,0.95,0.008,1.0,705.0,28.0,custom,1.09,1,5,4,2,0,,3,5,20,False,
KXGOOG,Financials,one_off,quadratic,24,0,1.0,0.5525,1.0,347.5,12.0,greater,4.48,1,3,4,4,0,,3,5,20,False,
KXH100MON,Science and Technology,monthly,quadratic,20,0,1.0,0.945,1.0,1471.1,20.0,greater,1.74,0,5,3,4,0,,3,5,20,False,
KXH200MS,Financials,one_off,quadratic,141,0,1.0,0.615,0.979,1017.0,11.0,greater,4.32,1,3,4,4,0,,3,5,20,False,
KXHEISMAN,Sports,annual,quadratic_with_maker_fees,29,0,1.0,0.0325,0.828,148253.6,29.0,custom,1.46,1,5,4,2,0,,3,5,20,False,
KXHOUSETURNOUT,Unknown,,quadratic,9,0,1.0,0.0785,1.0,7069.3,9.0,"between,greater",2.02,1,4,3,4,0,,3,5,20,False,
KXLOSEPRIMARYSENATER,Unknown,,quadratic,3,0,1.7,0.265,1.0,114707.2,3.0,between,4.44,1,3,4,4,0,,3,5,20,False,
KXLOWTAUS,Unknown,,quadratic,6,0,1.5,0.0375,1.0,292.8,6.0,"between,greater,less",2.02,1,4,3,4,0,,3,5,20,False,
KXLUV,Financials,one_off,quadratic,22,0,1.0,0.585,1.0,279.8,11.0,greater,4.4,1,3,4,4,0,,3,5,20,False,
KXMARMAD,Sports,custom,quadratic_with_maker_fees,73,0,0.1,0.0085,0.767,59124.6,73.0,structured,0.24,1,5,4,2,0,,3,5,20,False,
KXMLB,Sports,custom,quadratic_with_maker_fees,30,0,0.2,0.023,0.767,1224575.6,30.0,structured,0.52,1,5,4,2,0,,3,5,20,False,
KXMLSCUP,Sports,custom,quadratic,30,0,1.0,0.035,0.6,22012.5,30.0,structured,1.48,1,5,4,2,0,,3,5,20,False,
KXNASDAQ100POS,Financials,annual,quadratic,1,0,0.7,0.6465,1.0,121933.2,1.0,greater,3.9,3,3,4,0,0,,5,5,20,False,
KXNATGASMON,Unknown,,quadratic,40,0,1.5,0.9825,0.5,441.0,40.0,greater,1.76,1,5,2,4,0,,3,5,20,False,
KXNATGASW,Unknown,,quadratic,40,0,1.0,0.995,0.475,200.0,40.0,greater,1.14,1,5,2,4,0,,3,5,20,False,
KXNEWSCOTUSCONF,Politics,custom,quadratic,10,0,1.85,0.0155,1.0,17031.5,10.0,between,2.07,0,4,4,5,0,,2,5,20,False,
KXNFLCOTY,Sports,annual,quadratic_with_maker_fees,33,0,1.0,0.035,0.909,3904.6,33.0,custom,1.48,1,5,4,2,0,,3,5,20,False,
KXNFLNFCCHAMP,Sports,annual,quadratic_with_maker_fees,16,0,1.0,0.075,0.938,180894.9,16.0,structured,1.98,1,5,4,2,0,,3,5,20,False,
KXNFLOROTY,Sports,annual,quadratic_with_maker_fees,23,0,1.0,0.035,0.652,10063.2,23.0,structured,1.48,1,5,4,2,0,,3,5,20,False,
KXNHL,Sports,annual,quadratic_with_maker_fees,32,0,1.0,0.035,0.781,16118.7,32.0,structured,1.48,1,5,4,2,0,,3,5,20,False,
KXPGATOUR,Sports,custom,quadratic_with_maker_fees,147,0,0.1,0.0045,0.769,447130.8,147.0,structured,0.24,1,5,4,2,0,,3,5,20,False,
KXPRESNOMD,Unknown,,quadratic,46,0,0.1,0.006,0.826,3313075.8,46.0,custom,0.24,1,5,4,2,0,,3,5,20,False,
KXPRESNOMR,Unknown,,quadratic,38,0,0.1,0.0045,0.895,1138785.3,38.0,custom,0.24,1,5,4,2,0,,3,5,20,False,
KXPRESPERSON,Unknown,,quadratic,30,0,0.2,0.015,0.833,1768065.2,30.0,custom,0.42,1,5,4,2,0,,3,5,20,False,
KXPRIMARYMOV,Unknown,,quadratic,105,0,2.0,0.12,0.686,726.0,11.0,"custom,greater,greater_or_equal",3.48,1,4,3,4,0,,3,5,20,False,
KXRAIN,Unknown,,quadratic,25,0,1.0,0.14,0.84,920.1,12.5,greater,2.7,1,4,3,4,0,,3,5,20,False,
KXRTICKET,Unknown,,quadratic,25,0,1.5,0.015,1.0,526.7,25.0,custom,1.72,1,5,4,2,0,,3,5,20,False,
KXRTX5090MS,Financials,monthly,quadratic,100,0,1.0,0.14,0.93,2847.6,8.0,greater,2.7,1,4,4,3,0,,3,5,20,False,
KXRTX5090WS,Financials,weekly,quadratic,80,0,1.0,0.355,0.95,282.5,17.0,greater,4.22,1,3,4,4,0,,3,5,20,False,
KXSB,Sports,annual,quadratic_with_maker_fees,32,0,1.0,0.035,0.719,1609271.6,32.0,structured,1.48,1,5,4,2,0,,3,5,20,False,
KXSCFI,Economics,one_off,quadratic,17,0,1.0,0.175,1.0,194.0,8.5,"between,greater,greater_or_equal,less",3.04,1,4,3,4,0,,3,5,20,False,
KXSILVERW,Unknown,,quadratic,40,0,1.0,0.995,0.575,2.0,40.0,greater,1.14,1,5,2,4,0,,3,5,20,False,
KXSOLAR,Economics,custom,quadratic,5,0,5.4,0.728,1.0,2327.9,5.0,greater_or_equal,8.18,3,1,3,3,0,,5,5,20,False,
KXSOLD26,Crypto,annual,quadratic,9,0,7.0,0.115,1.0,6701.7,9.0,greater,8.44,3,1,3,3,0,,5,5,20,False,
KXTIME,Unknown,,quadratic,25,0,1.0,0.045,1.0,3559.6,25.0,custom,1.62,1,5,4,2,0,,3,5,20,False,
KXTOPSONGS,Unknown,,quadratic,7,0,1.0,0.995,1.0,850.0,7.0,greater,1.14,1,5,3,3,0,,3,5,20,False,
KXTRUMPNUMSTATES,Unknown,,quadratic,2,0,1.0,0.5,1.0,28490.4,2.0,between,4.5,1,3,4,4,0,,3,5,20,False,
KXTRUMPSAY,Unknown,,quadratic,32,0,1.0,0.995,1.0,9979.1,32.0,custom,1.14,1,5,4,2,0,,3,5,20,False,
KXUST2AD,Financials,one_off,quadratic,15,0,1.0,0.885,0.933,515.0,15.0,greater,2.44,1,4,3,4,0,,3,5,20,False,
KXUST5AD,Financials,one_off,quadratic,15,0,1.0,0.845,1.0,350.0,15.0,greater,2.84,1,4,3,4,0,,3,5,20,False,
KXVENEZUELALEADER,Unknown,,quadratic,18,0,0.35,0.0095,1.0,123244.0,18.0,custom,0.49,1,5,4,2,0,,3,5,20,False,
KXWTIW,Unknown,,quadratic,27,0,3.0,0.04,0.852,6412.1,27.0,"between,greater,less",3.54,1,3,3,5,0,,3,5,20,False,
KXAAAGASW,Economics,weekly,quadratic,29,0,1.0,0.615,0.724,4940.0,29.0,greater,4.32,1,3,3,4,0,,3,5,19,False,
KXAAL,Financials,one_off,quadratic,10,0,1.0,0.505,1.0,1013.5,10.0,greater,4.5,1,3,3,4,0,,3,5,19,False,
KXAAPLPRICEFOLD,Companies,custom,quadratic,3,0,1.0,0.815,1.0,32189.7,3.0,greater_or_equal,3.12,0,4,4,3,0,,3,5,19,False,
KXALBUMRELEASEDATEARIANA,Unknown,,quadratic,2,0,1.5,0.9925,1.0,11856.2,2.0,,1.64,1,5,4,1,0,,3,5,19,False,
KXALK,Financials,one_off,quadratic,11,0,1.0,0.495,1.0,581.0,11.0,greater,4.5,1,3,3,4,0,,3,5,19,False,
KXALKA,Financials,one_off,quadratic,10,0,1.0,0.27,1.0,812.5,10.0,greater,3.76,1,3,3,4,0,,3,5,19,False,
KXAMZN,Financials,one_off,quadratic,7,0,1.0,0.21,1.0,4858.1,7.0,greater,3.34,1,4,3,3,0,,3,5,19,False,
KXART,Unknown,,quadratic,9,0,3.0,0.035,1.0,4403.2,9.0,greater,3.48,1,4,3,3,0,,3,5,19,False,
KXARTISTSTREAMSY,Unknown,,quadratic,1124,0,5.0,0.945,0.956,608.6,19.0,greater,5.74,1,2,4,4,0,,3,5,19,False,
KXAXP,Financials,one_off,quadratic,10,0,1.0,0.39,1.0,1711.4,10.0,greater,4.34,1,3,3,4,0,,3,5,19,False,
KXB200MS,Financials,monthly,quadratic,117,0,1.0,0.695,0.991,687.1,9.0,greater,3.98,1,3,4,3,0,,3,5,19,False,
KXBIGBROTHER,Unknown,,quadratic,17,0,1.0,0.055,0.882,92948.9,17.0,structured,1.74,1,5,3,2,0,,3,5,19,False,
KXBIGBROTHERRANK,Unknown,,quadratic,34,0,1.0,0.055,0.882,2576.6,17.0,structured,1.74,1,5,3,2,0,,3,5,19,False,
KXBRPRES,Unknown,,quadratic,13,0,0.4,0.022,0.692,139168.7,13.0,,0.72,1,5,3,2,0,,3,5,19,False,
KXBTCRESERVE,Politics,one_off,quadratic,1,0,4.0,0.15,1.0,169860.5,1.0,,5.8,3,2,4,0,0,,5,5,19,False,
KXCANOREOY,Economics,annual,quadratic,8,0,4.0,0.045,1.0,121.8,8.0,between,4.62,1,3,3,4,0,,3,5,19,False,
KXCTCQ,Financials,one_off,quadratic,16,0,2.0,0.0325,0.875,1538.5,16.0,greater,2.46,1,4,2,4,0,,3,5,19,False,
KXDTICKET,Unknown,,quadratic,25,0,2.0,0.02,1.0,129.0,25.0,custom,2.28,1,4,4,2,0,,3,5,19,False,
KXDUOLA,Financials,one_off,quadratic,25,0,1.0,0.275,1.0,72.0,12.5,greater,3.8,1,3,3,4,0,,3,5,19,False,
KXELECTVENEZUELA,Unknown,,quadratic,3,0,1.0,0.0645,1.0,38562.8,3.0,,1.86,1,5,4,1,0,,3,5,19,False,
KXEOTRUMPTERM,Politics,one_off,quadratic,12,0,2.5,0.0628,1.0,4469.5,12.0,"between,greater,less",3.34,0,4,3,5,0,,2,5,19,False,
KXF1,Sports,annual,quadratic,22,0,1.0,0.045,0.273,52821.2,22.0,structured,1.62,1,5,3,2,0,,3,5,19,False,
KXFEDEMPLOYEES,Economics,custom,quadratic,6,0,6.0,0.085,1.0,1628.9,6.0,greater,7.1,3,2,3,3,0,,3,5,19,False,
KXFIRSTPRIMARYD,Unknown,,quadratic,12,0,1.4,0.0112,1.0,1084.0,12.0,custom,1.56,1,5,3,2,0,,3,5,19,False,
KXGOVTNNOMR,Unknown,,quadratic,3,0,1.0,0.063,1.0,95708.6,3.0,custom,1.84,1,5,4,1,0,,3,5,19,False,
KXGREENLANDPRICE,Politics,one_off,quadratic,8,0,1.85,0.0328,1.0,114613.6,8.0,"between,greater_or_equal,less",2.31,0,4,4,4,0,,2,5,19,False,
KXH100MS,Financials,one_off,quadratic,117,0,1.0,0.435,0.949,131.0,9.0,greater,4.46,1,3,4,3,0,,3,5,19,False,
KXH100WS,Financials,one_off,quadratic,66,0,2.0,0.485,0.97,191.7,12.0,greater,5.5,1,2,4,4,0,,3,5,19,False,
KXH200WS,Financials,weekly,quadratic,72,0,2.0,0.775,0.861,783.0,11.0,greater,4.46,1,3,3,4,0,,3,5,19,False,
KXINTC,Financials,one_off,quadratic,10,0,1.0,0.5625,1.0,405.9,10.0,greater,4.46,1,3,3,4,0,,3,5,19,False,
KXIPO,Financials,custom,quadratic_with_maker_fees,29,0,3.0,0.075,1.0,23088.9,29.0,custom,3.98,1,3,5,2,0,,3,5,19,False,
KXLEADERNFLSACKS,Sports,annual,quadratic,21,0,2.0,0.04,0.905,253.7,21.0,structured,2.54,1,4,4,2,0,,3,5,19,False,
KXLOSEPRIMARYHOUSER,Unknown,,quadratic,5,0,4.2,0.062,1.0,30457.6,5.0,"between,greater",5.02,1,2,4,4,0,,3,5,19,False,
KXLOSEREELECTIONGOV,Unknown,,quadratic,6,0,3.35,0.0948,1.0,392.5,6.0,"between,greater_or_equal",4.57,1,3,3,4,0,,3,5,19,False,
KXMLBAL,Sports,annual,quadratic_with_maker_fees,15,0,1.0,0.07,0.8,192470.8,15.0,structured,1.92,1,5,3,2,0,,3,5,19,False,
KXMLBALCY,Sports,annual,quadratic,42,0,1.0,0.02,0.143,36718.2,42.0,"custom,structured",1.28,1,5,3,2,0,,3,5,19,False,
KXMLBALROTY,Sports,annual,quadratic,30,0,1.0,0.045,0.167,22717.1,30.0,"custom,structured",1.62,1,5,3,2,0,,3,5,19,False,
KXMLBSPREAD,Sports,custom,quadratic,60,0,2.0,0.2575,1.0,123.8,6.0,greater,4.68,1,3,4,3,0,,3,5,19,False,
KXMLBTOTAL,Sports,custom,quadratic,110,0,2.0,0.5725,1.0,480.4,11.0,greater,5.44,1,2,4,4,0,,3,5,19,False,
KXMLBTRADE,Sports,custom,quadratic,25,0,1.0,0.105,1.0,2427.0,25.0,custom,2.32,1,4,4,2,0,,3,5,19,False,
KXMUSKCHALLENGERS,Unknown,,quadratic,10,0,4.2,0.0312,1.0,581.3,10.0,greater_or_equal,4.64,1,3,3,4,0,,3,5,19,False,
KXNASCARCUPSERIES,Sports,annual,quadratic,35,0,1.0,0.065,0.314,47670.1,35.0,structured,1.86,1,5,3,2,0,,3,5,19,False,
KXNBA,Sports,annual,quadratic_with_maker_fees,30,0,1.0,0.035,0.5,357663.6,30.0,structured,1.48,1,5,3,2,0,,3,5,19,False,
KXNBAEAST,Sports,annual,quadratic_with_maker_fees,15,0,1.0,0.07,0.8,49355.2,15.0,structured,1.92,1,5,3,2,0,,3,5,19,False,
KXNBAWEST,Sports,annual,quadratic_with_maker_fees,15,0,1.0,0.07,0.533,17252.4,15.0,structured,1.92,1,5,3,2,0,,3,5,19,False,
KXNBAWEST1SEED,Sports,annual,quadratic,15,0,1.0,0.015,1.0,362.4,15.0,structured,1.22,1,5,3,2,0,,3,5,19,False,
KXNCAAF,Sports,annual,quadratic_with_maker_fees,50,0,1.0,0.035,0.36,53461.4,50.0,structured,1.48,1,5,3,2,0,,3,5,19,False,
KXNCAAFACC,Sports,annual,quadratic_with_maker_fees,17,0,1.0,0.045,0.706,13180.5,17.0,structured,1.62,1,5,3,2,0,,3,5,19,False,
KXNCAAFB12,Sports,annual,quadratic_with_maker_fees,16,0,1.0,0.04,0.75,34312.3,16.0,structured,1.54,1,5,3,2,0,,3,5,19,False,
KXNCAAFCOTY,Sports,annual,quadratic,29,0,3.0,0.03,1.0,1081.8,29.0,custom,3.42,1,4,4,2,0,,3,5,19,False,
KXNCLH,Financials,one_off,quadratic,8,0,1.0,0.6625,1.0,12545.8,8.0,greater,4.14,1,3,4,3,0,,3,5,19,False,
KXNETFLIXTOPVIEWSMOVIE,Unknown,,quadratic,11,0,1.0,0.91,0.818,1940.6,11.0,greater_or_equal,2.16,1,4,2,4,0,,3,5,19,False,
KXNEWPOPE,Unknown,,quadratic,7,0,0.9,0.034,1.0,18725.2,7.0,,1.36,1,5,4,1,0,,3,5,19,False,
KXNEXTISRAELPM,Unknown,,quadratic,12,0,1.3,0.027,0.917,5998.1,12.0,custom,1.68,1,5,3,2,0,,3,5,19,False,
KXNFLDROTY,Sports,annual,quadratic_with_maker_fees,21,0,1.0,0.04,0.81,3062.4,21.0,structured,1.54,1,5,3,2,0,,3,5,19,False,
KXNFLMVP,Sports,annual,quadratic_with_maker_fees,45,0,1.0,0.0375,0.489,93063.0,45.0,structured,1.52,1,5,3,2,0,,3,5,19,False,
KXOSCARPIC,Unknown,,quadratic,35,0,1.0,0.03,0.343,33269.6,35.0,custom,1.42,1,5,3,2,0,,3,5,19,False,
