series,category,frequency,fee_type,n_open_markets,n_settled_downloaded,median_spread_cents,median_price,quoted_fraction,median_volume,markets_per_event,strike_types,breakeven_edge_cents,d1_ground_truth,d2_cost_bar,d3_liquidity,d4_structural,d5_recurrence,d6_counterparty,d7_settlement,d8_data_cost,total_score,killed,kill_reasons
KXOSCARNOMSUPACTR,Unknown,,quadratic,14,0,5.0,0.24,1.0,1275.8,14.0,custom,7.56,1,2,3,2,0,,3,5,16,False,
KXPANAMAWEEKLY,Politics,one_off,quadratic,5,0,1.0,0.195,1.0,29.0,5.0,greater,3.2,0,4,2,3,0,,2,5,16,False,
KXPARAGUAYSENATE,Unknown,,quadratic,6,0,2.7,0.0155,1.0,12.0,6.0,custom,2.92,1,4,2,1,0,,3,5,16,False,
KXPARDONSYEAR,Politics,annual,quadratic,5,0,5.0,0.1145,1.0,738.0,5.0,"between,greater",6.42,0,2,3,4,0,,2,5,16,False,
KXPCECORE,Economics,monthly,quadratic,35,0,8.0,0.61,0.886,270.0,5.0,greater,11.34,1,1,3,3,0,,3,5,16,False,
KXPERFORMBONDSONG,Unknown,,quadratic,22,0,5.0,0.035,0.773,589.7,22.0,custom,5.48,1,2,3,2,0,,3,5,16,False,
KXPERFORMROLEBPANTHER,Unknown,,quadratic,10,0,4.0,0.035,0.9,137.2,10.0,,4.48,1,3,2,2,0,,3,5,16,False,
KXPERSONPRESFUENTES,Unknown,,quadratic,1,0,2.0,0.17,1.0,52854.7,1.0,,3.98,1,3,4,0,0,,3,5,16,False,
KXPERSONPRESMAM,Unknown,,quadratic,1,0,3.7,0.0915,1.0,37574.0,1.0,,4.88,1,3,4,0,0,,3,5,16,False,
KXPLATNERENDORSE,Unknown,,quadratic,1,0,4.0,0.04,1.0,36539.3,1.0,custom,4.54,1,3,4,0,0,,3,5,16,False,
KXPLL,Sports,annual,quadratic,8,0,2.5,0.1625,1.0,4201.0,8.0,structured,4.42,1,3,3,1,0,,3,5,16,False,
KXPLTR,Financials,one_off,quadratic,9,0,6.0,0.465,1.0,2076.4,9.0,greater,9.5,1,1,3,3,0,,3,5,16,False,
KXPMA,Companies,one_off,quadratic,8,0,1.0,0.76,1.0,58.5,8.0,greater,3.56,0,3,2,3,0,,3,5,16,False,
KXPOPCHICKSAND,Economics,monthly,quadratic,6,0,4.0,0.285,0.833,1246.0,6.0,greater_or_equal,6.86,1,2,2,3,0,,3,5,16,False,
KXPREMIERLEAGUE,Sports,annual,quadratic,20,0,1.0,0.125,0.35,7700.9,20.0,structured,2.54,1,4,1,2,0,,3,5,16,False,
KXPRESCUP,Sports,custom,quadratic,3,0,2.0,0.17,1.0,997.5,3.0,custom,3.98,1,3,3,1,0,,3,5,16,False,
KXPRESPARTY,Unknown,,quadratic,4,0,3.0,0.4725,1.0,116860.5,2.0,structured,6.5,1,2,4,1,0,,3,5,16,False,
KXPRESTURKEYR1,Unknown,,quadratic,3,0,5.0,0.175,1.0,12817.0,3.0,custom,7.04,1,2,4,1,0,,3,5,16,False,
KXPROGSWEEP,Unknown,,quadratic,1,0,1.0,0.815,1.0,9819.1,1.0,,3.12,1,4,3,0,0,,3,5,16,False,
KXPUTINZELENSKYYLOCATION,Unknown,,quadratic,8,0,3.0,0.09,1.0,1367.4,8.0,custom,4.16,1,3,3,1,0,,3,5,16,False,
KXQUEBECASSEMBLY,Unknown,,quadratic,5,0,3.0,0.1345,1.0,7710.0,5.0,custom,4.64,1,3,3,1,0,,3,5,16,False,
KXRANKLISTDJMAGTOP10,Unknown,,quadratic,51,0,5.0,0.035,1.0,2.0,51.0,,5.48,1,2,3,2,0,,3,5,16,False,
KXRANKLISTFFQB,Sports,custom,quadratic,25,0,4.5,0.06,0.72,384.7,25.0,structured,5.3,1,2,3,2,0,,3,5,16,False,
KXRANKLISTGOOGLESEARCH2,Unknown,,quadratic,11,0,2.0,0.085,0.273,279.6,11.0,,3.1,1,4,1,2,0,,3,5,16,False,
KXRATECUT,Economics,annual,quadratic,1,0,2.0,0.173,1.0,854482.0,1.0,,4.02,1,3,4,0,0,,3,5,16,False,
