bucket,n,median_spread_c,median_touch_depth,median_mid,fee_c_at_mid,total_breakeven_c
0-60s,42,0.10000000000000026,306.5,0.41500000000000004,3.4,3.5
60-120s,150,0.10000000000000103,192.5,0.63,3.28,3.380000000000001
2-5m,631,0.2999999999999975,373.0,0.625,3.3,3.5999999999999974
5-10m,1074,1.0000000000000009,574.2149999999999,0.475,3.5,4.500000000000001
10-15m,646,1.0000000000000009,820.825,0.44499999999999995,3.46,4.460000000000001
