bucket,n_snaps,n_markets,median_spread_c,median_touch_depth,median_mid,fee_c,breakeven_c
0-60s,42,12,0.10000000000000026,306.5,0.41500000000000004,3.399,3.499
60-120s,150,22,0.10000000000000103,192.5,0.63,3.2634,3.363400000000001
2-5m,631,25,0.2999999999999975,373.0,0.625,3.2814,3.5813999999999977
5-10m,1074,25,1.0000000000000009,574.2149999999999,0.475,3.4914,4.4914000000000005
10-15m,646,25,1.0000000000000009,820.825,0.44499999999999995,3.4578,4.457800000000001
