bin_lo,bin_hi,n,mean_pred,observed_freq,gap,model,city
0.0,0.1,3,0.08956757134367237,0.0,0.08956757134367237,climatology,KXTEMPDCH
0.1,0.2,30,0.1569103557861526,0.0,0.1569103557861526,climatology,KXTEMPDCH
0.2,0.30000000000000004,60,0.24714402658514514,0.05,0.19714402658514513,climatology,KXTEMPDCH
0.30000000000000004,0.4,80,0.35242547251394407,0.3125,0.03992547251394407,climatology,KXTEMPDCH
0.4,0.5,79,0.44795977620591126,0.3291139240506329,0.11884585215527838,climatology,KXTEMPDCH
0.5,0.6000000000000001,151,0.5566021094437039,0.33112582781456956,0.22547628162913436,climatology,KXTEMPDCH
0.6000000000000001,0.7000000000000001,166,0.659220025630864,0.3795180722891566,0.2797019533417074,climatology,KXTEMPDCH
0.7000000000000001,0.8,210,0.7511386099366045,0.43333333333333335,0.3178052766032712,climatology,KXTEMPDCH
0.8,0.9,343,0.8527409291864477,0.597667638483965,0.25507329070248275,climatology,KXTEMPDCH
0.9,1.0,914,0.9678286692241269,0.8347921225382933,0.13303654668583365,climatology,KXTEMPDCH
0.0,0.1,448,0.026188321781815647,0.05580357142857143,-0.029615249646755784,persistence,KXTEMPDCH
0.1,0.2,170,0.15471100474738386,0.23529411764705882,-0.08058311289967496,persistence,KXTEMPDCH
0.30000000000000004,0.4,186,0.306546296227598,0.3655913978494624,-0.05904510162186438,persistence,KXTEMPDCH
0.5,0.6000000000000001,196,0.5020376752017875,0.5816326530612245,-0.07959497785943692,persistence,KXTEMPDCH
0.6000000000000001,0.7000000000000001,195,0.6970306664547532,0.841025641025641,-0.14399497457088783,persistence,KXTEMPDCH
0.8,0.9,184,0.8477075881299486,0.9619565217391305,-0.11424893360918187,persistence,KXTEMPDCH
0.9,1.0,657,0.9784345455624572,0.9710806697108066,0.007353875851650593,persistence,KXTEMPDCH
0.0,0.1,434,0.03394606476709597,0.013824884792626729,0.020121179974469237,persist_hod,KXTEMPDCH
0.1,0.2,150,0.1494561281175419,0.08666666666666667,0.06278946145087522,persist_hod,KXTEMPDCH
0.2,0.30000000000000004,112,0.24139970481071624,0.20535714285714285,0.03604256195357339,persist_hod,KXTEMPDCH
0.30000000000000004,0.4,115,0.3530220552748068,0.45217391304347826,-0.09915185776867147,persist_hod,KXTEMPDCH
0.4,0.5,80,0.43788776869965673,0.6,-0.16211223130034325,persist_hod,KXTEMPDCH
0.5,0.6000000000000001,116,0.5518167861496487,0.8017241379310345,-0.2499073517813858,persist_hod,KXTEMPDCH
0.6000000000000001,0.7000000000000001,87,0.6433689784822237,0.8735632183908046,-0.2301942399085809,persist_hod,KXTEMPDCH
0.7000000000000001,0.8,124,0.7481774757721235,0.967741935483871,-0.21956445971174754,persist_hod,KXTEMPDCH
0.8,0.9,178,0.8522003393248485,0.9550561797752809,-0.10285584045043239,persist_hod,KXTEMPDCH
0.9,1.0,640,0.9753578429876623,0.9765625,-0.0012046570123377398,persist_hod,KXTEMPDCH
0.5,0.6000000000000001,2036,0.5,0.6021611001964636,-0.10216110019646363,always_50,KXTEMPDCH
0.0,0.1,552,0.03403910467568015,0.11775362318840579,-0.08371451851272564,climatology,KXTEMPLAXH
0.1,0.2,216,0.14851776834860572,0.44907407407407407,-0.3005563057254683,climatology,KXTEMPLAXH
0.2,0.30000000000000004,149,0.25473925056130664,0.6510067114093959,-0.3962674608480893,climatology,KXTEMPLAXH
0.30000000000000004,0.4,128,0.34299464951785225,0.8125,-0.46950535048214775,climatology,KXTEMPLAXH
0.4,0.5,119,0.4502784047206069,0.9327731092436975,-0.4824947045230906,climatology,KXTEMPLAXH
0.5,0.6000000000000001,137,0.5399283167835389,0.948905109489051,-0.4089767927055121,climatology,KXTEMPLAXH
0.6000000000000001,0.7000000000000001,135,0.6587894760598452,0.9925925925925926,-0.3338031165327474,climatology,KXTEMPLAXH
0.7000000000000001,0.8,146,0.746437995197946,0.9931506849315068,-0.24671268973356086,climatology,KXTEMPLAXH
0.8,0.9,193,0.8489018682661772,1.0,-0.1510981317338228,climatology,KXTEMPLAXH
0.9,1.0,247,0.9533759543163305,1.0,-0.04662404568366951,climatology,KXTEMPLAXH
0.0,0.1,490,0.03341513370532952,0.08571428571428572,-0.0522991520089562,persistence,KXTEMPLAXH
0.2,0.30000000000000004,202,0.23597273534308552,0.24752475247524752,-0.011552017132162001,persistence,KXTEMPLAXH
0.5,0.6000000000000001,202,0.5028986216013706,0.6336633663366337,-0.13076474473526312,persistence,KXTEMPLAXH
0.7000000000000001,0.8,202,0.7684795861951779,0.8811881188118812,-0.11270853261670333,persistence,KXTEMPLAXH
0.9,1.0,926,0.9808342884689946,0.9989200863930886,-0.018085797924094038,persistence,KXTEMPLAXH
0.0,0.1,427,0.026297186785813116,0.01405152224824356,0.012245664537569556,persist_hod,KXTEMPLAXH
0.1,0.2,109,0.1385502805755462,0.13761467889908258,0.0009356016764636155,persist_hod,KXTEMPLAXH
0.2,0.30000000000000004,109,0.23215118627251727,0.2018348623853211,0.030316323887196156,persist_hod,KXTEMPLAXH
0.30000000000000004,0.4,76,0.3572361246799798,0.4473684210526316,-0.0901322963726518,persist_hod,KXTEMPLAXH
0.4,0.5,84,0.4594399967537094,0.6428571428571429,-0.18341714610343351,persist_hod,KXTEMPLAXH
0.5,0.6000000000000001,50,0.548520802219063,0.94,-0.391479197780937,persist_hod,KXTEMPLAXH
0.6000000000000001,0.7000000000000001,77,0.6515939878169361,0.8961038961038961,-0.24450990828695995,persist_hod,KXTEMPLAXH
0.7000000000000001,0.8,101,0.7483162455433066,0.9108910891089109,-0.16257484356560437,persist_hod,KXTEMPLAXH
0.8,0.9,110,0.8594971007892922,0.9636363636363636,-0.10413926284707142,persist_hod,KXTEMPLAXH
0.9,1.0,879,0.9844461848864028,0.9988623435722411,-0.014416158685838343,persist_hod,KXTEMPLAXH
0.5,0.6000000000000001,2022,0.5,0.6543026706231454,-0.1543026706231454,always_50,KXTEMPLAXH
0.0,0.1,49,0.05229435161179025,0.12244897959183673,-0.07015462798004649,climatology,KXTEMPCHIH
0.1,0.2,63,0.15260786210268373,0.4126984126984127,-0.26009055059572894,climatology,KXTEMPCHIH
0.2,0.30000000000000004,53,0.25290042387040584,0.49056603773584906,-0.23766561386544321,climatology,KXTEMPCHIH
0.30000000000000004,0.4,59,0.34997235438294305,0.559322033898305,-0.20934967951536199,climatology,KXTEMPCHIH
0.4,0.5,62,0.4489441647012462,0.4838709677419355,-0.03492680304068929,climatology,KXTEMPCHIH
0.5,0.6000000000000001,70,0.5493777725381778,0.5571428571428572,-0.007765084604679395,climatology,KXTEMPCHIH
0.6000000000000001,0.7000000000000001,70,0.6521354490349144,0.5142857142857142,0.13784973474920015,climatology,KXTEMPCHIH
0.7000000000000001,0.8,155,0.7597948780568887,0.36774193548387096,0.39205294257301776,climatology,KXTEMPCHIH
0.8,0.9,278,0.8591812568305883,0.2697841726618705,0.5893970841687178,climatology,KXTEMPCHIH
0.9,1.0,1180,0.9737172791720781,0.7432203389830508,0.23049694018902722,climatology,KXTEMPCHIH
0.0,0.1,451,0.021597595759188546,0.05543237250554324,-0.0338347767463547,persistence,KXTEMPCHIH
0.1,0.2,183,0.1394148755529962,0.21311475409836064,-0.07369987854536444,persistence,KXTEMPCHIH
0.2,0.30000000000000004,195,0.2950279621687931,0.35384615384615387,-0.05881819167736074,persistence,KXTEMPCHIH
0.5,0.6000000000000001,201,0.5021710210462993,0.582089552238806,-0.07991853119250669,persistence,KXTEMPCHIH
0.7000000000000001,0.8,198,0.7087164740445497,0.803030303030303,-0.09431382898575325,persistence,KXTEMPCHIH
0.8,0.9,194,0.8629865197630766,0.9484536082474226,-0.08546708848434603,persistence,KXTEMPCHIH
0.9,1.0,617,0.981476418818454,0.9918962722852512,-0.010419853466797191,persistence,KXTEMPCHIH
0.0,0.1,487,0.03149789851050821,0.014373716632443531,0.01712418187806468,persist_hod,KXTEMPCHIH
0.1,0.2,138,0.1495019734607091,0.08695652173913043,0.06254545172157866,persist_hod,KXTEMPCHIH
0.2,0.30000000000000004,113,0.24183766981108507,0.23008849557522124,0.01174917423586383,persist_hod,KXTEMPCHIH
0.30000000000000004,0.4,119,0.35092247891523726,0.48739495798319327,-0.136472479067956,persist_hod,KXTEMPCHIH
0.4,0.5,63,0.4428733977607857,0.6031746031746031,-0.16030120541381743,persist_hod,KXTEMPCHIH
0.5,0.6000000000000001,103,0.5389308391187437,0.7961165048543689,-0.2571856657356252,persist_hod,KXTEMPCHIH
0.6000000000000001,0.7000000000000001,98,0.6376922306192622,0.8367346938775511,-0.1990424632582889,persist_hod,KXTEMPCHIH
0.7000000000000001,0.8,135,0.7517813135829293,0.9333333333333333,-0.18155201975040403,persist_hod,KXTEMPCHIH
0.8,0.9,161,0.86021912267817,0.968944099378882,-0.10872497670071202,persist_hod,KXTEMPCHIH
0.9,1.0,622,0.9760557470480515,0.9935691318327974,-0.017513384784745845,persist_hod,KXTEMPCHIH
0.5,0.6000000000000001,2039,0.5,0.5909759686120647,-0.0909759686120647,always_50,KXTEMPCHIH
0.0,0.1,754,0.032132305697416125,0.27055702917771884,-0.23842472348030272,climatology,KXTEMPAUSH
0.1,0.2,367,0.1483374075954944,0.4822888283378747,-0.33395142074238027,climatology,KXTEMPAUSH
0.2,0.30000000000000004,201,0.2456755880578695,0.7512437810945274,-0.5055681930366579,climatology,KXTEMPAUSH
0.30000000000000004,0.4,181,0.3435361149745161,0.9005524861878453,-0.5570163712133293,climatology,KXTEMPAUSH
0.4,0.5,116,0.4447138251821567,0.9482758620689655,-0.5035620368868088,climatology,KXTEMPAUSH
0.5,0.6000000000000001,66,0.5531086613181897,0.9393939393939394,-0.38628527807574975,climatology,KXTEMPAUSH
0.6000000000000001,0.7000000000000001,64,0.6553480946982457,0.9375,-0.28215190530175427,climatology,KXTEMPAUSH
0.7000000000000001,0.8,31,0.743660510601594,1.0,-0.256339489398406,climatology,KXTEMPAUSH
0.8,0.9,65,0.8370556434589296,0.9846153846153847,-0.1475597411564551,climatology,KXTEMPAUSH
0.9,1.0,151,0.9642457912895923,0.9933774834437086,-0.029131692154116262,climatology,KXTEMPAUSH
0.0,0.1,340,0.026518351857179347,0.07352941176470588,-0.047011059907526534,persistence,KXTEMPAUSH
0.1,0.2,143,0.11359736959275513,0.1888111888111888,-0.07521381921843368,persistence,KXTEMPAUSH
0.2,0.30000000000000004,157,0.21077602760944353,0.3503184713375796,-0.13954244372813607,persistence,KXTEMPAUSH
0.30000000000000004,0.4,176,0.34463485352905626,0.44886363636363635,-0.10422878283458009,persistence,KXTEMPAUSH
0.5,0.6000000000000001,188,0.5016112643594425,0.5691489361702128,-0.0675376718107703,persistence,KXTEMPAUSH
0.6000000000000001,0.7000000000000001,189,0.6583352748961526,0.7142857142857143,-0.05595043938956168,persistence,KXTEMPAUSH
0.7000000000000001,0.8,185,0.7915494412238073,0.827027027027027,-0.03547758580321969,persistence,KXTEMPAUSH
0.8,0.9,163,0.8879493182856617,0.9325153374233128,-0.044566019137651125,persistence,KXTEMPAUSH
0.9,1.0,455,0.9774854362269619,0.9648351648351648,0.012650271391797085,persistence,KXTEMPAUSH
0.0,0.1,319,0.042051589281125845,0.03761755485893417,0.004434034422191674,persist_hod,KXTEMPAUSH
0.1,0.2,197,0.14549772649988305,0.06598984771573604,0.079507878784147,persist_hod,KXTEMPAUSH
