wallet,n_markets_p1,n_fills_p1,avg_entry_p1,win_rate_p1,edge_p1,edge_se_p1,notional_p1,n_markets_p2,n_fills_p2,avg_entry_p2,win_rate_p2,edge_p2,edge_se_p2,notional_p2
0x00093a689df7fb09a137f9db7102d9e967c85497,51.0,127.0,0.41704398631842193,0.4117647058823529,-0.005279280436069041,0.05742134583963333,1079.24618501817,177.0,463.0,0.47826123269523685,0.4858757062146893,0.007614473519452398,0.03319411794538932,7188.201001889784
0x01956113cdbbf5cd6e2caa5ede24e64f23cc9f64,23.0,27.0,0.7836640333250868,0.782608695652174,-0.001055337672912925,0.07676761749665766,1643.5299420174044,30.0,31.0,0.74358512573126,0.7333333333333333,-0.010251792397926788,0.07758316203488799,1688.99992902158
0x01c78f8873c0c86d6b6b92ff627e3802237ee995,28.0,160.0,0.3308875451224533,0.17857142857142858,-0.15231611655102478,0.0716423484440647,4243.614657398623,64.0,322.0,0.34105469967522867,0.296875,-0.04417969967522872,0.05710415091585352,21237.24285699647
0x023d4f8499200936492f4f4328ff679c540a23ac,59.0,66.0,0.7551591507988111,0.8135593220338984,0.058400171235087124,0.045655567232035565,2533.2620129106704,45.0,53.0,0.43348642113206454,0.35555555555555557,-0.07793086557650895,0.06357440175861775,764.1264519842573
0x03097eaaf923518da334d6819653ea74b9f4d35e,25.0,43.0,0.31321809194620287,0.24,-0.07321809194620287,0.06273126803303417,62.518949000113096,30.0,47.0,0.3590495789530099,0.13333333333333333,-0.22571624561967654,0.05460671564900346,74.68679299987558
0x03bab08ec71cc18c39484b849ecbf1190ce4beba,134.0,8608.0,0.49907313194666814,0.5522388059701493,0.05316567402348108,0.04160312718544499,82834.48702977934,25.0,1503.0,0.48961397114380434,0.64,0.1503860288561957,0.09084405392376534,15263.76081800826
0x05c5a55c0eed25f98a846f9b5a1875a99d358181,20.0,21.0,0.49986405936841455,0.55,0.05013594063158542,0.09487470091681244,830.5071431025194,24.0,24.0,0.6112916624416668,0.75,0.13870833755833334,0.08645075851674343,451.9977740039014
0x05d3e8e5b270710ec7c6d1ad4c702eb84536c06a,49.0,85.0,0.550136427181695,0.7142857142857143,0.16414928710401927,0.06422957751864757,1961.453932472412,58.0,98.0,0.5286524625876885,0.5344827586206896,0.005830296033001175,0.0628451611109543,2169.749901995057
0x06a9865f05e5f379840e6df4feadc98892571a49,20.0,27.0,0.6398495668818891,0.65,0.01015043311811108,0.09170953203246703,2109.825775386548,29.0,35.0,0.6290732150086951,0.5172413793103449,-0.11183183569835019,0.08476993412006546,4085.8419211283012
0x071f9c6bfa9cb3c609fe8e9ffbf43521cb1892bd,75.0,77.0,0.7259950927208311,0.9066666666666666,0.18067157394583547,0.03431466952165748,3396.325460445697,42.0,55.0,0.7546323061728548,0.8333333333333334,0.07870102716047842,0.056243929657343705,1158.624891001306
