bin_lo,bin_hi,n,mean_pred,observed_freq,gap,offset_s,model
0.0,0.1,1149,0.006345691504868409,0.02610966057441253,-0.019763969069544123,60,flat_sigma
0.1,0.2,62,0.1546230384532249,0.22580645161290322,-0.07118341315967833,60,flat_sigma
0.2,0.30000000000000004,56,0.24705623442242455,0.42857142857142855,-0.181515194149004,60,flat_sigma
0.30000000000000004,0.4,28,0.3548803202893949,0.6071428571428571,-0.25226253685346217,60,flat_sigma
0.4,0.5,43,0.45511859251903664,0.6046511627906976,-0.149532570271661,60,flat_sigma
0.5,0.6000000000000001,37,0.5598470031164318,0.9459459459459459,-0.3860989428295142,60,flat_sigma
0.6000000000000001,0.7000000000000001,39,0.6592317866314645,0.8461538461538461,-0.1869220595223816,60,flat_sigma
0.7000000000000001,0.8,47,0.7539120462923312,0.9361702127659575,-0.18225816647362625,60,flat_sigma
0.8,0.9,59,0.8548854917181642,0.9830508474576272,-0.12816535573946297,60,flat_sigma
0.9,1.0,985,0.9936734728661246,0.9989847715736041,-0.005311298707479484,60,flat_sigma
0.0,0.1,1161,0.004807393050590952,0.02756244616709733,-0.022755053116506378,60,seasonal_sigma
0.1,0.2,69,0.14838881250664504,0.30434782608695654,-0.1559590135803115,60,seasonal_sigma
0.2,0.30000000000000004,41,0.24446106981817295,0.4146341463414634,-0.17017307652329045,60,seasonal_sigma
0.30000000000000004,0.4,26,0.34861800431499457,0.6153846153846154,-0.26676661106962085,60,seasonal_sigma
0.4,0.5,41,0.4520758901322091,0.6097560975609756,-0.15768020742876648,60,seasonal_sigma
0.5,0.6000000000000001,33,0.5629341494157375,0.9393939393939394,-0.37645978997820195,60,seasonal_sigma
0.6000000000000001,0.7000000000000001,34,0.6606395408622153,0.8529411764705882,-0.19230163560837288,60,seasonal_sigma
0.7000000000000001,0.8,41,0.7547892757643624,0.926829268292683,-0.17203999252832058,60,seasonal_sigma
0.8,0.9,52,0.8504712778476035,0.9807692307692307,-0.13029795292162727,60,seasonal_sigma
0.9,1.0,1007,0.9942639308072109,0.9980139026812314,-0.0037499718740204857,60,seasonal_sigma
0.0,0.1,947,0.013606051382084757,0.027455121436114043,-0.013849070054029286,120,flat_sigma
0.1,0.2,146,0.14802225623159848,0.1643835616438356,-0.016361305412237126,120,flat_sigma
0.2,0.30000000000000004,111,0.24619447946496326,0.3333333333333333,-0.08713885386837006,120,flat_sigma
0.30000000000000004,0.4,80,0.35479337475956635,0.45,-0.09520662524043366,120,flat_sigma
0.4,0.5,77,0.4496318255983561,0.5844155844155844,-0.13478375881722826,120,flat_sigma
0.5,0.6000000000000001,67,0.547819702932566,0.7164179104477612,-0.16859820751519516,120,flat_sigma
0.6000000000000001,0.7000000000000001,79,0.6507446820718167,0.8734177215189873,-0.22267303944717065,120,flat_sigma
0.7000000000000001,0.8,87,0.7508695032592325,0.8850574712643678,-0.13418796800513533,120,flat_sigma
0.8,0.9,133,0.8510004493081804,0.9624060150375939,-0.11140556572941351,120,flat_sigma
0.9,1.0,778,0.9840535157455949,0.9961439588688946,-0.012090443123299766,120,flat_sigma
0.0,0.1,988,0.011881214281602477,0.030364372469635626,-0.01848315818803315,120,seasonal_sigma
0.1,0.2,139,0.1474736016082972,0.2158273381294964,-0.0683537365211992,120,seasonal_sigma
0.2,0.30000000000000004,88,0.24191513800590034,0.3522727272727273,-0.11035758926682696,120,seasonal_sigma
0.30000000000000004,0.4,74,0.3489560057204114,0.4594594594594595,-0.11050345373904807,120,seasonal_sigma
0.4,0.5,72,0.44703317656372693,0.5972222222222222,-0.15018904565849528,120,seasonal_sigma
0.5,0.6000000000000001,59,0.54665335791341,0.711864406779661,-0.16521104886625104,120,seasonal_sigma
0.6000000000000001,0.7000000000000001,72,0.6522213254395963,0.8611111111111112,-0.20888978567151484,120,seasonal_sigma
0.7000000000000001,0.8,77,0.7502659123210864,0.9090909090909091,-0.15882499676982265,120,seasonal_sigma
0.8,0.9,122,0.855276342131545,0.9426229508196722,-0.08734660868812716,120,seasonal_sigma
0.9,1.0,814,0.9864159009406539,0.9926289926289926,-0.006213091688338723,120,seasonal_sigma
0.0,0.1,588,0.03346678780046122,0.047619047619047616,-0.014152259818586393,300,flat_sigma
0.1,0.2,249,0.1489765595043955,0.1686746987951807,-0.019698139290785205,300,flat_sigma
0.2,0.30000000000000004,195,0.25001277646206055,0.28205128205128205,-0.0320385055892215,300,flat_sigma
0.30000000000000004,0.4,157,0.3502699985721999,0.4267515923566879,-0.07648159378448799,300,flat_sigma
0.4,0.5,179,0.4478872857808319,0.5586592178770949,-0.11077193209626301,300,flat_sigma
0.5,0.6000000000000001,165,0.5509172018225383,0.593939393939394,-0.04302219211685565,300,flat_sigma
0.6000000000000001,0.7000000000000001,159,0.6475169801804287,0.7358490566037735,-0.08833207642334484,300,flat_sigma
0.7000000000000001,0.8,175,0.7460457680769014,0.8285714285714286,-0.08252566049452725,300,flat_sigma
