wallet,n_markets,n_fills,avg_entry,win_rate,edge,edge_se,notional,shrink_w,edge_shrunk,t_stat,p_value,q_value,significant_fdr
0x9267ea71a21824a32a38dd019d41e0de252a5696,65.0,131.0,0.7442941039784312,0.9846153846153847,0.24032128063695327,0.017646918968443528,5085.25626500601,0.8976290274738923,0.2169781671205455,13.618313829552864,0.0,0.0,True
0xae5123e8a2f7125e9479d5916b37b7274ab61d03,42.0,397.0,0.5720627319005733,0.9047619047619048,0.3326991728613316,0.04001902754841737,247312.33558173853,0.6303144456370074,0.21425095131661553,8.313524671703044,0.0,0.0,True
0x9c5ef1b4f38313f629aacd5e85b441f366f42ea3,20.0,39.0,0.12754400816417777,0.85,0.7224559918358222,0.08830097457813817,746.0300000000001,0.2593737181446369,0.1964932443177471,8.181744259192923,2.220446049250313e-16,1.735312230611078e-14,True
0xed6b67679e2a295263960286b7c6e44e31176e8c,39.0,85.0,0.6917903536996454,0.9487179487179487,0.2569275950183032,0.030935832335008257,127.71584164809023,0.7404763411526898,0.19344005094191535,8.305178029024724,0.0,0.0,True
0x60a32ad6f44ae555507b464268f499252c613850,108.0,3774.0,0.3571614747036525,0.6388888888888888,0.28172741418523634,0.0432279620349329,10673.965058604284,0.5937044950048163,0.1722588648379364,6.517249505252408,7.160827486529797e-11,3.5514950168769897e-09,True
0x779a9702c5043ab56bcb7dc90b4a1f27ad77b689,26.0,60.0,0.8079628061278269,1.0,0.19203719387217297,0.01902226130049035,49506.43447979241,0.8829901784740793,0.1710057731190398,10.095392489809962,0.0,0.0,True
0xeea3f08e8a36081233e4c4b4142fd61a7b56a6a2,354.0,11273.0,0.5443961598012843,0.7429378531073446,0.19854169330606034,0.02196118649807977,752335.4189891055,0.8498879870995288,0.17058405983253094,9.040572253389875,0.0,0.0,True
0x70ac8457ed2aca137619956eed4924b9275e0c7d,163.0,1009.0,0.6451397106377391,0.8466257668711656,0.20148605623342666,0.025688846820277045,13897.89104204388,0.8053638491753933,0.1646629388095522,7.843328182189445,4.440892098500626e-15,2.9366822364187474e-13,True
0x492bb408693470df7d031ef48f3a5466055b45ee,56.0,3323.0,0.5885450330524177,0.8571428571428571,0.2685978240904395,0.04565788931126602,634536.5401496381,0.5670740642015686,0.15763835481553828,5.882834886635098,4.032982170443233e-09,1.6251657839957967e-07,True
0x01756b2fa3e85a04b51e7d8792e6faae9e3269ed,35.0,47.0,0.7649315668011294,0.9714285714285714,0.206497004627442,0.03075289895581352,1510.2232691958077,0.7427493147969487,0.1565388044039924,6.714716714158938,1.8843149263148007e-11,1.079921821103527e-09,True
0xfb07351915105d24ab2b05ac396293de27ee28bd,46.0,46.0,0.7453042608413043,0.9565217391304348,0.21121747828913043,0.033202549704402035,52.99988200007466,0.7123905372288237,0.15400593674210342,6.361483686330479,1.9981416521375195e-10,9.09528742769071e-09,True
0x1831d1abf62dfadabcabb3d1c2bf4476146a6c99,84.0,266.0,0.8215799275336576,0.9880952380952381,0.1665153105615805,0.0165315863343025,20657.996318075566,0.9090202432037863,0.1524845251601995,10.072554877329994,0.0,0.0,True
0x18d21689151f6c1ed20d1912f2196ba6a727e9c3,137.0,554.0,0.7100435279589523,0.8905109489051095,0.18046742094615717,0.025236864391717927,1663.4590079994605,0.8108686735254795,0.1486610408999037,7.1509446714537885,8.617551117140465e-13,5.291586745501252e-11,True
