wallet,n,avg_price,win_rate,edge,edge_se,staked,shrink_weight,edge_shrunk,t_stat,p_value,q_value,significant_fdr
0x97fef8b72f4dca25c806fe147c61a301b09c57de,21.0,0.05000000000000001,1.0,0.95,2.4825341532472732e-17,500.0,1.0,0.95,3.826734865892397e+16,0.0,0.0,True
0x684baa57c338c2549aec0aa3f034f695d72a8409,30.0,0.42500004402333336,1.0,0.5749999559766666,0.0020761406523196694,5662.804171,0.9996604610615337,0.5748048161158905,276.95616640145255,0.0,0.0,True
0xe38ef5d1b91f3450283f0817d33d75d19aa8c29d,33.0,0.4324242466515152,1.0,0.5675757533484849,0.0007575759586004299,62192.83134,0.9999547773243289,0.5675500987090287,749.1997956179108,0.0,0.0,True
0xa61ef8773ec2e821962306ca87d4b57e39ff0abd,52.0,0.4500000080038461,1.0,0.5499999919961539,2.754133000311661e-09,39999.828499,0.9999999999999994,0.5499999919961536,199699866.3223291,0.0,0.0,True
0x12d693e52701abf02785355c5cb060f16500dbbc,65.0,0.44969234398923075,1.0,0.5503076560107693,0.009612613823895623,5322.440965,0.9927713738660945,0.546331710508477,57.24849308340889,0.0,0.0,True
0xf5d96a83daf9520230ae2edc5f997671fc629e0e,49.0,0.4487755227755102,0.9795918367346939,0.5308163139591837,0.019183673151233312,3205.0381629999997,0.9718179881575394,0.5158647285445873,27.670212569538993,0.0,0.0,True
0xf43842aca68209bd8bd3b4cfae00a32053769559,23.0,0.496086971178261,1.0,0.503913028821739,0.01111810609255401,27819.155365,0.9903533762243623,0.4990546688520483,45.323639172612175,0.0,0.0,True
0xd5905f108d51985d4f07b1946282eae4a522d117,65.0,0.4948055124861538,1.0,0.5051944875138462,0.015099067671023106,566.056177,0.982352182488682,0.4962838458163229,33.45865443621887,0.0,0.0,True
0x7da6d88e356b9df99f9b70c6d232725638324ff3,27.0,0.317407408074074,0.9259259259259259,0.608518517851852,0.05649724217114518,2499.998983,0.7990263477398738,0.4862785677305204,10.770764987226942,0.0,0.0,True
0xa49becb692927d455924583b5e3e5788246f4c40,27.0,0.4873703704962963,1.0,0.5126296295037037,0.02789362925048991,175396.85097,0.942231487043407,0.4830319435941138,18.378018324549867,0.0,0.0,True
0xd3f49be294e5dfca74978d00928e16cfc16016f3,25.0,0.495999913212,1.0,0.504000086788,0.03163331827320715,111.49274699999998,0.926911148987551,0.46718375214119856,15.93257091889974,0.0,0.0,True
0x6a86dc13222b01e29650035b2ce9c8930c1db39e,44.0,0.5343182024863636,1.0,0.46568179751363636,0.001097650534062944,2999.919436,0.9999050684694962,0.46563761619276023,424.2532418673539,0.0,0.0,True
0xf5e15d3344c35890f1aa716dca88e13eb9065ad0,23.0,0.5360869986608695,1.0,0.4639130013391305,0.002243927008432954,669.1014360000001,0.9996033854003294,0.46372911765531893,206.74157385498205,0.0,0.0,True
0xff60c713d303841f33aa99f81571bd1e9fb49dc8,43.0,0.48922026766976756,0.9767441860465116,0.487523918376744,0.0295711357702295,101.66274400000002,0.9355356123747344,0.4561140267309193,16.48647932108021,0.0,0.0,True
