wallet,n_p1,avg_price_p1,win_rate_p1,edge_p1,edge_se_p1,staked_p1,n_p2,avg_price_p2,win_rate_p2,edge_p2,edge_se_p2,staked_p2
0x00093a689df7fb09a137f9db7102d9e967c85497,126.0,0.45578433615317454,0.46825396825396826,0.012469632100793715,0.038140007927204414,3121.4206030000005,464.0,0.4924837700846983,0.5258620689655172,0.033378298880818946,0.02023481153840874,15764.976899
0x00d49004de78e3ecc89d9b36820ef34a98a44c46,108.0,0.30906481536111097,0.2777777777777778,-0.03128703758333318,0.03743832369114628,7512.764448,54.0,0.3220370407740741,0.46296296296296297,0.14092592218888889,0.04613523994280095,5655.395353
0x012d83ceb6b39b7431284d6dde0be72350019db6,145.0,0.6546206257944828,0.6620689655172414,0.007448339722758601,0.0295948143366123,7157.098459000001,28.0,0.6820219454357143,0.7142857142857143,0.03226376885000004,0.06542178349117994,1322.1191719999997
0x01826707cc43f2270691a71c4c3bdacd2bbc301c,223.0,0.5419901457448429,0.8161434977578476,0.2741533520130046,0.022775264203264325,4586.14748,120.0,0.6692061325608333,0.6833333333333333,0.01412720077250007,0.03846429507056044,4886.508604999999
0x01956113cdbbf5cd6e2caa5ede24e64f23cc9f64,27.0,0.7716207458666666,0.6666666666666666,-0.1049540792,0.08143256990881477,2121.431122,31.0,0.7499057284064515,0.7419354838709677,-0.007970244535483784,0.07508236453290114,2183.419914
0x01af8bb6abbcff287e8a726a1c5f39dd0b427bc2,35.0,0.9466768592942858,0.9142857142857143,-0.03239114500857154,0.03560762989814795,7492.933940000001,121.0,0.3203735508264462,0.2644628099173554,-0.05591074090909082,0.03875565799002195,4073.583428
0x01c78f8873c0c86d6b6b92ff627e3802237ee995,160.0,0.3233125027775,0.06875,-0.25456250277750003,0.02093901116044676,13229.306584999998,322.0,0.34957459764409937,0.2670807453416149,-0.08249385230248446,0.02451983652166113,69212.040863
0x023d4f8499200936492f4f4328ff679c540a23ac,66.0,0.7541253047954546,0.7878787878787878,0.03375348308333326,0.04303741078835211,3314.8578310000003,53.0,0.42819886142641517,0.37735849056603776,-0.050840370860377404,0.05878649227167315,2040.120088
0x02571ed3bfa4162c80b288310745503275a822b2,95.0,0.5663620170252633,0.6,0.033637982974736635,0.040950338127873694,29392.884833000004,59.0,0.5844764080254236,0.7966101694915254,0.21213376146610186,0.04388719058385729,31702.919323000002
0x0267ebb4a7371037b79e2b062c766b03ee2e7f7e,142.0,0.30853340581830985,0.30985915492957744,0.0013257491112675934,0.03399377397839562,27735.75775,58.0,0.34435919808965515,0.0,-0.34435919808965515,0.017287724748367452,8568.207764
0x03097eaaf923518da334d6819653ea74b9f4d35e,43.0,0.3269766999348837,0.2558139534883721,-0.0711627464465116,0.05348870744926156,278.019298,47.0,0.37468087517021287,0.2127659574468085,-0.16191491772340436,0.059685542124319306,254.36835
0x032eb1bc893940263ad0b01889f262fc232f2a9e,483.0,0.3881448267476191,0.36024844720496896,-0.027896379542650118,0.005447379940379961,66897.47,106.0,0.4673080882650944,0.4339622641509434,-0.03334582411415099,0.02570681979282058,25263.87
0x035b278391a2931071403cae4a3d037f9b3ac6dd,46.0,0.4709283225543479,0.41304347826086957,-0.057884844293478344,0.05935178956209812,478.27090000000004,55.0,0.4387586322127273,0.34545454545454546,-0.09330408675818186,0.06874967848923744,8687.348361999999
0x03805a13a0b3e058f55f6c6af95389d4f431073d,608.0,0.881428332259375,0.9473684210526315,0.06594008879325652,0.0035640881545444536,40963.312696,76.0,0.7010522713921054,0.7236842105263158,0.022631939134210466,0.014709749515121705,6851.325304
0x03bab08ec71cc18c39484b849ecbf1190ce4beba,8608.0,0.49042676644388944,0.5047630111524164,0.014336244708526957,0.003849688348757592,161488.872821,1503.0,0.46330209026214236,0.5029940119760479,0.03969192171390551,0.009871648139124167,32122.023385
0x04e6840687847a98f9ecfbb512a8c8b98d073914,48.0,0.44914340413958337,0.5833333333333334,0.13418992919375,0.07360531327102131,39919.298597,45.0,0.48657779224000003,0.7555555555555555,0.2689777633155555,0.05174719423672157,101017.40172400001
0x056c3c1d6b90f764bd1f6c47fdaf7380619ca69a,64.0,0.5892611687609375,0.890625,0.3013638312390625,0.03817107016931185,12837.559058,55.0,0.46075636803636355,0.2727272727272727,-0.18802909530909084,0.06010536520691584,21563.109733
0x05c5a55c0eed25f98a846f9b5a1875a99d358181,21.0,0.4993201848952381,0.5714285714285714,0.07210838653333329,0.09088361286902043,2799.752377,24.0,0.6112916624416668,0.75,0.13870833755833323,0.08645075851674343,767.9652
0x05d3e8e5b270710ec7c6d1ad4c702eb84536c06a,85.0,0.5667984404952943,0.6941176470588235,0.12731920656352924,0.04936968555883417,3572.0608,98.0,0.5447374252877552,0.5918367346938775,0.04709930940612239,0.04741291569552388,4164.357003
0x0665144f927e58ef066a2141c6fc2641160a41d9,33.0,0.3778788007212121,0.36363636363636365,-0.014242437084848458,0.07258228191436283,191.340994,83.0,0.5210843530493976,0.5783132530120482,0.05722889996265057,0.05303687089910127,465.74640100000005
0x06a9865f05e5f379840e6df4feadc98892571a49,27.0,0.6571323032148148,0.7037037037037037,0.04657140048888897,0.07329312027508679,3246.6520600000003,35.0,0.6215670363342858,0.5142857142857142,-0.10728132204857155,0.07747608164947972,6602.531294
0x06e1173503c03974d5a0a1f5bddb1c984b6aecdb,92.0,0.28008763412173915,0.22826086956521738,-0.05182676455652177,0.03280479863774858,10660.576124999998,32.0,0.30084686664375004,0.0625,-0.23834686664375004,0.051964248808565185,2213.615923
0x071f9c6bfa9cb3c609fe8e9ffbf43521cb1892bd,77.0,0.724739313022078,0.8831168831168831,0.15837757009480513,0.036826334138993076,4597.521823,55.0,0.7500363528527275,0.7818181818181819,0.03178182896545434,0.05226988758045758,1504.257411
0x0767ca995bd25b827f898d469a23aab2a07ef407,150.0,0.06950666518866667,0.0,-0.06950666518866667,0.00771370623744549,6209.824761,24.0,0.019833333741666667,0.0,-0.019833333741666667,0.0023817442514568994,1597.956127
0x07cdda5097cb88efc8d968c4bd9c8bf980f6fbeb,32.0,0.552499980803125,0.53125,-0.021249980803125013,0.07232285191205692,605.454432,56.0,0.5055357058,0.5357142857142857,0.03017857991428574,0.05937416658655559,2295.95415
