offset_s,n_markets,brier_model,brier_mid,diff,ci_lo,ci_hi,verdict
60,16,0.001955909837855756,0.007459828124999999,0.005503918287144242,-0.0031903324301894237,0.020818635686979996,no difference
120,24,0.03416903135413079,0.03369380208333333,-0.00047522927079746147,-0.014114480289507516,0.013869943247455725,no difference
180,25,0.08448194523917302,0.09057969999999997,0.006097754760826954,-0.011248282920690054,0.026520012501424176,no difference
300,25,0.12682803142163984,0.12422837999999999,-0.0025996514216398564,-0.01675078444852741,0.009952298925649148,no difference
480,25,0.20831950305482774,0.19425578999999996,-0.014063713054827787,-0.03732997819952646,0.006958515755967838,no difference
600,25,0.23855086142886414,0.223745,-0.014805861428864142,-0.03660670233327505,0.006276415957203124,no difference
720,24,0.2308655602639972,0.2337166666666667,0.002851106402669501,-0.02084245529435716,0.026254705363498915,no difference
