bin_lo,bin_hi,n,mean_pred,observed_freq,gap,offset_s,model
0.0,0.1,2524,0.011891992891620493,0.0071315372424722665,0.004760455649148227,60,gbm_ewma
0.1,0.2,299,0.1456043770991232,0.06020066889632107,0.08540370820280212,60,gbm_ewma
0.2,0.30000000000000004,205,0.25119594757971425,0.24878048780487805,0.002415459774836204,60,gbm_ewma
0.30000000000000004,0.4,173,0.34872965298380676,0.3815028901734104,-0.03277323718960362,60,gbm_ewma
0.4,0.5,171,0.45304316554638147,0.5847953216374269,-0.1317521560910454,60,gbm_ewma
0.5,0.6000000000000001,157,0.5541311795023517,0.8280254777070064,-0.2738942982046547,60,gbm_ewma
0.6000000000000001,0.7000000000000001,167,0.6508129304651271,0.8802395209580839,-0.22942659049295677,60,gbm_ewma
0.7000000000000001,0.8,206,0.7505910260485557,0.9757281553398058,-0.22513712929125018,60,gbm_ewma
0.8,0.9,254,0.8544388167917452,0.9881889763779528,-0.13375015958620762,60,gbm_ewma
0.9,1.0,2106,0.9860853364813353,0.9995251661918328,-0.013439829710497508,60,gbm_ewma
0.0,0.1,2883,0.006048325120487084,0.018383628165105793,-0.012335303044618709,60,settlement_aware_ewma
0.1,0.2,167,0.14813706941566693,0.23952095808383234,-0.09138388866816541,60,settlement_aware_ewma
0.2,0.30000000000000004,122,0.2467292747894567,0.39344262295081966,-0.14671334816136297,60,settlement_aware_ewma
0.30000000000000004,0.4,93,0.34741686048126563,0.4946236559139785,-0.14720679543271287,60,settlement_aware_ewma
0.4,0.5,107,0.45488370076581097,0.616822429906542,-0.16193872914073104,60,settlement_aware_ewma
0.5,0.6000000000000001,84,0.5541770157312312,0.8333333333333334,-0.27915631760210213,60,settlement_aware_ewma
0.6000000000000001,0.7000000000000001,107,0.6516589377609513,0.8037383177570093,-0.15207937999605803,60,settlement_aware_ewma
0.7000000000000001,0.8,108,0.753367452514388,0.8888888888888888,-0.13552143637450087,60,settlement_aware_ewma
0.8,0.9,174,0.8554312999159578,0.9712643678160919,-0.11583306790013415,60,settlement_aware_ewma
0.9,1.0,2417,0.9935381659810185,0.998345055854365,-0.004806889873346432,60,settlement_aware_ewma
0.0,0.1,2167,0.01890161646919854,0.015689893862482696,0.0032117226067158444,120,gbm_ewma
0.1,0.2,431,0.14591438872587414,0.08584686774941995,0.060067520976454195,120,gbm_ewma
0.2,0.30000000000000004,308,0.2494224307152671,0.237012987012987,0.012409443702280087,120,gbm_ewma
0.30000000000000004,0.4,250,0.3500448905960237,0.368,-0.01795510940397632,120,gbm_ewma
0.4,0.5,235,0.44909189775549485,0.5702127659574469,-0.121120868201952,120,gbm_ewma
0.5,0.6000000000000001,213,0.5470297256054797,0.6713615023474179,-0.12433177674193818,120,gbm_ewma
0.6000000000000001,0.7000000000000001,262,0.649392635534143,0.8473282442748091,-0.19793560874066618,120,gbm_ewma
0.7000000000000001,0.8,290,0.7535714416265132,0.9344827586206896,-0.1809113169941764,120,gbm_ewma
0.8,0.9,374,0.8556318389178723,0.9545454545454546,-0.09891361562758227,120,gbm_ewma
0.9,1.0,1732,0.9784801672841511,0.9953810623556582,-0.01690089507150705,120,gbm_ewma
0.0,0.1,2391,0.014648444452942024,0.020911752404851526,-0.006263307951909502,120,settlement_aware_ewma
0.1,0.2,355,0.14581791593627372,0.14084507042253522,0.0049728455137385,120,settlement_aware_ewma
0.2,0.30000000000000004,243,0.24654842095902388,0.2839506172839506,-0.03740219632492672,120,settlement_aware_ewma
0.30000000000000004,0.4,211,0.34878632893620704,0.41706161137440756,-0.06827528243820052,120,settlement_aware_ewma
0.4,0.5,191,0.44917702949733995,0.5916230366492147,-0.14244600715187472,120,settlement_aware_ewma
0.5,0.6000000000000001,171,0.5444619214074489,0.631578947368421,-0.08711702596097215,120,settlement_aware_ewma
0.6000000000000001,0.7000000000000001,216,0.6508193011093312,0.8333333333333334,-0.1825140322240022,120,settlement_aware_ewma
0.7000000000000001,0.8,227,0.7511484902637346,0.8898678414096917,-0.13871935114595701,120,settlement_aware_ewma
0.8,0.9,321,0.851793704232742,0.9501557632398754,-0.09836205900713335,120,settlement_aware_ewma
0.9,1.0,1936,0.9834007481747836,0.9927685950413223,-0.009367846866538687,120,settlement_aware_ewma
0.0,0.1,1346,0.03803568287677334,0.04011887072808321,-0.00208318785130987,300,gbm_ewma
0.1,0.2,623,0.14954166694986604,0.13001605136436598,0.01952561558550006,300,gbm_ewma
0.2,0.30000000000000004,537,0.2478395268763361,0.21601489757914338,0.03182462929719271,300,gbm_ewma
0.30000000000000004,0.4,459,0.3502902053653763,0.33986928104575165,0.010420924319624658,300,gbm_ewma
0.4,0.5,458,0.44992406549073083,0.5087336244541485,-0.05880955896341766,300,gbm_ewma
0.5,0.6000000000000001,425,0.5505000762154826,0.6047058823529412,-0.05420580613745862,300,gbm_ewma
0.6000000000000001,0.7000000000000001,422,0.648967911947757,0.7393364928909952,-0.09036858094323819,300,gbm_ewma
0.7000000000000001,0.8,488,0.7487970295613698,0.8668032786885246,-0.11800624912715474,300,gbm_ewma
0.8,0.9,589,0.8500880994472019,0.9405772495755518,-0.0904891501283499,300,gbm_ewma
0.9,1.0,915,0.9623708180792472,0.9846994535519126,-0.022328635472665392,300,gbm_ewma
0.0,0.1,1460,0.03456282764992139,0.04246575342465753,-0.007902925774736141,300,settlement_aware_ewma
0.1,0.2,610,0.15002642887549583,0.15245901639344261,-0.0024325875179467826,300,settlement_aware_ewma
0.2,0.30000000000000004,494,0.24786299552292224,0.22267206477732793,0.02519093074559431,300,settlement_aware_ewma
0.30000000000000004,0.4,426,0.3494567621995582,0.3544600938967136,-0.005003331697155444,300,settlement_aware_ewma
0.4,0.5,433,0.44911750062482514,0.5173210161662818,-0.06820351554145665,300,settlement_aware_ewma
0.5,0.6000000000000001,399,0.550988194178679,0.5914786967418546,-0.04049050256317566,300,settlement_aware_ewma
0.6000000000000001,0.7000000000000001,398,0.6498055987755534,0.7386934673366834,-0.08888786856112996,300,settlement_aware_ewma
0.7000000000000001,0.8,461,0.7506070132507034,0.8524945770065075,-0.1018875637558041,300,settlement_aware_ewma
0.8,0.9,573,0.8525385356460372,0.93717277486911,-0.08463423922307278,300,settlement_aware_ewma
0.9,1.0,1008,0.9648121117350946,0.9791666666666666,-0.014354554931572006,300,settlement_aware_ewma
0.0,0.1,313,0.062094774515100294,0.08306709265175719,-0.02097231813665689,600,gbm_ewma
0.1,0.2,594,0.15193780537608123,0.1447811447811448,0.007156660594936443,600,gbm_ewma
0.2,0.30000000000000004,788,0.25122298777149893,0.2652284263959391,-0.014005438624440147,600,gbm_ewma
0.30000000000000004,0.4,874,0.35126765837177854,0.36498855835240274,-0.013720899980624202,600,gbm_ewma
0.4,0.5,945,0.4512760679827252,0.4656084656084656,-0.0143323976257404,600,gbm_ewma
0.5,0.6000000000000001,830,0.547081980954778,0.5710843373493976,-0.02400235639461956,600,gbm_ewma
0.6000000000000001,0.7000000000000001,738,0.6480310447635115,0.7113821138211383,-0.06335106905762677,600,gbm_ewma
0.7000000000000001,0.8,565,0.7477706682177404,0.7876106194690266,-0.03983995125128614,600,gbm_ewma
0.8,0.9,449,0.8463843627340343,0.8953229398663697,-0.048938577132335404,600,gbm_ewma
0.9,1.0,166,0.9363555401194159,0.9698795180722891,-0.03352397795287321,600,gbm_ewma
0.0,0.1,362,0.061443415898037035,0.0856353591160221,-0.024191943217985068,600,settlement_aware_ewma
0.1,0.2,603,0.1526542207605807,0.1558872305140962,-0.003233009753515509,600,settlement_aware_ewma
0.2,0.30000000000000004,776,0.2505830249826029,0.2809278350515464,-0.030344810068943517,600,settlement_aware_ewma
0.30000000000000004,0.4,846,0.3501374471581116,0.3628841607565012,-0.01274671359838958,600,settlement_aware_ewma
0.4,0.5,927,0.45057172225987724,0.4638619201725998,-0.013290197912722568,600,settlement_aware_ewma
0.5,0.6000000000000001,809,0.5473474434512902,0.5673671199011124,-0.020019676449822277,600,settlement_aware_ewma
0.6000000000000001,0.7000000000000001,722,0.6488720662396125,0.7091412742382271,-0.06026920799861468,600,settlement_aware_ewma
0.7000000000000001,0.8,560,0.7480491021415083,0.7857142857142857,-0.03766518357277737,600,settlement_aware_ewma
0.8,0.9,463,0.8469914774885926,0.8876889848812095,-0.040697507392616905,600,settlement_aware_ewma
0.9,1.0,194,0.9369537633747804,0.9536082474226805,-0.016654484047900042,600,settlement_aware_ewma
0.0,0.1,16,0.07524990624429778,0.25,-0.17475009375570222,780,gbm_ewma
0.1,0.2,222,0.15698756028277794,0.16216216216216217,-0.005174601879384233,780,gbm_ewma
0.2,0.30000000000000004,638,0.2580940288160375,0.31347962382445144,-0.055385595008413946,780,gbm_ewma
0.30000000000000004,0.4,1216,0.3533285886667117,0.3536184210526316,-0.000289832385919897,780,gbm_ewma
0.4,0.5,1541,0.4513283974486689,0.43672939649578196,0.014599000952886965,780,gbm_ewma
0.5,0.6000000000000001,1314,0.546146840160513,0.5958904109589042,-0.0497435707983912,780,gbm_ewma
0.6000000000000001,0.7000000000000001,847,0.644160097485072,0.6965761511216056,-0.05241605363653368,780,gbm_ewma
0.7000000000000001,0.8,348,0.7426106866882525,0.7672413793103449,-0.024630692622092387,780,gbm_ewma
0.8,0.9,113,0.8344673401243778,0.8584070796460177,-0.023939739521639858,780,gbm_ewma
0.9,1.0,7,0.9237192418964131,1.0,-0.07628075810358692,780,gbm_ewma
0.0,0.1,26,0.08052318534798146,0.23076923076923078,-0.1502460454212493,780,settlement_aware_ewma
0.1,0.2,233,0.15718168663886767,0.18025751072961374,-0.023075824090746072,780,settlement_aware_ewma
0.2,0.30000000000000004,665,0.25757463862262525,0.30526315789473685,-0.047688519272111596,780,settlement_aware_ewma
0.30000000000000004,0.4,1206,0.35325091917218654,0.35903814262023215,-0.005787223448045609,780,settlement_aware_ewma
0.4,0.5,1503,0.45134189055676055,0.4384564204923486,0.01288547006441193,780,settlement_aware_ewma
0.5,0.6000000000000001,1290,0.5463633492382977,0.5922480620155038,-0.04588471277720618,780,settlement_aware_ewma
0.6000000000000001,0.7000000000000001,838,0.6443127887999588,0.7004773269689738,-0.05616453816901501,780,settlement_aware_ewma
0.7000000000000001,0.8,366,0.7417614292308481,0.7595628415300546,-0.01780141229920651,780,settlement_aware_ewma
0.8,0.9,125,0.834825603742908,0.84,-0.005174396257091929,780,settlement_aware_ewma
0.9,1.0,10,0.9206868295247401,1.0,-0.07931317047525988,780,settlement_aware_ewma
