ticker,n_trades,notional,net_signed,vwap_yes,first_ns,last_ns,one_sidedness,side
KXITFMATCH-26JUL30NIESIC-SIC,8868,397671.9753,50941.5947,0.4780751014884979,1785412504962369000,1785428493445771000,0.12809953394772197,yes
KXBTCD-26JUL3012-T64599.99,5090,382066.782,12573.193599999999,0.740844793713163,1785423603010392000,1785427168313638000,0.03290836626566504,yes
KXITFWMATCH-26JUL30ISHSAT-ISH,3195,372747.6253,137047.3695,0.7353302034428796,1785409947167810000,1785423714823413000,0.3676679881989848,yes
KXITFWMATCH-26JUL30CEXLIM-LIM,3711,365564.6453,150637.9949,0.6576798706548099,1785408348244265000,1785425496934690000,0.4120693749702715,yes
KXBTC15M-26JUL300715-15,8944,360989.54800999997,-41295.50379,0.594803331842576,1785409200251046000,1785410089695818000,0.11439528933080371,no
KXBTC15M-26JUL301200-00,17680,356875.43065,45255.00455,0.2508995475113122,1785426300794689000,1785427199209188000,0.12680896655612903,yes
KXBTCD-26JUL3011-T64599.99,5089,356434.902,-10649.563800000002,0.6821516997445471,1785420001003916000,1785423599927338000,0.029878005044522832,no
KXBTC15M-26JUL301300-00,6727,355846.1144,-18157.3148,0.6382904712353205,1785429900854849000,1785430276254181000,0.05102574979809868,no
KXMLBSPREAD-26JUL301210TEXTB-TB2,2234,349271.7568,137906.655,0.4450895255147717,1785402118399452000,1785430275479503000,0.39484055700205994,yes
KXBTC15M-26JUL300915-15,15458,349011.48367,7846.24869,0.2702799197826368,1785416401530536000,1785417286312233000,0.02248134819947313,yes
KXITFMATCH-26JUL30BLAJAN-JAN,5504,348761.0443,176279.3601,0.47317223837209305,1785412539868050000,1785424531570776000,0.5054445242123046,yes
KXITFWMATCH-26JUL30LABMOY-LAB,1864,335103.5234,134881.4032,0.8301716738197426,1785419961023597000,1785429366004912000,0.40250666967472415,yes
KXBTCD-26JUL3009-T64799.99,5260,334423.1528,24888.3642,0.6083041825095057,1785412801594098000,1785416391285458000,0.07442177370681137,yes
KXATPCHALLENGERMATCH-26JUL30AJDFEL-FEL,1238,327356.3475,195939.3855,0.9241760904684977,1785408478089493000,1785424362734773000,0.5985507444605149,yes
KXLPLMATCH-26JUL301000KANJAF-JAF,3396,327024.9028,172242.0462,0.6579858657243817,1785402061386334000,1785430274036201000,0.526693975673586,yes
KXBTCD-26JUL3011-T64699.99,6715,315851.0329,9479.7791,0.5184735666418466,1785420001003597000,1785423592578290000,0.030013449735975202,yes
KXITFWMATCH-26JUL30DUPBUR-BUR,6826,311680.002,171004.2914,0.5118341634925286,1785402047946693000,1785420646966713000,0.5486533954783535,yes
KXBTC15M-26JUL300730-30,12953,304396.2155,-28358.74524,0.3828412722921331,1785410100708725000,1785410992313997000,0.09316392187536905,no
KXITFWMATCH-26JUL30PALURG-PAL,3348,286100.9714,151201.1652,0.6821415770609319,1785402379019466000,1785416804418776000,0.5284888214818554,yes
KXATPCHALLENGERMATCH-26JUL30JUSTOR-TOR,2118,283839.3585,148013.5307,0.7733333333333332,1785408735911415000,1785418545232440000,0.5214693673287738,yes
KXPGAR1LEAD-ROC26-PMAL,2019,283789.97323,-18668.23541,0.5814635958395244,1785411636054437000,1785430188090948000,0.06578187099961481,no
KXBTC15M-26JUL300830-30,13716,280703.22617,31583.385729999998,0.2369480898221056,1785413700567323000,1785414596352894000,0.1125152217198687,yes
KXWHUNDREDMATCH-26JUL301000BIRSOU-BIR,5167,269719.0933,143976.2517,0.26470485775111285,1785409739195161000,1785429953117389000,0.5338007403868134,yes
KXMLBTOTAL-26JUL301415CHCSTL-9,3224,257611.2376,-234803.9852,0.47527605459057076,1785408400479456000,1785430276189352000,0.9114663917130298,no
KXITFWMATCH-26JUL30TIGLAZ-TIG,4691,252460.8343,119508.1757,0.4562971647836282,1785408545424863000,1785419500444813000,0.47337313144575954,yes
KXMLBRFI-26JUL301210TEXTB,4913,252460.4927,-133472.0983,0.3658762466924486,1785402050407032000,1785429030865884000,0.5286850899820018,no
KXWHUNDREDMATCH-26JUL301000BIRSOU-SOU,2505,244361.7612,86797.46979999999,0.7347624750499002,1785402240239961000,1785430126949272000,0.3552007047819558,yes
KXITFMATCH-26JUL29MALFRU-MAL,1469,242523.2839,131847.1141,0.902498298162015,1785402042817444000,1785425158965438000,0.543647240709328,yes
KXWTACHALLENGERMATCH-26JUL30IBRBRO-BRO,909,232312.3701,102153.55990000001,0.8161166116611661,1785402392412588000,1785428368163450000,0.43972501273189846,yes
KXSENATEMID-26-AELS,661,223985.48028,90732.08323999999,0.9330408472012103,1785402127276761000,1785430165669751000,0.4050802004066404,yes
KXMLBGAME-26JUL301210TEXTB-TEX,4260,222938.2588,158375.8358,0.373962441314554,1785402051306523000,1785430275477536000,0.7104022281885697,yes
KXMLBTOTAL-26JUL301210TEXTB-8,2367,220975.3393,55972.2879,0.4883269961977187,1785402017641842000,1785430261097094000,0.2532965356102974,yes
KXBTCD-26JUL3012-T64699.99,5995,218577.5264,10228.5596,0.3683736447039199,1785423602854967000,1785427189660140000,0.04679602596143206,yes
KXBTCD-26JUL3010-T64899.99,3526,218477.1405,14163.281899999998,0.600873511060692,1785416403713083000,1785419999305285000,0.06482729436858406,yes
KXITFWMATCH-26JUL30TIGLAZ-LAZ,3190,212926.56,92196.7186,0.5753981191222571,1785408452254881000,1785419502785708000,0.4329977368722812,yes
KXITFMATCH-26JUL30AGWLER-AGW,2337,210016.3787,88251.7121,0.823739837398374,1785409817420548000,1785427845373313000,0.42021347404558407,yes
KXLPLMATCH-26JUL301000KANJAF-KAN,4424,208980.5127,84882.6439,0.34256781193490055,1785409862306134000,1785430275058125000,0.406174924175119,yes
KXBTCD-26JUL3010-T64999.99,4957,208776.4749,-1262.8368999999996,0.34644341335485174,1785416401003084000,1785419997184408000,0.00604875094574173,no
KXATPCHALLENGERMATCH-26JUL30BARBUE-BAR,5783,207193.5258,80319.7264,0.3140117586028013,1785402091302185000,1785418529358250000,0.38765557992160005,yes
KXBTCD-26JUL3013-T64699.99,3119,204825.7627,-35054.7589,0.7249022122475152,1785427204682719000,1785430276135682000,0.17114428594289327,no
KXWTACHALLENGERMATCH-26JUL30JONCIR-JON,1057,202124.2985,103618.4073,0.8804446546830652,1785402404954217000,1785421849252018000,0.512646960652284,yes
KXODIMATCH-26JUL300600NOTLAN-NOT,3788,197818.7749,101197.4705,0.5648204857444562,1785402000909007000,1785430274227629000,0.5115665616226602,yes
KXBTCD-26JUL3008-T64699.99,3183,190959.3346,-8296.7166,0.6276751492302859,1785409202998795000,1785412799948084000,0.043447557132407395,no
KXLOLGAME-26JUL300600DKHLE-HLE,3934,185846.412,109044.3404,0.5677478393492629,1785402087356274000,1785421466835099000,0.5867443940752539,yes
KXITFWMATCH-26JUL30BROPAR-BRO,2315,182654.2783,48780.0043,0.6429762419006481,1785416816684444000,1785424607633607000,0.2670619311740479,yes
KXITFMATCH-26JUL30THASLA-THA,1764,181183.3895,116450.4361,0.777687074829932,1785408333322602000,1785415592234401000,0.6427213687819877,yes
KXBTCD-26JUL3013-T64799.99,4082,178580.28830000001,-1377.8878999999995,0.41034296913277807,1785427200986064000,1785430275348716000,0.00771578942511988,no
KXITFMATCH-26JUL29FON2ALV2-ALV2,893,177992.8071,98038.7231,0.9132810750279956,1785408694690954000,1785424447063816000,0.5508016009035682,yes
KXBTCD-26JUL3009-T64699.99,1808,166768.3532,-13757.636800000002,0.8002323008849557,1785412801003131000,1785416338095662000,0.08249548871841951,no
KXWTACHALLENGERMATCH-26JUL30KOTRIS-KOT,3946,165267.5296,64724.9818,0.25157374556512924,1785402031700228000,1785414949961072000,0.39163761905714356,yes
KXBTCD-26JUL3010-T64699.99,2891,162081.5737,-9041.9583,0.6201487374610861,1785416401002701000,1785419968390666000,0.05578646661424907,no
KXBTCD-26JUL3010-T64799.99,2945,159127.0262,4965.174599999999,0.5659286926994906,1785416401538526000,1785419992745739000,0.031202585246326936,yes
KXBTC15M-26JUL301015-15,12740,158066.64538,35465.96298,0.17033979591836734,1785420000156284000,1785420885376463000,0.22437347800187746,yes
KXCLUBFGAME-26JUL30BOUFCA-BOU,4661,157072.0452,46373.134,0.7803690195237074,1785402186145537000,1785430253576239000,0.29523480095362,yes
KXETH15M-26JUL301000-00,4412,155043.31596,16933.51984,0.6821736174070716,1785419101075419000,1785419998849323000,0.10921799327594825,yes
KXBTCD-26JUL3012-T64499.99,1613,154902.5945,-24546.249499999998,0.8488406695598263,1785423602390355000,1785427082866612000,0.15846248140149774,no
KXITFWMATCH-26JUL30SLAMAN-MAN,2666,149709.2024,85090.297,0.604774943735934,1785402016305005000,1785412598828067000,0.56837051855137,yes
KXITFWMATCH-26JUL30TIKLUK-LUK,2771,148479.1258,60170.79,0.6565319379285457,1785415459220939000,1785426376496533000,0.4052474694729109,yes
KXITFMATCH-26JUL30FARMOL-MOL,1631,148056.3135,69438.5323,0.767038626609442,1785411011886069000,1785427570968678000,0.46900081907010344,yes
KXCLUBFTOTAL-26JUL30FCREBMU-6,1642,147223.5047,-23638.4293,0.9071376370280148,1785402021495747000,1785430232778397000,0.16056151732135746,no
KXITFDOUBLES-26JUL30KUKOSMBELMAR-BELMAR,1627,140688.0792,83119.1906,0.6670805162876461,1785422775937872000,1785427660970022000,0.5908047865365981,yes
KXBTCD-26JUL3008-T64599.99,3257,139771.7586,-1233.6321999999996,0.5065735339269266,1785409202998599000,1785412766191888000,0.008826047639068623,no
KXITFMATCH-26JUL30SCRTOR-TOR,1383,136693.8187,89152.4117,0.8307519884309471,1785402281923023000,1785429628217163000,0.6522051439331104,yes
KXCLUBFGAME-26JUL30FCREBMU-BMU,300,134255.373,48874.8444,0.9820666666666666,1785409188281455000,1785429424472207000,0.36404386139540207,yes
KXITFWMATCH-26JUL30ZHUMAH-ZHU,3027,133588.2994,54521.9764,0.3913379583746283,1785402147670589000,1785430274964043000,0.4081343698877868,yes
KXITFMATCH-26JUL30LIMVIL-VIL,2009,131180.9073,87757.8143,0.7760477849676456,1785419021533630000,1785430275087423000,0.668983132578166,yes
