dow,n,rms_logret,se,ci_lo,ci_hi,vol_ratio_to_mean
0,14400,0.0006014652833239036,3.5441681707218362e-06,0.0005945187137092889,0.0006084118529385184,1.03953198710987
1,14400,0.0005810915705960247,3.424114917156587e-06,0.0005743803053583977,0.0005878028358336516,1.0043194375845266
2,15839,0.0006407537744962132,3.600081196038161e-06,0.0006336976153519785,0.000647809933640448,1.1074355626465904
3,14876,0.0006846503022878261,3.969270729549182e-06,0.0006768705316579097,0.0006924300729177425,1.1833033575594767
4,14400,0.0006771721577274347,3.9902752063316284e-06,0.0006693512183230247,0.0006849930971318447,1.170378637396414
5,14400,0.0004054394301365966,2.389074753416641e-06,0.00040075684361989995,0.00041012201665329323,0.7007341373610407
6,14400,0.0004595741199907392,2.708066472527431e-06,0.0004542663097045854,0.000464881930276893,0.7942968803420817
